"dataset","method","split_id","X1.transaction.date","X2.house.age","X3.distance.to.the.nearest.MRT.station","X4.number.of.convenience.stores","X5.latitude","X6.longitude"
"real_estate","uni_loo",1,3.61009655757646,-0.304323012944434,-0.00731029732684511,2.63603507167639,611.333354613282,510.348879384079
"real_estate","uni_loo",2,8.5087518674577,-0.181617898182764,-0.00690033777495851,2.60104886049724,555.257324481456,448.807447489211
"real_estate","uni_loo",3,3.52993630051558,-0.236473846227664,-0.00698205440879294,2.93260627225262,639.974208612091,485.575614896455
"real_estate","uni_loo",4,5.95652041728075,-0.242205944083549,-0.00680214452299309,2.68729074008571,583.636320869339,471.780474970523
"real_estate","uni_loo",5,4.07957833290539,-0.21317318678316,-0.0069006801638243,2.47271363716573,533.196671623798,464.668910161106
"real_estate","uni_loo",6,1.93426802970482,-0.216803747023506,-0.00675736474850086,2.69301786322763,527.895130011172,424.728483848922
"real_estate","uni_loo",7,3.26321047861405,-0.260114703262383,-0.00701179381243381,2.31995854175116,606.82416327706,469.724600918632
"real_estate","uni_loo",8,3.39634725102028,-0.324679642341921,-0.00770749018422279,2.81364694846946,681.326311407131,464.320955127041
"real_estate","uni_loo",9,2.82320939086716,-0.232777968997275,-0.00729758542284117,2.48499540968557,643.231234627177,463.873369260142
"real_estate","uni_loo",10,1.42709774287737,-0.248953326085562,-0.00684086522000777,2.6764539337278,596.225241948636,460.458570848362
"real_estate","uni_loo",11,1.79568557651162,-0.335938606452401,-0.00790838280791554,2.74860422026216,657.012747883193,495.823115651475
"real_estate","uni_loo",12,6.08942282005971,-0.211343984384667,-0.00832934740886004,2.7697227520619,600.576550022418,542.03813050866
"real_estate","uni_loo",13,0.478900337549444,-0.257517741652424,-0.00720748823442644,2.64688802587523,598.422234373484,479.096262467408
"real_estate","uni_loo",14,7.56814515572225,-0.297744587919433,-0.00747405846929713,2.36697961106603,601.966638758486,509.458717973409
"real_estate","uni_loo",15,3.29215872620817,-0.248107887556391,-0.00687766562773876,2.90436701200479,618.31737285423,431.441176065223
"real_estate","uni_loo",16,5.64395456808138,-0.207118843714553,-0.00721819461389019,2.56878078528874,570.54294936438,431.463187013533
"real_estate","uni_loo",17,3.61358804924294,-0.245094354697908,-0.00701102800331483,3.05024380641714,636.099884417489,480.085481667772
"real_estate","uni_loo",18,0.825903766008924,-0.267282323626321,-0.00739948605895193,2.45441276287495,614.028128220015,398.547015201614
"real_estate","uni_loo",19,6.67156539108278,-0.271015974368413,-0.00773469341173371,2.5746959673962,555.684109420056,410.56085441579
"real_estate","uni_loo",20,3.58149291366272,-0.230234325748278,-0.00715107919938864,2.42743092666288,525.134168177822,361.100765787636
"real_estate","uni_loo",21,3.01404363900804,-0.225256913194899,-0.00688697448899894,2.76663019454231,601.075645735552,472.524851203404
"real_estate","uni_loo",22,2.86402049733696,-0.278441874364221,-0.00745840083122825,2.50867208818523,631.236804191625,455.409798266314
"real_estate","uni_loo",23,3.00572221606362,-0.27911132076448,-0.00697216615131909,2.91409352574718,594.498454752339,477.101833844244
"real_estate","uni_loo",24,4.57529313919335,-0.257897175138286,-0.00709421901379664,2.68625761578692,593.689519584407,490.302242891981
"real_estate","uni_loo",25,4.27617437228354,-0.136703858819165,-0.00728128676174786,2.69826626223173,627.179941381258,436.06622655781
"real_estate","uni_loo",26,2.32785581377173,-0.281951149343327,-0.00722322466228191,2.44325715763087,542.264339984913,483.794676424327
"real_estate","uni_loo",27,7.5578390050425,-0.261475381745331,-0.00709537025953922,2.64615579905983,606.058283256491,438.86290591362
"real_estate","uni_loo",28,6.64970455974506,-0.267011315464715,-0.00708285243709729,2.48979292029631,562.373746094972,470.953087230418
"real_estate","uni_loo",29,3.26041819674261,-0.298631712541029,-0.00725114156735991,2.54140161046804,592.355316047754,442.861424799671
"real_estate","uni_loo",30,5.48448961982793,-0.302783195708485,-0.00751061868228851,2.89766683709236,618.351536667273,498.962248587531
"real_estate","uni_loo",31,6.36711306012162,-0.187986877644146,-0.00749382901699256,2.66071724561875,665.415406046817,489.354942175552
"real_estate","uni_loo",32,4.09158486563497,-0.268139357276175,-0.0071799121340322,2.80719030556786,659.037556779736,476.729724369913
"real_estate","uni_loo",33,3.04065716779012,-0.267752784959622,-0.00729231613920949,2.64676333908394,553.820709030911,424.550285463595
"real_estate","uni_loo",34,4.86235602029665,-0.314180350249301,-0.00733388778963248,2.629417390329,573.755992295306,452.868790936679
"real_estate","uni_loo",35,3.4253867835702,-0.182721215001795,-0.0076704765923965,2.75938081098914,734.764670301953,458.305791198713
"real_estate","uni_loo",36,4.57284181175427,-0.318620686466986,-0.00726364007803721,2.60718613632173,620.754718736983,477.935735548126
"real_estate","uni_loo",37,4.25684353288879,-0.23277375135952,-0.00724836291397428,3.08469759666767,628.332181090441,480.243107541956
"real_estate","uni_loo",38,4.62238052100478,-0.398130839372121,-0.00738025004864326,2.84461186798581,652.72127317869,485.679445305251
"real_estate","uni_loo",39,6.03053598259549,-0.260139457341355,-0.00760675109431136,2.88219932274638,581.647116813005,463.29537368662
"real_estate","uni_loo",40,3.01151370376546,-0.26536470055211,-0.00720701888525121,2.42629581590648,577.716470586183,444.317715655907
"real_estate","uni_loo",41,-0.441124743581389,-0.284687572390828,-0.00698942138638671,2.98233417907217,644.533599027633,491.497558314941
"real_estate","uni_loo",42,8.83858378301695,-0.230166232719172,-0.00762853558929686,2.52967885035259,670.95696177932,474.113954627103
"real_estate","uni_loo",43,3.69358742680442,-0.237696284468076,-0.006981619078122,2.45708170572917,626.720673871726,448.895927107723
"real_estate","uni_loo",44,6.60990415446299,-0.229158443764131,-0.00673428767905236,2.7799462090965,607.069634568509,472.363686159007
"real_estate","uni_loo",45,2.22581557735352,-0.246750200223143,-0.00742161372817428,2.54133051726005,628.846608164234,447.760477270314
"real_estate","uni_loo",46,7.22450039342452,-0.201052351223204,-0.00644843440317786,2.47681741881335,554.75277609561,433.84349725375
"real_estate","uni_loo",47,4.5757941662268,-0.180410763391563,-0.00765859414773375,2.63815487582097,677.480666248453,538.517556246971
"real_estate","uni_loo",48,4.13691880452593,-0.208041173627741,-0.00717493666890549,2.47654257495511,600.865071944087,409.925527579474
"real_estate","uni_loo",49,7.39387326228871,-0.221446697540084,-0.00700105866850512,2.82316680714121,659.394007268319,510.490708068297
"real_estate","uni_loo",50,4.35962964398332,-0.35469988489186,-0.00758364849372053,2.57632919686895,630.771345779914,473.754942371284
"real_estate","uni_loo",51,3.97053742592488,-0.314963784612158,-0.00715780038020283,2.4874183163968,516.833176278126,389.441135356111
"real_estate","uni_loo",52,2.50436963380002,-0.326810067884201,-0.0072317104819445,2.63115381990651,599.446835563745,468.737185140784
"real_estate","uni_loo",53,2.29162533556783,-0.308790718179513,-0.00728194373990474,2.37987711782333,558.007607345092,487.872964952248
"real_estate","uni_loo",54,5.58404980354861,-0.203792014606351,-0.00759261859547726,2.57438669119902,568.62869485277,510.550430255462
"real_estate","uni_loo",55,5.64394389361073,-0.149296985405353,-0.0073721760969822,2.72306700105509,636.726383994685,483.814223800176
"real_estate","uni_loo",56,10.0071174121492,-0.292838798152628,-0.00745632353258613,2.64809272151363,640.802962663436,474.667016511676
"real_estate","uni_loo",57,-0.802833342893805,-0.361367131076795,-0.00662998894878956,2.76753694158076,641.994730189338,431.995245593498
"real_estate","uni_loo",58,0.891174645558467,-0.172137615322514,-0.00709830449081961,2.51841456440579,599.223640941026,441.877548601706
"real_estate","uni_loo",59,4.84783372593861,-0.217643329135084,-0.00719940125148959,2.52957981590118,565.292955220937,411.266732306149
"real_estate","uni_loo",60,0.178762958193464,-0.308683717755073,-0.00663690794713655,2.53078055052125,496.926180214989,440.351154450012
"real_estate","uni_loo",61,6.4207548620115,-0.365990200944579,-0.00774942669203525,2.25486296661752,647.724411808354,471.791147312573
"real_estate","uni_loo",62,2.77023405956205,-0.326548532775687,-0.00712312074269327,2.5638275862069,622.633122469057,460.949603069351
