"dataset","method","split_id","holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","weather_description","date_time"
"metro_traffic","uni_loo",1,242.464040805707,18.80150089921,0.219751492036922,-1196.97273383347,3.47228835275323,-30.1799199115663,-12.174891807983,-7.74798701647295e-05
"metro_traffic","uni_loo",2,279.215584065904,19.7847177412713,0.219562360135459,320.014768584414,3.68396073190878,-26.9405225525709,-13.425017706723,-0.00012297958563274
"metro_traffic","uni_loo",3,274.408173112419,21.5354393495981,0.227191796607391,-1170.81818331587,3.30447439967057,-25.2667629523964,-13.9632227051706,0.0022261375548792
"metro_traffic","uni_loo",4,290.318745379751,18.7606442500028,-38.7390310836116,1650.35506024021,3.52160541503709,-28.5461852055618,-14.0129587100748,0.00137856732040828
"metro_traffic","uni_loo",5,170.822369122851,19.8661957302464,-25.5042151999394,1933.76293845853,3.44431853073643,-30.5612040021533,-13.4973589537629,-3.53419722216986e-05
"metro_traffic","uni_loo",6,292.703576049587,18.7525912475682,0.220950849755013,1109.80978416229,3.25592900530381,-29.3802302996997,-13.3566992409441,-0.000270031954812724
"metro_traffic","uni_loo",7,151.455280079554,19.7166955341441,0.222013962899455,1454.71018755858,3.26918330850948,-32.9491487993972,-12.7428877707707,0.000301448832071352
"metro_traffic","uni_loo",8,312.853781997642,19.8791427819137,0.216342295166335,123.198405882498,3.5209326757497,-27.8852228879518,-14.0564282514319,0.000545517658146047
"metro_traffic","uni_loo",9,234.225076779172,19.9844458799651,-42.6535751825818,1742.24981087037,3.16332556421026,-27.0335073538277,-14.4173715582139,0.00202538409176657
"metro_traffic","uni_loo",10,254.935655212701,18.8529690784316,-48.5344720343495,940.408450261047,3.27354163229367,-31.2292393012144,-14.5439337069799,0.00198065306086892
"metro_traffic","uni_loo",11,290.671938096992,20.7788783335227,0.220508064005275,951.124003125598,3.32469705316666,-26.6139787968385,-14.0517379981183,0.00153387113534573
"metro_traffic","uni_loo",12,305.190584776066,19.5713218751535,0.219543663062606,-291.764806811784,3.88656967835683,-24.6098457318945,-13.7768329545952,0.00169935536268796
"metro_traffic","uni_loo",13,263.436586436702,20.0873532640546,0.21645322223849,-390.242611541953,3.18602864469031,-30.7303060968071,-12.6503195331459,0.00209523671953549
"metro_traffic","uni_loo",14,300.574616529678,19.7988879846518,-58.0276042796491,-32.5815723238776,3.49042640975488,-28.1591689556147,-14.457052608201,0.00130941677492091
"metro_traffic","uni_loo",15,291.578650948021,20.0095406829464,0.218826738016735,-188.927901444061,3.76606136254664,-30.9132735543901,-14.2274847582692,0.00117580425094686
"metro_traffic","uni_loo",16,264.325589674238,19.6156179874966,-34.3990426938861,-1956.40694141694,3.352123813693,-29.9215556625702,-13.8285947943498,0.00274720221139595
"metro_traffic","uni_loo",17,304.065489224433,18.6630239306377,-48.4783737116142,725.315089537139,3.5128308945613,-26.2530327589033,-14.2308052556732,0.000517865178724172
"metro_traffic","uni_loo",18,322.667583816754,18.5848377681969,0.221662259178022,1673.83660992214,2.71224694271567,-34.7966372077736,-13.4343921046664,0.000488675047372816
"metro_traffic","uni_loo",19,264.399255080035,19.7082539786137,0.219093152649488,-895.355919982216,3.83055137377375,-23.6427556277869,-16.7926152571729,0.00178861176473455
"metro_traffic","uni_loo",20,276.420004466345,19.5638916714616,0.223925009339653,1383.00427891729,3.17604966831009,-25.4320617789098,-13.1706249547127,0.001137581227663
"metro_traffic","uni_loo",21,251.439452981372,20.4821786699333,0.221988440764861,326.542565094647,3.22511939410545,-27.7799783016108,-13.6296243171801,0.00264241768478503
"metro_traffic","uni_loo",22,187.34647999749,18.3593029553675,0.219087632919532,1598.68763298122,3.69428103685713,-30.2408701232575,-14.9685604806959,0.00098941705008005
"metro_traffic","uni_loo",23,308.897157279477,20.0801470119014,0.218022214898513,342.843565963733,3.5319316065783,-26.1102842085491,-13.4637260705386,0.00148317414183058
"metro_traffic","uni_loo",24,320.417482556908,19.6405405817762,0.222965986861272,2064.34650546107,3.42565682425308,-24.3118539164492,-13.6943886031473,0.00118603941373473
"metro_traffic","uni_loo",25,326.935837216847,19.9345846168391,0.215857121368777,1901.40883254072,3.35562987745747,-31.1177594687785,-14.6526539360583,0.000416245602716329
"metro_traffic","uni_loo",26,233.589636264965,17.3488488946965,0.220132121934925,1738.91060587381,3.8381778711728,-28.2506217020392,-14.3401540535889,0.00149308743730358
"metro_traffic","uni_loo",27,255.543495364454,19.1084630207025,-42.0349505046712,-1957.32819425952,3.3297279697047,-31.3154122211695,-13.9443285535961,0.000576885804940572
"metro_traffic","uni_loo",28,205.985826398973,19.2559112924207,0.220633545849669,2141.49141770714,3.37568479563433,-26.7505503350973,-13.2119227717866,0.00135226963368452
"metro_traffic","uni_loo",29,245.635469782165,19.6001755167086,0.217367898417781,-2394.22087727177,3.65339425998727,-27.7504743840269,-14.399038782678,0.00124865400161128
"metro_traffic","uni_loo",30,183.45256186513,18.5289559717878,-38.0170214926199,2428.93906522161,3.54460073051963,-27.7992281814983,-13.9034703388983,0.00113973668852504
"metro_traffic","uni_loo",31,268.029490023496,18.5968864373269,0.220480757042424,743.551595556665,3.36476942996319,-30.3949517957936,-14.0419050539512,0.000989551479226942
"metro_traffic","uni_loo",32,230.45505985897,20.2561976261303,0.22055064489121,-2271.73883695171,3.66465294670762,-27.3353538913907,-14.5195915304587,0.00132894984304566
"metro_traffic","uni_loo",33,264.222651479836,19.6844488340086,0.2213144567243,2107.99873738764,3.45536931326521,-28.5652874127621,-12.2930983106826,0.00240842543271468
