"dataset","method","split_id","Week.of.the.month","Day.of.the.week","Non.urgent.order","Urgent.order","Order.type.A","Order.type.B","Order.type.C","Fiscal.sector.orders","Orders.from.the.traffic.controller.sector","Banking.orders..1.","Banking.orders..2.","Banking.orders..3."
"daily_demand","uni_loo",1,15.8767676653477,-21.0271570648878,1.14478645792999,2.37366378717755,2.75939275488588,1.54894061792553,1.67588074137547,-0.0712480754165605,0.00223763858491136,0.0012149831740177,0.00200875929960092,0.000977754418255154
"daily_demand","uni_loo",2,8.27629805615554,-42.2269093036863,1.31570989662101,2.58959513469375,5.67482341782542,1.84983378966787,1.87515537059411,-0.0492008273967136,0.003813027229069,0.00150778225608756,0.00199815870782614,0.000747233052021873
"daily_demand","uni_loo",3,17.3172461538462,-22.9385884353742,1.1164097835812,2.10561517044478,2.11656784934141,1.33370729888602,1.79983541902061,-0.0100505587799637,8.38318755531557e-06,0.00119944857513414,0.00167914639895033,0.000815575851560636
"daily_demand","uni_loo",4,16.0273433570257,-38.3900513833992,1.1770300338133,2.33774177915047,2.94209458434164,1.52875734178078,1.60704989107721,-0.00546209371181767,0.00233689705749003,0.0011051591093347,0.0016621042948903,0.000683920749866259
"daily_demand","uni_loo",5,21.7685025553663,-30.8830964125561,1.20728942005385,2.4077274809945,3.1246565983356,1.53230413974353,2.04721940560896,-0.0260300143534552,-0.000241339598423696,0.00136892327538755,0.00170139488505604,0.000674138702518208
"daily_demand","uni_loo",6,28.0658720436628,-32.8556069469835,1.25585807179508,2.76263707694317,2.44112011509982,1.66237841416829,1.8786128850694,-0.0268582712817011,0.00262478396748041,0.0014143399107602,0.00201663336980015,0.000713807126186561
"daily_demand","uni_loo",7,7.70161842105265,-21.163008356546,1.1257454344786,1.9277918412267,2.37590797799907,1.31858706433083,1.72065927554795,0.0617937824078062,0.00146076352631368,0.0012504194476048,0.00148753595467642,0.000137141527659941
"daily_demand","uni_loo",8,5.01900518134714,-29.7441430481283,1.3925125520996,2.38195161100446,3.41775970862717,1.72154120304902,1.76782524224504,-0.00968188852820408,0.00189918022170321,0.00106729293077274,0.0016424729442734,-0.000433462074610199
"daily_demand","uni_loo",9,15.8343701923077,-42.19975,1.28859028119216,2.6531481659787,3.79071575175987,1.89735689720731,1.75878711715047,-0.00368843423685065,0.00139559243651605,0.00131047600303263,0.0017193448140919,0.00128330547803673
"daily_demand","uni_loo",10,19.4097984496124,-31.2254988066825,1.21389739205983,2.62706057743864,3.08147964837555,1.38672810943168,1.63423614771883,-0.0124087881589562,0.00143236977927863,0.000690844072404829,0.00140596254674017,0.000304003341418346
"daily_demand","uni_loo",11,20.3595977229601,-33.3960786749482,1.16102070085145,2.84361351043033,3.11896991210184,1.402739005331,2.26832027031053,0.0394379475642157,0.00106290470813432,0.00126387578974913,0.0018526890123875,0.00164736449622493
"daily_demand","uni_loo",12,12.4153809523809,-23.1185,1.09097850825316,1.62823608462206,1.53258995833457,1.64147043336688,1.53336422931919,0.0316178148335041,0.000255896438577334,0.000671323732386499,0.00111183666870474,0.000998263911842609
"daily_demand","uni_loo",13,26.8210147058824,-26.466650921659,1.19637828317561,2.37445099222425,3.07548624117677,1.51296072837659,1.84853358250184,-0.0512132940568902,0.00145194351643452,0.00139344228335615,0.00185030979872416,0.0029982998924847
"daily_demand","uni_loo",14,23.9882404965089,-30.1517519280206,1.19649199251675,2.63743258089282,2.99698573215181,1.64414287924035,1.79299200449657,-0.0673628481239366,0.00162410892913146,0.0015641907652044,0.00183202471242304,0.00128795152049595
"daily_demand","uni_loo",15,18.4444735023041,-13.4637400722022,1.11980272868787,1.8414850381011,2.08583710214026,1.36203571923058,1.37608018221217,-0.0381263967978814,-0.00107740233678618,0.000900359357319268,0.00137340087994749,0.000316993454731156
"daily_demand","uni_loo",16,34.0633372781065,-35.8475531914893,1.12943518443581,2.48511645623129,3.29484041996139,1.55464649342669,1.9955610997999,-0.0436019726941937,0.00211131325337481,0.00140595280953635,0.00184010658530978,0.00083421851434159
"daily_demand","uni_loo",17,5.42150388601035,-22.22059375,1.2231427848416,2.40515299032315,3.12946109575479,1.80945160471418,1.72593193063402,-0.0257662512976991,0.00287742279292673,0.0013717771576684,0.0019703422309611,5.58470443689948e-06
"daily_demand","uni_loo",18,-10.6939413549039,-23.8224925816024,1.39785675665633,2.10418005073583,2.70258206624014,1.78271292683695,1.75594504837726,-0.0348922450404323,0.00191045477860622,0.00156324766013565,0.00173915648818334,-0.000578802760030305
"daily_demand","uni_loo",19,6.20407178217821,-34.2980164533821,1.25316275731742,2.71767870064741,3.24502010097553,1.96746583902115,1.8646474230385,-0.0599073566597681,0.00429848738013346,0.00165869729839686,0.00192089496649447,-0.000254390662252059
"daily_demand","uni_loo",20,24.930875,-31.2989736842105,1.21471352955298,2.37533590818296,3.06023058546681,1.5948666313404,2.10886729530165,-0.00762827895586509,0.00118094196608127,0.00122116762545762,0.00185431953117076,0.00132997813590781
"daily_demand","uni_loo",21,14.530886941775,-34.2862246696035,1.22269568161294,2.55768420629271,4.20187557365456,1.55830430986563,1.70413691408028,-0.0490847119837264,0.00375170282453334,0.00140234346098024,0.00180654279482465,0.000474378901116466
"daily_demand","uni_loo",22,21.1300407303371,-36.9393225806451,1.22759931825471,2.59583721885419,2.69519999876275,1.70999568742525,1.79359769789739,-0.0612112381114713,0.00425525748318352,0.00145160391851867,0.00219758721819926,0.00155482713649357
"daily_demand","uni_loo",23,18.4937789757412,-18.4368283410138,1.22262737618693,1.69582282746467,2.36432882963526,1.42631370697725,1.67261878613716,-0.000776851639985938,0.000621314618436658,0.000888637515153067,0.00140628375105711,-0.000244229359347284
"daily_demand","uni_loo",24,27.0473571428571,-34.1721260647359,1.11522334767743,2.43986365671369,2.84795114652218,1.42990464097433,1.93243238295931,-0.0485636608890679,-3.51722317985479e-05,0.00117505405243885,0.00172102925812475,0.000547121570118431
"daily_demand","uni_loo",25,2.52114010282774,-32.0799981807156,1.19809152276217,2.55371083976059,3.14093534832275,1.57286286460307,1.72691839446929,0.0105983063325902,0.00271558713827614,0.00110558591809107,0.00184942314960159,0.00200856806101812
"daily_demand","uni_loo",26,10.0090008920606,-29.0732393617021,1.29388540913161,2.24272678801927,2.99053281254027,1.5216305533662,1.71084583974281,-0.0281093426546354,0.00205425408742111,0.00161958064079992,0.00170379277323782,-0.00198467690799721
"daily_demand","uni_loo",27,-3.56092990654209,-28.4419010189228,1.2711436322602,2.7015706502821,2.80377288937776,2.03395818299884,1.79158578988247,-0.205836807923631,0.00355221911317999,0.00153489566832361,0.00179746345848103,0.00102633953529612
"daily_demand","uni_loo",28,-0.0951453488371967,-33.5569046225863,1.22341997342678,2.69816851905445,3.50455333352537,1.70443207524179,1.82911398364479,0.0696977602556036,0.00463878092393798,0.00128706584558262,0.00188938460536093,0.00175147028128256
"daily_demand","uni_loo",29,8.24001709401713,-32.1225394736842,1.28706137452157,2.84772123667953,3.58529434347795,1.77149966159188,1.83341438948966,-0.0492003403561637,0.00393113181516876,0.00143396634415136,0.00215769724789179,0.000979122963533271
"daily_demand","uni_loo",30,10.4247236533958,-21.0780324574961,1.22578027043163,2.38079200422885,2.28644096195628,1.60269302148976,1.82965349418826,-0.0249050307598758,0.00320578045835559,0.00136924301123748,0.00182623111713024,0.000440306737825186
