"dataset","method","split_id","Page.total.likes","Type","Category","Post.Month","Post.Weekday","Post.Hour","Paid","Lifetime.Post.Total.Reach","Lifetime.Post.Total.Impressions","Lifetime.Engaged.Users","Lifetime.Post.Consumers","Lifetime.Post.Consumptions","Lifetime.Post.Impressions.by.people.who.have.liked.your.Page","Lifetime.Post.reach.by.people.who.like.your.Page","Lifetime.People.who.have.liked.your.Page.and.engaged.with.your.post","comment","like","share"
"facebook_metrics","uni_loo",1,0.000246130079581099,68.1246022873849,57.3517368098697,-0.705165884970805,-7.62968281005973,-1.1397492724533,44.4783853145482,0.00518145610753347,0.00197938478770805,0.188835877550882,0.157728008879805,0.0298364910900811,0.00322748491773297,0.022288314328248,0.241613982212587,10.5228912590559,1.12470788874781,8.52390557724709
"facebook_metrics","uni_loo",2,0.000573331733365326,49.523466940733,74.7087019220422,0.960305899490168,-10.5747253715674,-0.302569036721335,64.9008771929824,0.00515888456713928,0.000916080768922333,0.12505590713308,0.0841963428795104,0.0319182174941267,0.00106416406107817,0.0251148097954569,0.232104218747232,13.5305271462653,1.12311622472303,9.37260922615913
"facebook_metrics","uni_loo",3,0.00180282362877798,14.7999999999999,75.4258379405667,3.92024778618209,-18.2317423115638,0.37022464222737,138.646659686715,0.0134960547055345,0.00181999297387734,0.276006564969152,0.184626866429208,0.0590436154959388,0.00132421476085731,0.0389170825369343,0.494016205481352,16.2395456870841,1.18001484465645,8.45389372956399
"facebook_metrics","uni_loo",4,0.0010735544135592,24.9665943600867,93.8618355931033,0.889921397379906,-18.3860194423638,-3.17747932648863,156.372202056866,0.00982770449276497,0.00158750471328548,0.230071051612764,0.145599785489776,0.0512558715137129,0.00130397933356946,0.0336371594468287,0.373918920596713,15.7154721416786,1.18491483220809,8.40838896089801
"facebook_metrics","uni_loo",5,0.00137863573068517,54.8138613861385,36.1712639334971,6.33752435709476,-4.49518216765824,-2.24840461637528,67.2019574646885,0.00450608373270947,0.000510526599881734,0.212365007406869,0.166356126716843,0.0396909441032567,0.000461201069746826,0.0207722160711576,0.254040620346327,15.241213214481,1.13768618656343,8.22084588683394
"facebook_metrics","uni_loo",6,0.000493591888558953,30.5982758620689,51.9971151093396,0.209008211377879,-22.1968658015146,-6.47274251556725,135.858995916406,0.0110680483369774,0.00170776232554385,0.33682729982642,0.260780740896131,0.0762925791381705,0.00123878667613932,0.033090611518326,0.384177171985549,15.8006245086437,1.20350929382423,7.9840791773437
"facebook_metrics","uni_loo",7,-0.000681873960088101,34.7775862068965,67.0391931090985,-4.93148020484538,-20.0506249403683,4.42502712597363,73.4682300131569,0.00576128412411572,0.000989865266275631,0.241717250207513,0.185831332050118,0.0376097804697709,0.00102819142335136,0.0225879819934496,0.291325540786838,12.9398123929475,1.11163279092411,9.31193650978121
"facebook_metrics","uni_loo",8,2.60612248463748e-05,65.1827125790582,70.3995044577624,-2.56177336847,-12.1801242236025,-0.660733385293828,44.2324026413278,0.00853678911072239,0.00300498724139383,0.228920996945019,0.174546184160444,0.0266090554945445,0.00334634667913424,0.0255266321202791,0.288760064384964,13.8977867341447,1.11377539193754,9.23467752440405
"facebook_metrics","uni_loo",9,0.00203385839625734,15.1792792792792,16.0893150684932,4.6459314655824,-15.5493935598497,-6.82466516386101,121.025990952885,0.0103199748548399,0.00125693394186038,0.32937563950755,0.248005465504631,0.0520178361026048,0.000771581718147058,0.0342009269312869,0.32710163528987,15.6527796615377,1.21109386439301,7.90983672065883
"facebook_metrics","uni_loo",10,0.00212812406266132,61.0152949048847,57.4688385580282,6.87083787989785,-13.541212823484,-4.92958645418393,148.756265513652,0.011073801368789,0.00371425641841361,0.21506638688934,0.136050124232669,0.0734753306188846,0.010656281764011,0.0359754092641052,0.315846915217104,17.0263452270291,1.18018361263407,8.23194964734711
"facebook_metrics","uni_loo",11,0.00244236846339447,30.122170439414,21.3008771929825,6.85673189604914,-21.3275018743975,-6.3987436016752,92.0016160310278,0.0126274770692599,0.00343323103547464,0.313552921833051,0.225922686297595,0.132287470800331,0.0113114819974477,0.0388731719521108,0.302981243466479,16.0784792689223,1.19683575493092,7.94204863763172
"facebook_metrics","uni_loo",12,0.000896393587901616,21.8584818684695,62.9651736827933,-1.03268749082272,-27.5787950770016,-4.75522604136963,138.293929998867,0.0101374547184675,0.0015784440853296,0.234073469152795,0.159875553936353,0.0428524359367489,0.0012779753388493,0.0335076555819019,0.382053393186405,15.7444670566566,1.19673608345303,8.25104599342126
"facebook_metrics","uni_loo",13,0.000832783933217474,68.1835135403233,57.1898706896552,1.76706020526111,-10.0316924034416,-2.20561532307079,60.6646979458261,0.0052211656894127,0.000575750732656244,0.106478580017882,0.0757708551056087,0.0276270209400157,0.000499406695419277,0.0202924355087919,0.25537530561476,17.6945430279235,1.11091772617759,8.14262344335433
"facebook_metrics","uni_loo",14,0.000164181616433374,39.9858307453416,63.1877717920426,-5.78326208076098,-25.8238608132583,-0.610469200193488,136.918444182056,0.012154731672282,0.0035808801787618,0.231324755510346,0.161276665791196,0.0708518247672108,0.0043224386084994,0.0445845482646455,0.349176706215222,15.927920294564,1.19428351864425,8.27735606763732
"facebook_metrics","uni_loo",15,-3.25308496156978e-05,30.6488465763456,90.177773692435,-6.40943019431266,-21.0870199225128,-1.11386564705679,133.868509971021,0.0158272459183432,0.004280901568117,0.341548042866855,0.259774504165707,0.0540731103615632,0.00429906147986228,0.03930593544795,0.330919413019271,15.6120977976589,1.18905670301461,8.15347318888483
