"dataset","method","split_id","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain"
"forest_fires","uni_loo",1,2.7119310380755,2.90881495973256,0.594208094408249,0.75081293984109,0.67572733366097,0.109376860177984,0.0243838078181413,0.753184028072357,1.6746348001793,-0.44873730626179,0.639211618576252,-13.9813087774295
"forest_fires","uni_loo",2,2.39163863793118,2.21588976377953,1.0247661341132,0.287322359332738,1.0026856336717,0.13142344129418,0.0223767184228936,-0.0392340371044301,1.74196149017527,-0.467768764069835,0.713792188612886,-20.7167349027636
"forest_fires","uni_loo",3,3.23817733852696,4.91869253396252,0.670500236827781,0.887664778451223,0.640208792371582,0.146300608538036,0.0213847987148877,0.664246473630615,2.12682958116533,-0.514007278317182,0.562674270288671,-16.5391435406699
"forest_fires","uni_loo",4,2.57515720599146,4.68995367624213,-0.628134140414789,2.08149391149391,0.368043649292452,0.0899498422387776,0.0099767576403001,0.816971557917529,1.06260562508054,-0.263215748543571,1.60996056894425,-0.841672064602496
"forest_fires","uni_loo",5,2.76668129330254,3.23063136935857,1.14456100996728,-0.644265772769749,0.0783440113169778,0.00428302152044524,0.00591008431939429,-0.242691972213323,1.09659149405093,-0.224427821966815,1.09259067281161,-1.05017396805314
"forest_fires","uni_loo",6,2.39049796874322,2.09200602788359,-0.349058815263552,1.35899895433949,0.689494139589087,0.0790478725457395,0.00749420482383525,0.664973928713983,0.932958690470706,-0.142227661015839,1.02188857324161,-8.82722746467859
"forest_fires","uni_loo",7,-0.675713962489555,-2.78677460145906,0.245826329693332,-0.0315840738276439,-0.0776914450181228,-0.00239896387103144,0.000712969410840742,-0.298671757994745,-0.127750560275045,-0.0349656618679719,-0.0853707610072076,0.228539721527603
"forest_fires","uni_loo",8,2.26493867874077,4.06810185957305,1.06657887476837,-0.978396514881409,0.34541498708899,0.0355346448908968,0.00806496155577438,-0.218134256620977,1.2215204636362,-0.334826295076597,0.704445045675684,-1.00477999297383
"forest_fires","uni_loo",9,1.33048683512988,0.907770680791404,1.61315647190282,-0.5859577354596,0.432819683594392,0.0367082734515559,0.0109547334302937,-0.16363640810748,1.17639837764263,-0.374103063271773,-0.0755962384951303,-1.01045148316467
"forest_fires","uni_loo",10,2.20967156147418,1.99104743062095,-0.544054912831537,1.44407406831574,0.651763928555548,0.0931706590739809,0.0112640798342011,0.789468327764701,1.20251927623091,-0.279806413090679,0.425670315906215,-0.69707196941851
"forest_fires","uni_loo",11,0.998530940009447,1.39481114034151,-0.0375281686356871,0.660662355378165,0.274838882164655,0.0415909545180653,0.00500359886897837,0.0523283152372562,0.47087498025988,-0.107654357277993,-0.178977684232617,-0.890682441317181
"forest_fires","uni_loo",12,4.07712324948345,6.26830313354048,0.54388610941501,1.05335773006058,0.964472629019736,0.121312119107001,0.0223397108807315,0.404644957053402,1.7898428411899,-0.592263078253456,0.757339330198959,-20.2697228575272
