"dataset","method","split_id","LATITUDE","LONGITUDE","LND_SQFOOT","TOT_LVG_AREA","SPEC_FEAT_VAL","RAIL_DIST","OCEAN_DIST","WATER_DIST","CNTR_DIST","SUBCNTR_DI","HWY_DIST","age","avno60plus_1","month_sold_2","month_sold_3","month_sold_4","month_sold_5","month_sold_6","month_sold_7","month_sold_8","month_sold_9","month_sold_10","month_sold_11","month_sold_12","structure_quality_2","structure_quality_3","structure_quality_4","structure_quality_5"
"miami_housing","lasso_cv",45,-1003447.71211613,2018923.93071776,4.07837986641234,179.036818527227,2.92899808669198,4.61852272762105,2.78315399104247,1.11433475238668,-1.1853496217308,-2.76245572594719,4.81960263313485,-1625.48152386149,-76710.400043459,-2545.57647924677,1749.0827645994,-7513.00189194864,8996.91001281161,4259.03925122683,-2096.41831312373,2899.8729943989,-3180.75686021353,5139.41192474737,-5657.61424350842,-654.630928678121,72227.2618085848,981139.61064311,143236.595260781,381836.778876735
"miami_housing","lasso_cv",46,-1171346.3226037,2487037.69921193,3.82969180295352,179.073581417792,2.76776433449686,5.18096724004669,4.16700466134717,1.2284796729624,-0.57195939386333,-3.49572540807851,5.60593861219861,-1548.33226953212,-107135.896929754,7757.75960637613,1791.01351736349,1464.76952915944,17892.8785629058,16008.5821274402,2825.11373826978,4977.26649428157,2882.8141968791,870.285325756558,5653.33279338146,10987.6146724597,100361.19947352,1154767.34822199,172851.108468278,422930.575221152
"miami_housing","lasso_cv",47,-970908.162838771,2152392.086199,3.33377127143542,178.691815648536,2.65129246259276,4.87997510209406,3.38674286812967,0.644878058852307,-0.106104613404977,-3.87967901777432,5.05007555267972,-1582.0609421786,-104707.19364971,-9344.46063983953,-1627.14583136998,-12471.3447403208,-3116.74357951301,1300.84540071742,2857.41711853169,-6018.34094241289,-10840.3866761927,-6039.97193941406,-9348.12904562883,1987.22452816712,82567.8827680681,1063355.48494183,153252.527817933,401738.923225459
"miami_housing","lasso_cv",48,-958558.652825319,1955108.31487425,3.34064765134397,183.325639154256,2.69506489708686,4.3790527661595,2.7801379382824,0.844977822790792,-1.07112409683343,-2.93426881595299,5.20984681109331,-1580.42366012406,-102352.617720697,17266.0767638237,2783.53080849382,-865.975605932813,6576.36913357017,17778.5801116561,11758.866820173,8312.78678402073,527.39267650643,15194.1848242422,12280.3438219818,11638.7219466853,78746.0695388659,1025152.82180064,146540.873567318,378258.739528715
"miami_housing","lasso_cv",49,-880761.087621928,1824346.5088255,3.51088754790813,180.555754504873,2.63472318187286,4.31348553866697,2.16954441070739,0.812212899646483,-1.0783876118741,-2.72746922094956,5.39951459575173,-1647.8132455049,-90239.2862695027,189.295103993537,0,-4539.68193059345,15296.8495092016,20802.3104795535,12202.1536777487,4454.13698811329,6994.77765517006,-2088.02316763217,13216.488416625,7568.81570363723,74150.1708221859,883744.857642327,140497.302907542,380765.623548861
"miami_housing","lasso_cv",50,-1031879.63128946,2233071.21689203,3.97116531304483,178.174356138674,2.63165541029778,5.18654421705648,3.30939482560592,1.08390182234083,-0.513648422337928,-3.40828554074848,4.94212065596564,-1411.88889953039,-97182.6787003449,10094.3484982802,5586.69179862251,0,21382.5104489274,18400.8549697882,5609.94195766657,12668.5358172806,1364.33286087375,6510.32655466382,12943.926611202,21502.5089353442,100419.312274301,1062751.41906343,174884.323716626,407870.523914172
"miami_housing","lasso_cv",51,-943943.761317134,1867186.92242705,3.39388906286375,178.79435766928,2.73929750560243,4.34194741738784,2.16443029328979,1.03302168330263,-1.40659101323242,-2.56729727133772,5.13249826296233,-1639.97616954832,-90434.7982577199,1756.67660082521,-2266.55204512567,3689.54947758266,13134.0306748052,16597.307054063,0,4808.45705935435,-4037.17763322686,1388.19141314997,7189.67730275495,4181.62710331542,95283.9001076471,1096298.97767455,166579.859638415,408669.338427218
"miami_housing","lasso_cv",52,-1026299.6109122,2036412.47685081,4.13874538828815,178.863376766613,2.95488581203153,4.37074245967533,2.7481523274784,1.30738431387321,-1.27373401286659,-2.73647569395579,4.80723771110027,-1711.28744465042,-84344.9053185738,-14480.1658884439,-4234.77965708198,2378.71961969448,6675.7190679734,4003.57541473825,5993.74881394668,3215.81642493136,-4300.8311329332,7947.51215278224,1585.94313839115,3663.84272507651,85261.8455923325,880989.65428319,161755.76320957,408263.787291905
"miami_housing","lasso_cv",53,-1038774.24525922,2145228.87395709,3.23678342605079,178.074191642738,2.83294259433568,4.5223922602332,2.83235545396565,1.30227598601065,-1.05599187500719,-2.69860538408578,5.94406497186116,-1497.04618850328,-98014.5884213645,0,-2764.03495699102,4413.07232604443,16996.8556102667,13527.5450465324,7159.47398651217,6638.4017747282,3283.89994303259,9686.74293249381,3046.12536123769,12249.2871897027,96269.9847742721,1021424.58444213,167346.989164963,411240.392852183
"miami_housing","lasso_cv",54,-932642.940006849,1821935.34548966,3.71251781647453,175.034787736422,2.69212965784586,5.16047237383032,2.0053709005248,1.19931963854749,-1.45973274468627,-2.35700008194111,5.44698810066303,-1679.08056860703,-112024.892584649,9585.62839376741,1083.78463051545,711.436362022392,8492.59038700223,9350.5201705614,10310.8638462024,13752.2428355998,5599.65887206679,0,7850.94343472728,12111.3399400116,68460.0056037984,994894.309146256,142126.573641997,388962.527581981
"miami_housing","lasso_cv",55,-918398.978506782,1656971.45604287,3.9060190912562,183.370352220688,2.46177036074105,4.14897305419472,2.02981541071475,0.966942273376962,-1.80054481521669,-2.32406824748367,4.21445015249448,-1523.7200080767,-112440.744544862,1275.14418827457,-2843.60685308053,4204.66699970213,12294.6654913001,11830.3475019508,18271.8271114368,-2393.32494342342,-10952.4693822526,15.7920991912601,2547.47491889285,0,76475.0889104894,1105611.29061374,146994.568461998,377513.443400604
"miami_housing","lasso_cv",56,-1159746.74901589,2321158.64040668,3.49503044164315,179.453526859586,2.94827423410175,5.51528143288773,3.40879409242753,1.43393335040645,-1.12151494578006,-2.98388307924467,5.262103300326,-1524.39677952451,-95042.4563413858,2533.70908606181,6010.5446981579,4595.47612031017,19562.3099862926,23768.3762444677,2779.55605324105,10056.6668111377,6808.47192626343,1777.7720069005,14214.7212166668,3629.68517619037,102984.249157439,1056237.90244779,182169.907672399,424463.074782186
