"dataset","method","split_id","lon","lat","med_age","total_rooms","total_beds","population","households","med_income"
"ca_housing","uni_loo",14,-2822.275859333,-7734.11862365189,910.059054857906,7.59790875275095,14.111957679529,-2.50843375583782,20.9206615957903,41935.9504792929
"ca_housing","uni_loo",15,-2583.61386585985,-7990.47488677982,949.158616944105,6.87487245512805,11.6284151810632,-3.19278538490873,17.4751014606167,42193.4895200182
"ca_housing","uni_loo",16,-2948.39802262065,-7560.72892897265,972.716768061132,7.05384762002807,13.709295587149,-2.21307972922453,20.0371261392857,42401.4170560381
"ca_housing","uni_loo",17,-2641.27889078546,-7795.92091971475,936.185851898201,6.64123103668272,12.4179528945481,-3.2182809454444,17.971206844639,41759.0490462051
"ca_housing","uni_loo",18,-3514.24675362575,-7047.60989391756,971.079400607867,7.5302037845464,15.7847007083517,-2.01679887081646,21.7169520433443,42106.840751497
"ca_housing","uni_loo",19,-2982.34104731919,-7368.79229857498,939.483425483683,7.23604352144773,18.3596018416062,-0.66885999616805,24.910023043103,41291.759996516
"ca_housing","uni_loo",20,-1953.89258956082,-8302.37326889558,1039.81308225873,7.06083318942645,14.8651604364679,-2.19902569490738,20.7795181433543,41459.6295043727
"ca_housing","uni_loo",21,-2975.32999454503,-7498.02284953084,965.247749283161,6.9293068182595,12.0779717934549,-2.52184907767817,17.7223202865051,42119.2716798586
"ca_housing","uni_loo",22,-2886.03066732976,-7562.9808442024,971.496521469173,7.55325576363499,13.6054253834914,-3.0533027563744,19.5181585067433,42056.3148531267
"ca_housing","uni_loo",23,-2923.97719000176,-7416.0559088859,995.585530260316,7.32729103926068,13.5902648549783,-2.51406711891586,19.2931483743874,42262.135000218
"ca_housing","uni_loo",24,-1952.22416658452,-8203.2174076378,921.891697841237,7.96656856346697,17.3797968598749,-1.6318339540924,23.4922926173558,41891.4039533249
"ca_housing","uni_loo",25,-2908.98046424952,-7572.28950276109,963.729451734277,6.5112790994564,11.1724407698334,-3.31501563771299,17.0372016800338,41819.6629191807
"ca_housing","uni_loo",26,-2567.59417267958,-7760.2874339944,963.04047233108,7.12289340269119,15.0865440010972,-2.10573338142436,20.8421121645212,41698.8945533564
"ca_housing","uni_loo",27,-3190.80794035676,-7541.96919450634,993.922794233941,7.32977916454108,14.7087934575074,-2.15986002421966,21.0654055424624,41496.0616244107
"ca_housing","uni_loo",28,-2600.61785713839,-7824.85938146308,977.490395781493,6.98392256234041,13.4688267346979,-2.9590109836737,19.6608581126098,41729.9745455516
"ca_housing","uni_loo",29,-2734.93426298242,-7776.36135833985,968.697283223495,7.01108730142317,13.8766342989974,-2.35209841832478,19.7385319029584,41884.9445652126
"ca_housing","uni_loo",30,-2634.23088853686,-7905.40500852856,911.894495331114,7.45329294891192,13.7323353382804,-2.6249256830552,20.0636708064947,42228.6233699607
"ca_housing","uni_loo",31,-2728.8915939515,-7733.47277611058,977.525922192103,7.5053858196329,12.5631833528364,-3.1737982098615,18.9941888697417,41814.3707344654
"ca_housing","uni_loo",32,-3268.7046772939,-7269.82309480727,960.142620896126,7.71059331621016,14.6997619512138,-2.62620364363926,21.4852365387048,41498.5029925179
"ca_housing","uni_loo",33,-2515.50893781931,-7837.55069696038,911.540875578665,7.95820164227556,17.8180438995982,-1.63357361915373,24.9735032907491,42245.0942042467
"ca_housing","uni_loo",34,-2549.26046768274,-8040.60521208795,1096.48531380017,7.01387211470617,14.5854777128245,-3.08840387803166,20.6357111759643,41779.52533029
"ca_housing","uni_loo",35,-3039.1730463949,-7325.29369317797,1000.32813304607,6.85687625158585,12.0172297846062,-2.70266720671071,17.7265785487695,41525.8235040939
"ca_housing","uni_loo",36,-2945.9761737567,-7523.9133635661,998.485129488513,6.92836256035532,12.2909424958583,-3.36155544161403,17.7248315380687,42140.4175721687
"ca_housing","uni_loo",37,-2677.52463067158,-7780.15506901956,947.688530100127,6.95745310488262,14.8042009079072,-2.31584810992274,20.3878777289747,41666.407585216
"ca_housing","uni_loo",38,-2897.13780237229,-7379.04532845588,895.807873667027,7.17474996927549,12.7336990707813,-2.85444884848407,18.7503841266536,41970.6642212495
"ca_housing","uni_loo",39,-2388.43907027808,-8009.04984244204,1025.82105920282,6.58013851603449,11.7904214445759,-3.19424352483388,17.6829460262512,41517.1082629674
"ca_housing","uni_loo",40,-2513.05470759968,-7738.91893995543,1001.76259770834,6.91170044923035,13.4975459517065,-2.41207026159938,19.3609186230782,41073.3968631533
"ca_housing","uni_loo",41,-2179.83793923487,-8281.50679718815,989.154280231383,7.42240073909482,14.0173460107863,-3.0661568052083,20.5571928645221,42201.0366011421
"ca_housing","uni_loo",42,-2560.82681040028,-7867.12085524182,1035.45463986908,6.79374359277535,14.1219875440914,-2.26319349132592,20.0867469228772,42332.0417625389
"ca_housing","uni_loo",43,-1990.80650572225,-8317.31979320318,968.652879036267,7.04994601770529,13.2111031072763,-3.058985647457,18.9881623318831,42081.3653988872
"ca_housing","uni_loo",44,-3347.53713546611,-7400.17683817652,959.142123874151,8.13842824259604,16.4318447270229,-2.24522731172088,22.6354558705648,41518.3992791794
"ca_housing","uni_loo",45,-2604.29980970826,-7874.7705311735,893.38522509315,6.79402316917387,12.2448479913942,-2.98436746060433,17.8188772855752,42013.1661209739
"ca_housing","uni_loo",46,-2378.88638439588,-7888.56264134081,1010.7818433366,7.41038431463779,14.5510466445927,-3.00581568277515,20.8688402661867,41985.834802638
"ca_housing","uni_loo",47,-1884.73494765085,-8439.74553307767,999.63185815387,7.2366736842666,13.8231487627027,-2.62786821146417,19.5261492822013,42068.4867962294
"ca_housing","uni_loo",48,-1732.94376099297,-8432.2499901554,958.190469430097,7.06462639480487,13.4127576030646,-2.18062732339883,19.8174626163368,42281.8022189947
"ca_housing","uni_loo",49,-2698.44913313166,-7919.93184287538,1061.92145207472,7.42277265497135,13.4678231520898,-3.45902600425657,19.7193220874885,41851.2602961599
"ca_housing","uni_loo",50,-2963.73450917787,-7552.4542637037,1020.58712781153,7.54309480351207,14.7543147403838,-1.94631226677646,21.7791684395559,41743.8592466518
"ca_housing","uni_loo",51,-2867.24856168387,-7479.52519526228,995.778817994762,7.2646645777221,16.0818956912077,-1.24413974919043,21.9620866370576,41821.7883521217
"ca_housing","uni_loo",52,-2863.07264998403,-7737.93336143269,999.019872666047,6.69568433807014,11.6052101761796,-2.72579063367954,17.5113557789089,42059.267834297
"ca_housing","uni_loo",53,-2551.71979409631,-7796.19557347508,857.139907047037,7.24786456585959,14.1386724137745,-2.42591846514896,20.0638522762664,41680.7682221251
"ca_housing","uni_loo",54,-2329.65575174743,-7891.08903734589,948.635653514152,6.88932648490694,11.3777154560436,-3.01087383223449,17.4710000515957,42091.3192290665
"ca_housing","uni_loo",55,-2685.65709461657,-7772.12635481238,1005.17776653941,7.03594153565644,11.9572588609976,-2.87822630588715,18.1956682207863,42055.4627817314
"ca_housing","uni_loo",56,-2320.05624267936,-8316.45284601454,1059.23331224731,7.10999951627664,13.5099775366702,-2.98720811787906,19.6755985674096,42113.1880138861
"ca_housing","uni_loo",57,-2952.22930495992,-7710.14034137368,1054.91178356494,7.46986271772179,15.7026095889328,-2.32120226254052,21.7341338507346,42317.2787270272
"ca_housing","uni_loo",58,-3219.71478180618,-7417.94280757723,1011.56998208174,6.99244038417134,14.8380346384935,-1.91477377782387,20.9544322468905,41323.0516182904
"ca_housing","uni_loo",59,-2927.46164783901,-7494.6989679857,920.261389546251,7.07457182383666,14.2976344391428,-2.3620802356664,19.7114112745311,41413.7197492354
"ca_housing","uni_loo",60,-2268.72457395392,-7807.83696709388,892.658653001335,7.55639530747452,16.8920779611566,-1.80027693651543,23.4124384558136,41856.9350082907
"ca_housing","uni_loo",61,-2653.75130034873,-7656.33524322926,859.720443037605,7.01433246229227,11.8843818031389,-2.7083988912618,17.9726223499707,41520.6884801335
"ca_housing","uni_loo",62,-2511.30605044217,-8021.72836892505,1079.54017788373,6.50307523219212,11.1830812032821,-3.16794963795391,16.9032396975017,41502.0076559649
"ca_housing","uni_loo",63,-2306.48284227686,-8051.66478436308,883.685542524319,7.05827186173221,13.6135767143838,-2.24230348137085,19.79372637352,41362.6855803417
"ca_housing","uni_loo",64,-2223.78531945934,-8182.36032627833,975.16781268172,6.82496158287523,13.1794142818705,-2.7452718719563,19.2386634521537,42208.0070731748
"ca_housing","uni_loo",65,-3152.10664912821,-7483.5245441604,1007.10837459939,7.16119230826058,14.8984406372995,-1.8514636679669,21.7770911273265,42132.8781475688
"ca_housing","uni_loo",66,-3058.98314907561,-7526.84225189632,994.936673638537,6.94423749967895,13.160822693542,-2.6683176330235,18.7802360599302,41665.1727571167
"ca_housing","uni_loo",67,-3351.90872025111,-7333.79231564044,1011.5529287059,6.89155436763117,15.2259076159742,-2.12886940682174,20.7682761053139,41283.8220502947
"ca_housing","uni_loo",68,-1810.34645688891,-8482.29020406257,853.702878553081,7.75993168414029,15.3198878316689,-2.6771801125445,21.3409574363862,41860.0841042566
"ca_housing","uni_loo",69,-2601.27207280095,-7864.18528852606,887.842245967886,6.51450313072876,11.6428564450399,-2.87899369345539,17.5421717565246,41393.7765078983
"ca_housing","uni_loo",70,-3402.14195687889,-7071.75885221551,925.979086924224,6.70091703165611,13.8068828299612,-2.02128348100889,19.7757097162087,41872.1279725262
"ca_housing","uni_loo",71,-1886.80595942823,-8757.57233535918,873.982363985239,7.29064590775284,14.2834232672592,-2.111644758169,20.8950384811994,41744.2628353429
"ca_housing","uni_loo",72,-2563.79434830212,-7926.56718559367,921.846528379833,6.72869987310239,12.5513328577853,-2.63747445697947,18.5542520544242,41430.8522941726
"ca_housing","uni_loo",73,-3217.35656466101,-7344.76716392849,1119.10629480771,6.66079940658997,12.6985315215835,-2.95950723253247,17.8674737156587,41854.1817901427
