"dataset","method","split_id","lread","lwrite","scall","sread","swrite","fork","exec","rchar","wchar","pgout","ppgout","pgfree","pgscan","atch","pgin","ppgin","pflt","vflt","runqsz","freemem","freeswap"
"computer","uni_loo",33,-0.0453122636719916,-0.0657038589376279,-0.00377763026465262,-0.0331051935563965,-0.0335739853411737,-2.81843724901013,-1.0197959997485,-2.50561454803399e-05,-3.950352427826e-05,-0.813632674795851,-0.272141044512998,-0.130602231099317,-0.0454937942970496,-0.451210658423427,-0.326088486961998,-0.195004819349902,-0.0622151794422531,-0.0422949571776732,-0.0947936339987301,0.00205986598098208,3.05805159565983e-05
"computer","uni_loo",34,-0.0450649744674919,-0.0591381544211649,-0.0035387633044361,-0.0293524894359192,-0.0292353663838221,-2.62869775969729,-1.00493672774578,-2.68596929315379e-05,-3.9614792584832e-05,-0.787645849492787,-0.284153826509347,-0.129944609150924,-0.0491869911141237,-0.502102740596589,-0.316521560404892,-0.20296276371093,-0.0602693699051489,-0.0406641532140495,-0.0863417480132025,0.00199477195230193,2.90588701864987e-05
"computer","uni_loo",35,-0.0469112708654975,-0.0748441410883872,-0.0037508589437229,-0.0274529921036143,-0.0265555043850174,-2.73105963611036,-1.03640039860318,-2.70177699216673e-05,-4.03988760593494e-05,-0.850256430245796,-0.288435709899986,-0.140705849145413,-0.0521089355760165,-0.415325983700298,-0.329483201012245,-0.216050456565244,-0.0610762402196948,-0.0411687976954773,-0.0863533665851495,0.00203614973375426,2.97428136405306e-05
"computer","uni_loo",36,-0.0642212614468442,-0.0739072828189709,-0.00357368922636598,-0.0347028983980589,-0.0383693250601756,-2.69004528857986,-1.00492325096154,-2.49775823657802e-05,-3.77237048827007e-05,-0.875931175791102,-0.275824563415331,-0.131038903462037,-0.0493247052851486,-0.297699805332444,-0.340700818004424,-0.197546526200959,-0.0596942790391017,-0.0403570445536707,-0.0939571755164243,0.00207191027506477,3.06507086486232e-05
"computer","uni_loo",37,-0.0419212135013148,-0.0780653189369601,-0.00371597154140528,-0.0379227427283136,-0.0418786682735665,-2.69655464821849,-1.03146266846663,-2.79451916194655e-05,-4.07944234792166e-05,-0.811623601571424,-0.274976001636246,-0.127594347543979,-0.0482303062648127,-0.450556709952516,-0.335116289751802,-0.194802852311619,-0.0602021801747881,-0.0409043219926609,-0.0981665956304915,0.00207341477491178,3.06770579772068e-05
"computer","uni_loo",38,-0.0602284347135008,-0.0792684485068799,-0.00368389109859915,-0.0308704657299624,-0.0317217697242241,-2.69746001192675,-1.0134589062492,-2.66255744323787e-05,-3.79377135976437e-05,-0.726368782807882,-0.24839081107522,-0.117145635408515,-0.0469549338011164,-0.849107942427809,-0.323637397541677,-0.187286271892015,-0.0600464751159274,-0.0396645771694697,-0.101402728960271,0.0020099160925894,2.93796091065414e-05
"computer","uni_loo",39,-0.0530676927324844,-0.0701994993553271,-0.00363204112346433,-0.0335397165374938,-0.0403792071703477,-2.7497431918281,-1.00332431529747,-2.29958084333903e-05,-3.24475560255502e-05,-0.794631390756199,-0.259290517789607,-0.121520485117245,-0.0501304202767649,-0.635016877079755,-0.322040259279176,-0.192029479665537,-0.0609077157490579,-0.0410975663747214,-0.106616536350536,0.00206244130036982,3.01454122510207e-05
"computer","uni_loo",40,-0.0467655799643262,-0.0668420006701244,-0.00372860117142636,-0.0268761866486275,-0.0257978745657886,-2.68046894232286,-1.02742605313741,-2.66885883542893e-05,-3.93734218060765e-05,-0.782959097026708,-0.258327909893813,-0.124314104986388,-0.0467337806742425,-0.426316077602274,-0.326180335959567,-0.204274242818058,-0.0598306580685997,-0.0408097151962392,-0.0965911508839518,0.00202285557977807,2.96112604720969e-05
"computer","uni_loo",41,-0.0455951437245323,-0.0637437197586985,-0.00356999141769767,-0.030339516441112,-0.0310359090345653,-2.66122081206483,-1.0032093813882,-2.40337275263945e-05,-3.64440635573739e-05,-0.657727072078165,-0.229476499104132,-0.117273277760047,-0.0469365403808011,-0.365439131550701,-0.312652644838483,-0.186390021673646,-0.059119738170724,-0.0401282603501393,-0.0907525594075985,0.00199978347412986,2.90894488194697e-05
"computer","uni_loo",42,-0.0700760915573949,-0.0853182655892523,-0.00364329227097704,-0.0291939664534196,-0.0282176588107096,-2.6503986221681,-1.00884851674845,-2.53237582246376e-05,-3.89600046938727e-05,-0.636235142028308,-0.225190444277541,-0.115559281098381,-0.0466447667299027,-0.402903063889564,-0.317607117507165,-0.190101844688012,-0.0594027193075942,-0.0402913258249714,-0.0851556479063882,0.00202602131918757,3.00742248757097e-05
