feature,importance_rf
smoker_yes,0.6820920900066029
age,0.1416887735361289
bmi,0.13051833606350652
children,0.020885856964825655
sex_male,0.008856035371780887
region_southeast,0.006652884653138849
region_northwest,0.0047998906429402325
region_southwest,0.00450613276107599
