"dataset","method","split_id","age","test_time","Jitter...","Jitter.Abs.","Jitter.RAP","Jitter.PPQ5","Jitter.DDP","Shimmer","Shimmer.dB.","Shimmer.APQ3","Shimmer.APQ5","Shimmer.APQ11","Shimmer.DDA","NHR","HNR","RPDE","DFA","PPE","sex"
"parkinsons_telemonitoring","uni_loo",1,0.239305583952042,0.0116288413961472,112.753683204935,7084.04562485662,169.465648415471,153.182505452403,56.5014608902048,25.2588399491426,3.12500149727157,35.7916223224305,35.4421835917776,45.664312134325,11.9304015681324,9.9780049694651,-0.272377346872369,8.91944194923852,-13.7951965875233,12.6560306560691,-0.0178251800174918
"parkinsons_telemonitoring","uni_loo",2,0.232429206808541,0.00807913883413931,141.824336125537,12946.9290918667,227.514771844082,183.59652552405,75.8512701063047,33.0358396493944,3.94178615048912,52.8550346702434,46.9059682636744,57.3433459779316,17.6182880899543,10.8097441836893,-0.307436520114912,10.0604670449464,-11.5580819760194,15.0312412255091,-0.460515360749443
"parkinsons_telemonitoring","uni_loo",3,0.250957484233744,0.00954623130704878,92.3087238738924,8708.30053326666,127.881917216643,124.634596441939,42.6576811871017,27.1199332987564,3.27224576307455,42.6124271534849,38.2295497169173,52.4892044235723,14.204128901082,8.13281516615246,-0.28486692902438,11.6437143582207,-13.4972936085508,14.4863278198744,-0.377078948390516
"parkinsons_telemonitoring","uni_loo",4,0.239569369057687,0.0120739662039668,160.670140280711,15910.0908885652,253.922358651986,216.9974490621,84.6554450029402,34.4661097282095,4.24337957567463,52.3892522649885,47.3851562697561,56.8709212775306,17.4626019323577,13.0915635177163,-0.343014221239211,11.9109577166184,-14.0875546607074,16.0604692459071,-0.684661320512561
"parkinsons_telemonitoring","uni_loo",5,0.238614746572903,0.00658398319515454,112.884028005799,11839.2549354127,175.411981775057,153.923311326082,58.4824915342731,31.2620043507232,3.80243686695421,50.2136067739305,43.566468042995,54.4398152641729,16.7367516859623,10.4167179791591,-0.30863796404972,10.265107761968,-12.6806338134731,13.8525843747787,-0.56971419509167
"parkinsons_telemonitoring","uni_loo",6,0.264733556970072,0.0113155546163994,134.713099314311,11740.2370634602,197.937846249224,179.084991243365,65.9892626514955,33.770114887546,4.10618872180883,55.8782024115305,46.8282255925009,58.7940774465137,18.6262210698996,10.5304711469458,-0.314944707601373,11.2950073168741,-15.4222287031061,14.9448226168044,-0.589479415212484
"parkinsons_telemonitoring","uni_loo",7,0.257790720686138,0.0112841146302722,114.5380018444,11065.6215684807,186.64211130366,157.77192082783,62.2243999142123,34.5959236077977,4.15410016311203,59.3443182804351,48.3891121691992,56.7921958583627,19.7808124654774,8.75588172724285,-0.318230813435849,9.25147288027065,-11.888611708221,13.6670863205123,-0.628169482255301
"parkinsons_telemonitoring","uni_loo",8,0.255043503045495,0.0127051884278171,107.385970169626,10521.7093444587,159.907922396139,146.654207506206,53.3097513308902,26.5467749666743,3.25616044969548,39.2692592366145,36.684369004286,50.5204071354321,13.0889079799695,9.35672043313598,-0.27534143852952,9.90609044872734,-13.8060184914016,14.3069296058756,-0.517548094578959
"parkinsons_telemonitoring","uni_loo",9,0.258149673942335,0.00664216785299296,134.521843986811,10352.6215052742,215.733306240764,176.728172399943,71.9212268767734,33.3390714578252,4.063476961096,52.2182575979742,45.9971838775293,57.3670441863312,17.4064615216492,9.92711199659883,-0.283635146568711,9.14709597180835,-14.0096642358074,13.8657761189518,-0.445239866157303
"parkinsons_telemonitoring","uni_loo",10,0.251121282515946,0.0112288513903475,128.387212568568,9079.94461021923,194.505938457762,175.032446818861,64.853959906692,33.4186270389464,4.04955935791423,53.8523711958112,48.0048176744278,57.5895653984322,17.9502071465322,10.5072815828293,-0.284745947119739,9.44539170688306,-14.0602639560272,13.9410870530442,-0.143188517493435
"parkinsons_telemonitoring","uni_loo",11,0.245631195958717,0.0118263713285434,142.866094525841,12238.9430920507,228.179638264343,187.622606920715,76.0674291247372,31.2543886203246,3.82455471632624,46.5938506727844,43.0090905814043,54.9363937032506,15.5316023826052,10.8632249386533,-0.297390737781702,9.96723289886662,-11.5717058797448,14.4978943342939,-0.547994222872418
"parkinsons_telemonitoring","uni_loo",12,0.229721022667511,0.00694107439156832,121.604409859818,13232.2744399768,184.649078015441,168.255471596966,61.5817503056806,31.7065189812002,3.81602045299447,50.5243716398851,44.5820302811994,55.371099926808,16.8407091172594,9.24224323022751,-0.311541795497744,10.3205055273178,-10.1091653348191,16.4235229164086,-0.529154044257879
"parkinsons_telemonitoring","uni_loo",13,0.271440274433217,0.0108422584417216,145.193798620262,13204.5035147675,220.975605042447,206.961219275052,73.6503059972552,36.288101809499,4.39805937156,57.2090230348028,50.1895740026475,61.6625968968475,19.0706549167967,11.9761822828868,-0.328847951363927,9.91209834061585,-13.4577053878646,15.8475359962639,-0.587732621916235
"parkinsons_telemonitoring","uni_loo",14,0.264119931169634,0.010526058125455,124.609158185017,7854.96872007993,188.886487478002,169.397527099616,62.9730407540897,31.0329606039331,3.67146012735589,49.701449414218,43.9007743929128,52.449189332482,16.5676624093384,9.66242291701408,-0.279978968590189,8.43067918372601,-14.3223525386997,13.1998612571743,-0.294616132003475
"parkinsons_telemonitoring","uni_loo",15,0.244094377717464,0.0137384683038184,100.832857386124,9922.15586770567,150.537824706449,146.718322737096,50.1907193249951,28.3439091110224,3.48052901060193,42.6146241320965,40.0631182961238,51.3622995922845,14.2046544622517,10.4208611468093,-0.281804876142155,8.66651877721759,-14.7183263771149,14.2680831956469,-0.686599420461135
