"dataset","method","split_id","number_of_elements","mean_atomic_mass","wtd_mean_atomic_mass","gmean_atomic_mass","wtd_gmean_atomic_mass","entropy_atomic_mass","wtd_entropy_atomic_mass","range_atomic_mass","wtd_range_atomic_mass","std_atomic_mass","wtd_std_atomic_mass","mean_fie","wtd_mean_fie","gmean_fie","wtd_gmean_fie","entropy_fie","wtd_entropy_fie","range_fie","wtd_range_fie","std_fie","wtd_std_fie","mean_atomic_radius","wtd_mean_atomic_radius","gmean_atomic_radius","wtd_gmean_atomic_radius","entropy_atomic_radius","wtd_entropy_atomic_radius","range_atomic_radius","wtd_range_atomic_radius","std_atomic_radius","wtd_std_atomic_radius","mean_Density","wtd_mean_Density","gmean_Density","wtd_gmean_Density","entropy_Density","wtd_entropy_Density","range_Density","wtd_range_Density","std_Density","wtd_std_Density","mean_ElectronAffinity","wtd_mean_ElectronAffinity","gmean_ElectronAffinity","wtd_gmean_ElectronAffinity","entropy_ElectronAffinity","wtd_entropy_ElectronAffinity","range_ElectronAffinity","wtd_range_ElectronAffinity","std_ElectronAffinity","wtd_std_ElectronAffinity","mean_FusionHeat","wtd_mean_FusionHeat","gmean_FusionHeat","wtd_gmean_FusionHeat","entropy_FusionHeat","wtd_entropy_FusionHeat","range_FusionHeat","wtd_range_FusionHeat","std_FusionHeat","wtd_std_FusionHeat","mean_ThermalConductivity","wtd_mean_ThermalConductivity","gmean_ThermalConductivity","wtd_gmean_ThermalConductivity","entropy_ThermalConductivity","wtd_entropy_ThermalConductivity","range_ThermalConductivity","wtd_range_ThermalConductivity","std_ThermalConductivity","wtd_std_ThermalConductivity","mean_Valence","wtd_mean_Valence","gmean_Valence","wtd_gmean_Valence","entropy_Valence","wtd_entropy_Valence","range_Valence","wtd_range_Valence","std_Valence","wtd_std_Valence"
"superconductivity_data","least_squares",41,-4.85640013559683,0.983980104515976,-0.960463899604351,-0.605692441792554,0.683925539864991,-31.2105789957891,4.24717939311107,0.247067183954438,0.0244231368080764,-0.699745508813384,0.137004805343131,0.138022890704651,-0.192216313698505,-0.129834948052749,0.209659243370307,-104.048403208317,44.0647809698846,0.0720068116815382,0.0239679290410984,-0.199098848161232,-0.0281848544090293,-0.474813687853126,3.20205651976003,0.1662572116374,-2.81407567154773,66.3839559180747,35.8404000585393,0.19727310661713,-0.0940282333768641,-0.412351875803203,-0.269255535870765,-0.00541554508138059,-0.000103321153618724,0.00137417863602443,0.00249591198740321,12.46239943569,-17.839691369968,-0.00181454438358686,-1.5452766612602e-05,0.00734076220261102,-0.0022725773609892,-0.161731083324998,0.499266920879917,0.244753422442315,-0.567733555923356,2.77719614674103,-22.7065298768948,-0.353528414532664,-0.144451735549927,1.24296335249933,-0.536455355403011,1.87204196676291,-1.94229224792198,-1.71120533479794,1.69236930730108,-19.9443210427658,25.1525800305879,-0.389751411977996,0.537740446286727,-0.60267662938521,0.803909295087436,9.12787236706822e-05,0.467125055063257,-0.0994397918497809,-0.290533915796973,9.27594929102965,3.21637446441985,-0.054029692109977,-0.201271365163417,0.134176444685497,0.0396816049738283,-18.7461366704386,29.1079401452894,22.0621815083786,-32.3055684574599,79.7141603931711,-64.900138970668,4.85311200896479,-1.20330093562729,7.11065815139301,-25.5085942725635
"superconductivity_data","least_squares",42,-4.12594401488783,0.947832848303459,-1.08209927499157,-0.603026710585633,0.811595057417422,-30.570453444262,-1.20206103001635,0.225998616160989,0.0237939186967034,-0.613199249456555,0.141660012329175,0.0989003064124332,-0.0204909830246363,-0.0862940708716298,0.0333891037422262,-114.666277174763,36.7143958532373,0.0844451608715592,0.0188472901547308,-0.223079454864336,-0.0523310730292952,-0.347083301297399,2.90231541694396,0.00223888286008871,-2.5022743405845,72.8641117956813,53.9788150773402,0.124457620385022,-0.0786298055382183,-0.257886974172276,-0.253503248153965,-0.00418028044807628,0.000503247898753015,0.000785837623723228,0.00158976721845403,11.204005881111,-15.7234731398329,-0.0016069584290102,3.30629628481071e-05,0.00559704403947645,-0.00150938208933743,-0.165558208739941,0.561011531880206,0.231518641777283,-0.622445298308752,3.67749003857731,-19.4295969506409,-0.397815721854476,-0.131944798650983,1.30682092279233,-0.531045049735765,1.48760083802893,-1.72714019129816,-1.38347762897374,1.44351467799108,-14.4784043932226,25.5692202031883,-0.48390726024039,0.583962266724447,0.0417720611286042,0.540657888021794,-0.0585417654651867,0.526083864665464,-0.0640523824877754,-0.314832688828089,9.50985612416356,0.80489503274731,-0.0760504609321741,-0.225132307113291,0.246495507750199,-0.0148894545095888,-28.721083251182,33.9331957405302,31.3541580136079,-36.1414015731297,76.7888654380377,-71.4768961015208,4.92580557209305,-1.12423709055441,9.54663204248832,-27.168405483249
"superconductivity_data","least_squares",43,-2.36027230489161,0.818577208048385,-0.893326084208075,-0.481909901058336,0.629303499066728,-44.5143641894722,10.8656347772603,0.243510718772285,0.0526867649770646,-0.630562762652502,0.0736336181234535,0.174320817271332,-0.165626612350153,-0.177150931865097,0.189832651315165,-111.170558254729,48.2006822468754,0.0642349314004717,0.0248030599466209,-0.183833359334941,-0.0287730475772625,-0.638973464787265,3.2172333661321,0.318354225470835,-2.84764804186628,59.7005764278519,35.5341874160752,0.165911378447182,-0.10042628277188,-0.294416682328714,-0.331611483191334,-0.00523856196737097,0.000695986250899173,0.00149767469978782,0.00172528663062881,18.2522399762381,-21.0667767677035,-0.00146209808438872,-0.000275856589932019,0.00622343983240772,-0.00189644768560258,-0.0341237790794611,0.485462610121164,0.130766632450983,-0.557955886936176,7.52591106733506,-24.4487522138122,-0.395002525986166,-0.149391875784228,1.32236345959985,-0.572835405306932,1.76334502539312,-2.08942679035787,-1.51461412761376,1.67907417907461,-17.2734366628773,23.8698797428227,-0.272261800752654,0.629908190153408,-0.856095374990849,0.847472812635873,-0.0538299613366997,0.513652621208575,-0.0841291552077302,-0.305272349749278,11.0858447089788,3.72194059065976,-0.0739141204442512,-0.225574425075903,0.232994699590723,0.00787512652307756,-18.5778143396818,30.1647599718284,21.4552450400471,-32.7669141680742,81.9604470279769,-64.0295245650999,4.56642801030269,-0.956593801092482,8.22529545735109,-26.0832799101579
"superconductivity_data","least_squares",44,-3.28270357436374,0.812226351692083,-0.795985425018674,-0.451938009102983,0.524409274970284,-30.045295956073,6.45321688973517,0.200600267226658,0.0214368613813297,-0.515854621156582,0.0889397654844514,0.229601483474424,-0.183838751621317,-0.219620600663727,0.203657530370844,-78.6628251959284,41.1990032369482,0.0809439101613567,0.0226778913417215,-0.219241743028444,-0.0365908863853099,-0.73565363124319,3.40752981959236,0.415639749214604,-3.01607512399992,58.05808028593,41.3315043756795,0.143089160155001,-0.0883191955683331,-0.215210314316185,-0.376216942260903,-0.00548885839552611,0.000831893409226437,0.00146487827355389,0.00167953750795228,18.1534961080489,-19.9023295333609,-0.00180945830968827,-0.000188688099739828,0.00732863498031804,-0.00240325693262824,-0.0874592451096451,0.484844192148836,0.147147979190062,-0.523112035250256,3.82239690324657,-21.6920706851534,-0.395529753098233,-0.158240014656412,1.24781264265222,-0.468694520580418,1.85683722623113,-2.13732393799529,-1.68713202915812,1.83299604233967,-20.1626320818617,26.638717474513,-0.339269367129016,0.590293549825201,-0.762706205101315,0.935251556667451,-0.0863293679601114,0.527133823138322,-0.0374591924738825,-0.326838998050385,14.2658815658882,-1.56758192693636,-0.0938010090839943,-0.240345177382432,0.320013442661822,-0.00346921667219735,-25.418204218254,26.1165313112843,29.0185113929534,-29.6756420333855,45.2251330089799,-62.341153682405,4.44430841749718,-0.236749976146983,8.38708884198125,-25.7530743550863
"superconductivity_data","least_squares",45,-2.18544599343998,0.827158040875022,-0.904423955537167,-0.45446978560253,0.604255292611139,-37.1541645280692,3.56040427625726,0.232907072248261,0.0308526906933159,-0.619943794398829,0.0937534108553523,0.175188949396026,-0.176393022615414,-0.172235517704581,0.197095029148924,-116.256054958534,42.9500599863859,0.0639685641831892,0.0214175743419458,-0.179742805703,-0.033706895621712,-0.712725150737524,3.66331503085401,0.355861307492626,-3.25310861490217,93.5660441759121,48.1677068884148,0.188910261957225,-0.0775322721393037,-0.228750686512899,-0.47366546652896,-0.00506407926549269,6.16254779233117e-05,0.00109809136927598,0.00264266545891692,13.5222625464426,-14.8589798215551,-0.00187523565286016,-8.87730429279424e-05,0.00641376273123702,-0.0010206551570749,-0.118427875701119,0.555854025899155,0.193113142422056,-0.605495578281184,2.29807613369643,-20.7263488835563,-0.356756670996121,-0.156001207008556,1.18035632432935,-0.527449159022729,1.86996968523439,-2.281453643505,-1.67140943669309,1.93648523775405,-18.0693120588422,25.7555575164885,-0.500170723501277,0.62775889622357,-0.342819249624696,0.922497312171538,-0.0157744085142565,0.527348772968333,-0.0813337202968435,-0.353237858239544,8.56435134235581,1.31713357694846,-0.10847030158179,-0.205522263985836,0.292548739062121,-0.0254768132800608,-21.9696066684785,20.1152107720677,25.5926326969625,-23.5974384561701,62.8451237756741,-76.4770944807344,5.04183902378491,-1.45758810879727,7.89630257915016,-25.3123772228032
"superconductivity_data","least_squares",46,-3.71114186337132,0.893237290805934,-0.993520173398541,-0.564033709127613,0.745282821988141,-31.8574311385875,-0.678556679723344,0.187566596382555,2.80444420276169e-05,-0.534858920666785,0.136405202755488,0.0979286156163039,-0.0926046436363633,-0.0897570127390173,0.108780876128757,-91.5633131420243,44.2429187831997,0.0681678425302091,0.0213716778745235,-0.181648707792778,-0.0358816099998343,-0.423321717563946,3.15495847955305,0.0743612386327458,-2.74948744214544,62.8888459854817,53.9298775653323,0.21715976046253,-0.0719745351988704,-0.431208407334312,-0.331113608384511,-0.00522130904501011,0.000398244411853489,0.00168139470836485,0.00177212179975455,13.0101872000867,-14.7126904135084,-0.00139168865459804,0.000146471409355717,0.00587203233664935,-0.00179594412338973,-0.167219192920158,0.567141818919588,0.209145029124378,-0.5844786590903,3.50960283780493,-20.8904756312403,-0.387938379338421,-0.154985570689061,1.29006890353959,-0.548756039563099,1.78254192635207,-2.00076532100805,-1.58521970703957,1.68747833731388,-17.492322854058,24.3026684320999,-0.403671225546202,0.584938812531049,-0.516707939161935,0.82052392836459,-0.0376280947901573,0.527341406826119,-0.0706713000159872,-0.342270766740415,7.45021935520831,1.68536138020389,-0.0871378550609293,-0.211418266871645,0.237860279576347,-0.0103302162399737,-12.1197814069009,11.1858036487498,17.1744099073365,-16.4049983563017,67.3445265999175,-80.0944164695382,5.36368718826069,-1.2214198145633,4.18455866838872,-22.0858946748356
"superconductivity_data","least_squares",47,-3.22367685965597,0.766752180588711,-0.840717784599009,-0.422623247794234,0.56992784275167,-39.2520893112343,-3.27400728460308,0.178190419137521,0.0154601288896472,-0.431563131624376,0.0286125747864436,0.126881045333003,-0.191344284820898,-0.117136851398806,0.211499106470411,-122.695595229772,44.7258418644385,0.0690384032502142,0.0187280676080426,-0.192941515780909,-0.030355585018401,-0.558823908860747,3.40011573148247,0.217288101899884,-3.01401919518288,72.493342531456,55.6365301863893,0.244915989066278,-0.074394018185411,-0.479842394655501,-0.335903834014241,-0.00481791140263539,-0.000581702709464701,0.00140453771663692,0.0026247132529699,14.6100345253146,-18.0653081266918,-0.00152056345158089,2.69334791393701e-06,0.0060553981637266,-0.00153033511131175,-0.00667781904338693,0.425257327073917,0.0979276944143068,-0.497955703717174,7.55916213067441,-23.6506618267498,-0.396416329399078,-0.143018166400118,1.27718632092615,-0.517139196698688,1.67531136429145,-1.81294140603716,-1.58667940247138,1.50165802592915,-21.7064630454434,26.991862653514,-0.362742685521708,0.607484175932157,-0.493742429905214,0.550458998473519,-0.119612632513201,0.540586427197269,-0.0356774297868476,-0.296191932743359,14.1764843608865,-1.04504508590864,-0.0941920723003628,-0.259826098450514,0.331018290443798,0.00272878778552162,-14.5452139095523,21.6007784708477,18.244802911359,-25.1379779794777,82.58306545015,-68.9028860694274,5.58907328346083,-0.430630430828488,6.32701598998648,-25.9473172289589
"superconductivity_data","least_squares",48,-3.6577297157332,0.955476657406234,-0.955714127873419,-0.609103687927976,0.688500867044484,-32.7997637295841,-0.763963144631612,0.26352810398762,0.0185243127884454,-0.707223254473543,0.102586048343622,0.183058805988045,-0.238776852172625,-0.168296352712528,0.248252987406482,-127.700615463937,41.4918893339023,0.0702921428669335,0.0219677667824866,-0.204591759855914,-0.0204408554878861,-0.677329645354519,3.59291065548656,0.353706908211066,-3.2216070972241,81.7635121214598,60.9634591332484,0.168181601451015,-0.0559924047375613,-0.248733042620319,-0.409114572584565,-0.00478728753560008,-0.000808964948969619,0.00112258877325541,0.00314090635946026,19.2923316676052,-22.7839089821375,-0.00157021598403854,-0.00027253019351477,0.00649859126027854,-0.00159453319393839,-0.0496596477236441,0.479205471678114,0.13038129255731,-0.557378767348204,1.19949469778029,-18.3401475134021,-0.35155661490478,-0.104884604483759,1.16716767935749,-0.538359302701668,1.57704864634375,-1.7030015613447,-1.45529470673291,1.41725578951199,-18.4840707210882,22.0683225584984,-0.374801258006252,0.549058587591114,-0.333822371491116,0.496735606644214,-0.0804263282196482,0.529024189108685,-0.0533440138417699,-0.322294739363012,11.6435868290681,0.47124238886784,-0.0971339653943292,-0.236179080362543,0.302024657400014,0.0105127202887739,-22.592295571004,27.4940558720935,25.7649810364321,-30.0649276858804,71.6825820866904,-69.6183906685666,5.97275735568011,-1.33010635537328,4.96811161563342,-25.7419248542145
"superconductivity_data","least_squares",49,-2.77036998470553,0.843550518886118,-0.94572945596287,-0.510935357280718,0.715763518874373,-36.3973639677321,0.620346582746999,0.213815259539679,-0.0113237346948161,-0.559857337337121,0.124535845883833,0.22315794254588,-0.343668222104422,-0.209576511746683,0.358244724526888,-165.154469047422,44.4494468131747,0.0616664042452596,0.0205045608814643,-0.226695718676117,0.0234194425520168,-0.347074684193347,3.27928008691437,0.00892100549654189,-2.90771562165848,112.202327152716,52.3696667103436,0.21822291140937,-0.069764006209076,-0.404977754515198,-0.337906494434654,-0.0039277538659701,-0.000839455895109722,0.000550134169648982,0.00273762511584174,13.7427749077251,-20.8071984975838,-0.00186108821155503,0.000274415484370309,0.00651826413782977,-0.00166801511899842,-0.0708702688843273,0.442617684075592,0.174833221441225,-0.544464977464248,6.12156353140885,-23.3129178788123,-0.36221034269133,-0.117037247984528,1.23429792865186,-0.529543018950611,1.518881389786,-1.73305257175042,-1.29287652094306,1.37675367190327,-20.3015750718964,25.5500725083387,-0.457837866197062,0.607156729482625,-0.0633679675360462,0.426540679872857,-0.0684306731955036,0.513202908029032,-0.0829799691662026,-0.287931924668179,11.9544286567228,2.22069129124348,-0.102078754272538,-0.245562406311978,0.304312782836064,0.0191177400574266,-18.5953690523866,31.7825880564068,21.9772695575984,-35.1047693939837,89.1655968498149,-72.4004426385954,4.53582354389842,-1.19168214415479,9.95577285746048,-28.5152809057688
"superconductivity_data","least_squares",50,-4.14828377249739,0.953297609507993,-0.986172010775049,-0.625062712145656,0.745851633089052,-32.1760731831736,2.44008660903661,0.212510042128699,0.00839507158114362,-0.635634428529429,0.186467062354842,0.185760639598061,-0.133841398938129,-0.173435899062683,0.148587188263074,-98.4245688878582,39.7751344310292,0.0558002023475012,0.021822258325969,-0.172501963716289,-0.0281387751137865,-0.7930025874015,3.28196750335689,0.508116602355433,-2.92565805205976,73.2990204187975,46.1393656128141,0.215408535399894,-0.0791180536905298,-0.319166160835097,-0.376009959409946,-0.00486017172657301,0.000291577881570687,0.00100720195679455,0.00217467583264625,12.3019474789059,-16.6772886815861,-0.00165563693197125,-0.00011607927187027,0.00630609732139498,-0.00186651385502666,-0.168110376367733,0.576249965980733,0.248923381250198,-0.638247640092616,0.229495445673095,-18.7745556690494,-0.344586929962742,-0.125173068001699,1.22025202095142,-0.595248869082497,1.93542210849566,-2.23793839518319,-1.78863153497405,1.98082721745394,-20.2784386457632,24.3624644859146,-0.368577881879607,0.553041338304134,-0.72045939622328,1.01090378051787,-0.0772188505228712,0.557980480507958,-0.0377289997748029,-0.372583339436762,8.72815880872194,3.50942651689623,-0.073450893162264,-0.216458343147134,0.241479656399387,-0.0114349783447448,-30.0604952996753,32.7338694347383,34.0769887519318,-36.5054959002982,69.022603939504,-72.2083581066827,6.10280251931557,-1.03301626956622,6.59472836607972,-27.1712605629896
