"dataset","method","split_id","DateTime","Temperature","Humidity","Wind.Speed","general.diffuse.flows","diffuse.flows"
"power_consumption_of_tetouan_city_(target_2)","uni_loo",1,0.0265398094578814,337.366257924472,-97.029021826881,316.185208739183,2.95302033065341,1.64881024991383
"power_consumption_of_tetouan_city_(target_2)","uni_loo",2,0.0277874990341204,347.536123978241,-99.9568717466298,338.389340696508,3.12711614959224,1.89964446898652
"power_consumption_of_tetouan_city_(target_2)","uni_loo",3,0.0287506568413546,342.018876416475,-98.2256901195947,331.921438275875,3.16425660267347,1.92454660826366
"power_consumption_of_tetouan_city_(target_2)","uni_loo",4,0.0279377815759657,343.734301465146,-98.5370366583435,326.544915874941,3.08583888085665,1.86339326964654
"power_consumption_of_tetouan_city_(target_2)","uni_loo",5,0.0256716555737703,339.805894664839,-97.7315797869667,326.02422089677,3.05136884731907,1.73441090296766
"power_consumption_of_tetouan_city_(target_2)","uni_loo",6,0.0239255507935761,340.927717259809,-97.1360304853851,319.001030426874,3.07599921274472,1.77761326812166
"power_consumption_of_tetouan_city_(target_2)","uni_loo",7,0.0242992144493687,339.531950408044,-99.6731024475926,310.22427324979,3.03607803545954,1.84291596267251
"power_consumption_of_tetouan_city_(target_2)","uni_loo",8,0.0253900596112898,339.138314524465,-99.1733672773034,324.855863732795,2.85725762977194,1.6125704180907
"power_consumption_of_tetouan_city_(target_2)","uni_loo",9,0.0249789381114045,340.071710600477,-99.2724787338497,306.132473341891,3.11753271618824,1.98539934615383
"power_consumption_of_tetouan_city_(target_2)","uni_loo",10,0.0271913291234798,344.987332423122,-99.5355353051409,320.303502992899,3.12149048077477,1.90507152051155
"power_consumption_of_tetouan_city_(target_2)","uni_loo",11,0.0248828269583899,336.742242312663,-97.9816050959971,318.360628401074,3.0038729003305,1.75486334971295
"power_consumption_of_tetouan_city_(target_2)","uni_loo",12,0.0291009585757771,346.24626870624,-98.0762038001382,330.400332094819,3.12992728624523,2.05896510693154
"power_consumption_of_tetouan_city_(target_2)","uni_loo",13,0.0267557514192901,338.019559811617,-98.2345515714587,310.736073366145,3.0450785461149,1.72411323914889
"power_consumption_of_tetouan_city_(target_2)","uni_loo",14,0.0288560276659022,345.470526467011,-99.4590965249624,328.941579583257,3.13373144309222,1.8298248281025
"power_consumption_of_tetouan_city_(target_2)","uni_loo",15,0.0294195255859614,346.092902852933,-97.8081003906055,342.196331891124,2.95588259041556,1.66627481207111
"power_consumption_of_tetouan_city_(target_2)","uni_loo",16,0.0281438361254862,343.497731343942,-97.4302925763759,323.944843286703,3.10572416744616,1.8854727916822
"power_consumption_of_tetouan_city_(target_2)","uni_loo",17,0.0271494515574143,340.224059474482,-100.320495967941,320.271665049129,3.11650671439513,1.69437683686666
"power_consumption_of_tetouan_city_(target_2)","uni_loo",18,0.026997920470863,338.473298039074,-98.8448912216219,306.758809591971,3.28473085601648,2.02267308075915
"power_consumption_of_tetouan_city_(target_2)","uni_loo",19,0.02884301655045,345.701288190502,-97.4640234838169,334.069665440119,3.11598106600561,1.75943257289063
"power_consumption_of_tetouan_city_(target_2)","uni_loo",20,0.0289147249305185,345.711022325258,-99.0473330182114,337.78071574977,3.26383441047709,1.9354762910013
"power_consumption_of_tetouan_city_(target_2)","uni_loo",21,0.026522870113745,344.131372496062,-99.3204440686298,325.700504190168,2.98962738477646,2.07873299561649
"power_consumption_of_tetouan_city_(target_2)","uni_loo",22,0.0247894376745243,336.700197985631,-99.7833974792233,314.546003339461,3.16593055823353,1.98610104340126
"power_consumption_of_tetouan_city_(target_2)","uni_loo",23,0.0271725439621918,339.450853481454,-98.1036258713886,327.426279208251,3.11043502628378,1.83358925534072
"power_consumption_of_tetouan_city_(target_2)","uni_loo",24,0.0263404541109043,341.65262456436,-99.5863703209194,326.405574591442,2.97484661450081,1.57996966315526
"power_consumption_of_tetouan_city_(target_2)","uni_loo",25,0.0261945071192836,342.090414913733,-98.619554186564,329.335930472881,3.03456499231583,1.71797170374809
"power_consumption_of_tetouan_city_(target_2)","uni_loo",26,0.0261542242774849,341.807677676491,-100.232002898388,324.657329025983,3.06103963876192,1.93530365099063
"power_consumption_of_tetouan_city_(target_2)","uni_loo",27,0.0267846314930821,343.839428615408,-100.757156780396,319.624578442407,3.07034718635812,1.98862731133725
"power_consumption_of_tetouan_city_(target_2)","uni_loo",28,0.0273714679722224,342.982716476789,-99.0807674427436,313.781627540823,3.22088930726361,2.18281900959846
"power_consumption_of_tetouan_city_(target_2)","uni_loo",29,0.0260995444028555,343.021714718608,-100.490509971953,346.835792100322,3.14033957489509,1.98356792183297
"power_consumption_of_tetouan_city_(target_2)","uni_loo",30,0.0272727504290094,342.865864559581,-98.8424893146033,317.858404733185,3.21517920734637,2.07563825509583
"power_consumption_of_tetouan_city_(target_2)","uni_loo",31,0.0243437982550954,337.942865178203,-99.0486084050445,317.048528676249,3.04449642374475,1.92344072837963
"power_consumption_of_tetouan_city_(target_2)","uni_loo",32,0.025817022989282,339.71962601827,-97.1096622995717,310.364317447763,3.07104588931089,1.81847809357509
"power_consumption_of_tetouan_city_(target_2)","uni_loo",33,0.0283775085134602,341.632700006178,-99.4378620991285,323.308200439663,3.08903999502697,1.72123834335984
"power_consumption_of_tetouan_city_(target_2)","uni_loo",34,0.0269183978726929,344.451956754211,-96.9760726457105,323.90920226435,3.10389656020351,2.02671383418893
"power_consumption_of_tetouan_city_(target_2)","uni_loo",35,0.0278678938226053,345.130777411932,-97.7288587090951,327.871201943784,3.12075122103759,1.76292745181135
"power_consumption_of_tetouan_city_(target_2)","uni_loo",36,0.0273177344657888,341.974701004792,-97.8454654642295,328.493313394786,3.08077287005537,1.96942752556744
"power_consumption_of_tetouan_city_(target_2)","uni_loo",37,0.0286856946855976,344.064991154313,-99.8901082301645,332.456058929023,3.18109081094099,1.89873513725182
"power_consumption_of_tetouan_city_(target_2)","uni_loo",38,0.02604865617186,344.089572086353,-100.271121788643,311.367956194423,3.17897502480685,2.25691528360843
"power_consumption_of_tetouan_city_(target_2)","uni_loo",39,0.0293967262070008,345.426883714869,-98.4753493690097,329.201854593998,3.12517009703072,1.91808495649098
"power_consumption_of_tetouan_city_(target_2)","uni_loo",40,0.0260031596903403,340.808450748429,-98.3820257898792,325.729717942999,3.14576375945132,1.71941335855039
"power_consumption_of_tetouan_city_(target_2)","uni_loo",41,0.0253188734562021,338.045536221188,-98.1561745280297,306.71144886848,2.96018424514629,1.8014174309466
"power_consumption_of_tetouan_city_(target_2)","uni_loo",42,0.0259399575503327,340.637353594295,-97.795431279132,321.163768615207,3.07516712991026,1.83827583156177
"power_consumption_of_tetouan_city_(target_2)","uni_loo",43,0.0266234383556249,341.705949646245,-99.000165839154,320.430302451383,3.10270527671241,1.96205095692638
"power_consumption_of_tetouan_city_(target_2)","uni_loo",44,0.029152535248901,341.145332950969,-99.5369855387404,332.650766241148,3.25783803340111,1.81807373458165
"power_consumption_of_tetouan_city_(target_2)","uni_loo",45,0.0253730972989948,335.197715016315,-95.867242032074,309.012484640295,2.95695851076913,1.72239171184951
"power_consumption_of_tetouan_city_(target_2)","uni_loo",46,0.0261548526476286,340.317308844704,-98.6294725461417,321.097995860479,3.16448046595528,2.13311858343243
"power_consumption_of_tetouan_city_(target_2)","uni_loo",47,0.0285222824094673,340.41372500226,-99.5609525599955,329.10542332015,3.00584481219071,1.50391989167211
"power_consumption_of_tetouan_city_(target_2)","uni_loo",48,0.0295931544784706,342.298658983432,-98.4014978935071,316.986795453431,3.09462928947896,1.86283270257818
"power_consumption_of_tetouan_city_(target_2)","uni_loo",49,0.0279327327719543,346.016032922926,-100.302953923596,326.212811195367,3.00636658147169,1.69563885852443
"power_consumption_of_tetouan_city_(target_2)","uni_loo",50,0.0276638180450473,343.750618659719,-98.3491384169035,319.726559626684,3.1462100671072,1.99028239146026
"power_consumption_of_tetouan_city_(target_2)","uni_loo",51,0.0256869519406066,338.190708661817,-96.869021424785,322.777421145652,3.02867212633547,1.62703708361396
"power_consumption_of_tetouan_city_(target_2)","uni_loo",52,0.0256993789379528,340.710745331584,-98.7606064329959,319.027602924714,3.12866257361104,1.6972785212512
"power_consumption_of_tetouan_city_(target_2)","uni_loo",53,0.0272342730796804,347.946738878578,-100.178662963746,325.65262719313,3.21471536699692,2.19058391751988
"power_consumption_of_tetouan_city_(target_2)","uni_loo",54,0.0297362440830033,344.840683470293,-100.941104720894,341.047015949813,3.14375073748659,1.78275493677658
"power_consumption_of_tetouan_city_(target_2)","uni_loo",55,0.026812270513743,341.31942209718,-99.770429751017,327.675587933398,3.20356297433552,2.01511279198874
"power_consumption_of_tetouan_city_(target_2)","uni_loo",56,0.0278812924785676,342.081134776733,-96.0246410920378,336.575651805499,3.01835074151454,1.75026877753755
"power_consumption_of_tetouan_city_(target_2)","uni_loo",57,0.030148867845736,355.04827332094,-99.6249185502913,351.96874811642,3.1337434203686,1.94771823665974
"power_consumption_of_tetouan_city_(target_2)","uni_loo",58,0.0300471652179481,347.893711976145,-99.7861532469956,334.889520426157,3.13422921602257,1.83209353985305
