"dataset","method","split_id","Gender","Age","Ethnicity","T_atm","Humidity","Distance","T_offset1","Max1R13_1","Max1L13_1","aveAllR13_1","aveAllL13_1","T_RC1","T_RC_Dry1","T_RC_Wet1","T_RC_Max1","T_LC1","T_LC_Dry1","T_LC_Wet1","T_LC_Max1","RCC1","LCC1","canthiMax1","canthi4Max1","T_FHCC1","T_FHRC1","T_FHLC1","T_FHBC1","T_FHTC1","T_FH_Max1","T_FHC_Max1","T_Max1","T_OR1","T_OR_Max1"
"infrared_thermography_temperature_(target_2)","uni_loo",1,0.049904190086883,-0.040957769246316,0.02928397005727,0.0188334270322709,0.00132599505207414,-0.0314046538650404,0.139784727476303,0.597061673076215,0.60125584554869,0.36999882074436,0.424404123018255,0.651613676353454,0.607036401001671,0.622476716602047,0.652019486944391,0.626057544085576,0.607162144841927,0.568289236497124,0.62746073695344,0.53005863531792,0.524884842833047,0.683738896986654,0.684024750299483,0.265863927772839,0.278376076511125,0.227513484176868,0.306103043296504,0.231145418359508,0.495856134774734,0.404469704231467,0.818810499464105,0.626552336359612,0.626527105216691
"infrared_thermography_temperature_(target_2)","uni_loo",2,-0.00260865301318623,-0.0469197730194034,0.0206779635188852,0.0420262051241563,0.00278571439164732,-0.862140882497791,0.24814940010559,0.654098459827678,0.686539271684768,0.437134880804868,0.534379919591026,0.700464782727888,0.667020560295218,0.676088876827514,0.701963985140246,0.712533479462986,0.702177073301008,0.650080245942778,0.712839706140289,0.602685340419598,0.614000187269622,0.748201064048576,0.747882566463291,0.369641165241168,0.370179077551912,0.326390217756086,0.408980247821235,0.318819644441605,0.606871055869399,0.507513324729307,0.886360434167503,0.687187102886686,0.686481889245072
"infrared_thermography_temperature_(target_2)","uni_loo",3,0.0924120555087351,-0.0518136602046204,0.0336354235766996,0.0373227086734799,0.00133848554756209,-0.757100632135714,0.18677834835173,0.672360726758029,0.689532673756639,0.489173086121421,0.546280987171407,0.709901052336034,0.687502805609895,0.678561659554713,0.710400479500677,0.710291844602636,0.701468068575599,0.645504819580126,0.710736110708219,0.610397827579356,0.620741300298934,0.755657855139672,0.755718009611764,0.418779561998287,0.426870626076822,0.374854140920344,0.434431914859094,0.346472310744843,0.668687552157657,0.561236137022035,0.882290284907872,0.698359411447575,0.697381550964112
"infrared_thermography_temperature_(target_2)","uni_loo",4,0.067688257740436,-0.0158788131253445,0.0313372956909331,0.0314408778094577,0.00369032930895682,0.00278789245866289,0.16206783839036,0.633974194712802,0.665981123006691,0.436697044011457,0.497454559286329,0.681101440341442,0.644608236762056,0.663106682920559,0.681461589373861,0.687905411434118,0.674051363583407,0.637136233466782,0.688021696997307,0.583714259318689,0.596027305063871,0.72825218641217,0.727821784181252,0.345855546082155,0.3517610231733,0.320797416123713,0.372284902128825,0.288253080029845,0.59307621695943,0.47357402048519,0.873617619987245,0.673349245627871,0.673138031509448
"infrared_thermography_temperature_(target_2)","uni_loo",5,0.0664266096065559,-0.0284668247156648,0.0237617612225332,0.0383807725529454,0.00361370447526031,-0.623083249197222,0.217669179736229,0.66035354436245,0.682608929021218,0.445587005469068,0.53036984638239,0.702465446103934,0.673551291873876,0.672882169624815,0.703533097858767,0.703352301760763,0.695415761805007,0.642813295858004,0.703822497658023,0.599719052399966,0.604377127185271,0.753259156383208,0.753002304834382,0.403384189588568,0.402498266825742,0.364077929583052,0.437869302432319,0.31827026910585,0.644365907867086,0.525084811875698,0.893722788080504,0.730014295006002,0.728264400638899
"infrared_thermography_temperature_(target_2)","uni_loo",6,0.0755102040816252,-0.029426779944165,0.027381013515973,0.0303179880687569,0.00231578323318321,0.002169746065743,0.221373003322159,0.695926066547841,0.734227283917452,0.472611339329841,0.573437659377386,0.755393910903196,0.70424879327999,0.732915001600373,0.756203335410741,0.762194807896746,0.746055280659468,0.706091504564214,0.761888577813634,0.642073903612875,0.664064968901684,0.79202561836049,0.792813343951367,0.455686841668708,0.447021651743953,0.402155636518704,0.494885294261361,0.357172988127596,0.681221853298802,0.588113273411615,0.930954600666493,0.738961468624199,0.738040908442642
"infrared_thermography_temperature_(target_2)","uni_loo",7,0.0401060406726873,-0.0291685917202958,0.0238840001833319,0.0162226218338565,0.00158804244904972,0.00253977592708526,0.194649553955108,0.616926555623522,0.620033292791012,0.379855256088824,0.467387126888986,0.667061914798944,0.629029057889649,0.645502728202097,0.668379375088283,0.651802753858398,0.638626461996555,0.592674422719903,0.652089364504914,0.562033900773433,0.55717222825968,0.705007000597402,0.704777597516264,0.331660279800361,0.356480467293317,0.294391512839367,0.365508661088766,0.277722695129271,0.572979721410457,0.466358717348715,0.845915853898108,0.651186667683797,0.65089658561847
"infrared_thermography_temperature_(target_2)","uni_loo",8,0.0861370716510893,-0.0436267772968454,0.0258102879673995,0.0659086045550483,0.0023195065827796,0.00243686564185572,0.218342808023534,0.613853109731645,0.635102316561958,0.416943326971689,0.498275240730713,0.660598783376937,0.623751796591599,0.629499134141421,0.662406028515814,0.664358766465369,0.648728465001652,0.621848244791647,0.663636419396461,0.561515946630381,0.57754879986568,0.702613574963061,0.702159189942107,0.376316071752433,0.377838833090633,0.334297824096325,0.412815992904433,0.31775799729512,0.597545041608816,0.510097694294322,0.845788476493128,0.668217236220223,0.66753603993487
"infrared_thermography_temperature_(target_2)","uni_loo",9,0.0697845804988587,-0.0474295306800068,0.0446019067250664,0.0415314224193556,0.00332302685107391,0.00242836202257936,0.21726144255005,0.662819286957965,0.6956570886599,0.448230947546149,0.561324576034467,0.714572093522793,0.671559890648539,0.696106139064319,0.71621165061978,0.712358488995473,0.70832234053954,0.639905350719195,0.713293975695474,0.60667361205744,0.615567764702379,0.751297161119073,0.750988661221582,0.390117980349007,0.401174420353637,0.36604434819817,0.412063740727393,0.331434659356585,0.629609694842301,0.516444127593975,0.886305149069098,0.715605725423321,0.715140379566498
"infrared_thermography_temperature_(target_2)","uni_loo",10,0.0612448158853775,-0.0288945524052204,0.0224672880399802,0.0234565544418057,0.0027579213179774,0.00277659001433773,0.139651200886392,0.631370706235183,0.659483872281382,0.398030512944817,0.469195624243665,0.692587014459803,0.648719974535582,0.659463462346598,0.694020003337582,0.689063448269879,0.673077962876327,0.628866646643727,0.689921355775698,0.564898318353548,0.571911713471545,0.724873920945031,0.725408975180833,0.331629803196671,0.333882795635052,0.296870983245773,0.353543095827511,0.256076743409141,0.554983992774091,0.46189837139071,0.860554521699435,0.664990260112747,0.665274156415354
