"dataset","method","split_id","Large.B.P","Large.ROE","Large.S.P","Large.Return.Rate.in.the.last.quarter","Large.Market.Value","Small.systematic.Risk","Annual.Return","Excess.Return","Systematic.Risk","Total.Risk","Abs..Win.Rate","Rel..Win.Rate"
"stock_portfolio_performance_(target_5)","uni_loo",1,0.104095792513352,0.0502486073854425,-0.016972510256972,-0.0346660332839636,-0.00703573815671997,-0.0966892824371344,0.000120088532917049,0.00052443988956649,-0.132709110929371,0.00017349294164041,0.0151756111901475,0.00475818292998834
"stock_portfolio_performance_(target_5)","uni_loo",2,0.0200461248418348,0.015180387024485,-0.00647301278805663,-0.0461055654579275,0.0443511196546773,-0.0525184266446554,8.66193260613851e-05,0.000449404418200687,-0.117536520598992,0.000315901783210906,0.0156846116113225,0.00374499703745918
"stock_portfolio_performance_(target_5)","uni_loo",3,0.059992437268373,0.0534109129279996,-0.0275569530227895,-0.031210201858583,0.0288176708896828,-0.0769485734928693,-3.54872659612147e-05,0.000320906072942781,-0.133776188494703,0.000291372198344666,0.0155561922286564,0.0034748200019136
"stock_portfolio_performance_(target_5)","uni_loo",4,0.0436525462307084,0.0370476587107336,-0.00263613125958432,-0.0360437551398021,0.0162353817734201,-0.0802967523392395,0.00017929326855386,0.000418167838459517,-0.136602281205297,0.000230137078311886,0.0161079527568814,0.00356838521447458
"stock_portfolio_performance_(target_5)","uni_loo",5,-0.009243168969087,0.0346279921132638,0.0460632920797717,-0.0527099642794047,0.024799791459377,-0.0384260102527796,7.31388238461763e-05,0.00036434304759037,-0.075088038164504,0.000221197079909434,0.0151304942379376,0.00348521509949216
"stock_portfolio_performance_(target_5)","uni_loo",6,0.0438006192811879,-0.00503208340129439,-0.0295622177442012,-0.0558794300197165,0.0626092688717648,-0.0162665166595183,2.69530648102313e-05,0.000419892574417208,-0.148677174272562,0.000387240882341097,0.0153156671435665,0.00395600109780582
"stock_portfolio_performance_(target_5)","uni_loo",7,0.0684903667849211,0.0548807879310721,-0.00699611587451749,-0.00822785999414961,-0.0170950555222597,-0.0802835709178761,0.000118458696479529,0.000555829841165826,-0.140853399994596,0.000322687704481055,0.0156293812911518,0.00438042894971175
"stock_portfolio_performance_(target_5)","uni_loo",8,0.0504335757546446,-0.00584562276058753,0.021388230333665,-0.0831381781459441,0.0488429411636502,-0.0373773074128995,0.000154850982454419,0.000504522460234453,-0.178695993726675,0.00019191797554078,0.0155776456026462,0.0042673269858093
"stock_portfolio_performance_(target_5)","uni_loo",9,0.0265994925839829,0.0909955557263383,-0.00874462577806047,-0.0674601790456226,0.0910181466745914,-0.122788997495933,8.23936053177341e-05,0.000569837015878518,-0.109918844773231,0.000292436403783716,0.0156904995629511,0.00521624256432436
"stock_portfolio_performance_(target_5)","uni_loo",10,0.0448102060228753,0.020335604041082,0.00697292937382243,-0.0394949257657246,0.0567209264172392,-0.103910524374986,-4.915123079307e-06,0.000595003835587114,-0.148604702555297,0.000352464220655614,0.0155488371822871,0.00418490199927699
"stock_portfolio_performance_(target_5)","uni_loo",11,0.0302995335706248,0.0419869450334296,-0.00421068597420074,-0.00333681235346066,0.0193743867559717,-0.0750588886472099,5.67136731158805e-05,0.000393048062116,-0.12442942288603,0.00033041968018252,0.0157428305816587,0.00444485211421035
"stock_portfolio_performance_(target_5)","uni_loo",12,-0.0011021284588954,0.0339213620682759,0.0361460605071714,-0.0293530177523993,-0.00354102678217798,-0.039244538572131,2.01000681839587e-05,0.000426465926712288,-0.127348091747967,0.000127312882206108,0.0152495786562375,0.00401830161054173
"stock_portfolio_performance_(target_5)","uni_loo",13,-0.0149468924240459,0.0545998915537524,0.00407663906111307,-0.00739427467046653,0.0375401769050493,-0.087352026237622,8.46775573616168e-05,0.000501743903563091,-0.0875346794533735,0.00030677451503935,0.0156501339320346,0.00429271814371822
"stock_portfolio_performance_(target_5)","uni_loo",14,0.0690545324509473,0.0239846853996504,-0.0532159662735987,0.0283169462944481,-0.0436948906448489,-0.0139062133785195,-1.91936318038079e-05,0.000531176373033701,-0.10218755983558,0.000290351206946724,0.0157141715084101,0.00400342132736002
"stock_portfolio_performance_(target_5)","uni_loo",15,0.146063544122972,0.0345278221077641,-0.0131765026207084,-0.0745642664569516,0.0610416487957967,-0.113548222593769,0.000148692149410485,0.000481835971309525,-0.145942114389401,0.000351967816149258,0.0161616984350357,0.00448973291572981
"stock_portfolio_performance_(target_5)","uni_loo",16,0.0543676286907634,0.0159307768959908,0.00223694721441785,-0.0131663471213312,0.0279085595810616,-0.0869293670148296,0.000125128855094187,0.000494242440354389,-0.11894127872074,0.000274507536272189,0.0157405181699643,0.00418025395337049
"stock_portfolio_performance_(target_5)","uni_loo",17,0.0271371247288056,0.0598980477256855,-0.0282798486757885,-0.0281987558078106,0.0250340848506652,-0.0589968415296143,6.99182754792503e-05,0.000441589276931508,-0.139695089766405,0.000215059413657653,0.0152695347382887,0.00425344478571273
"stock_portfolio_performance_(target_5)","uni_loo",18,0.043559045213055,0.0330777234478167,-0.0549908976510096,-0.0686479892254252,0.0715425635604481,-0.0408042234908229,-6.32637403090334e-05,0.000307719030422951,-0.132999141209618,0.000325738583897678,0.0151593777647808,0.00358501832406182
"stock_portfolio_performance_(target_5)","uni_loo",19,0.112963982493178,0.0371275192053071,-0.0179864846367734,-0.0319598791164464,0.00998080875323902,-0.100253575494383,9.80325490656612e-05,0.00045062752619641,-0.150839202619911,0.000322196019228582,0.015785374445611,0.00399253142683936
