"dataset","method","split_id","Relative_Compactness","Surface_Area","Wall_Area","Roof_Area","Overall_Height","Glazing_Area","Glazing_Area_Distribution","Orientation_3","Orientation_4","Orientation_5"
"energy_efficiency","uni_loo",1,61.4974634160618,-0.0785772916407022,0.107891463932741,-0.199451814099383,5.34406930635502,24.0692871795991,0.92826346008603,0.303269841269841,0.833932971730303,0.792802263251933
"energy_efficiency","uni_loo",2,59.7873186850389,-0.075758812889187,0.104915516079259,-0.193142433069915,5.17486858261964,20.9295019527875,0.240402499645794,1.01952751283933,-0.0418321995464859,-0.87034108748394
"energy_efficiency","uni_loo",3,58.5552963319822,-0.0747730675266626,0.112287214420387,-0.188871671204076,4.98631922355436,22.9850060673406,0.771350992291291,1.07111623143881,0.0634740049514343,-0.220515334338865
"energy_efficiency","uni_loo",4,62.8997066486948,-0.0798557971978108,0.112373533837276,-0.201160609744087,5.30405549957368,23.2651224964004,0.870304730568628,0.0247762844211016,-0.0892950558213718,-1.09835916968197
"energy_efficiency","uni_loo",5,57.4405261528928,-0.0730210929076127,0.107138603684072,-0.190439930317434,5.10277402146269,17.8887915663703,0.684491865427779,-1.66333422205295,0.657757408249664,0.263430439311754
"energy_efficiency","uni_loo",6,58.8532200477495,-0.0751934287155362,0.108273644020129,-0.191428711473313,5.132137663747,19.094873593783,0.445671757531523,-0.793076155636848,0.429022743947179,0.525210680016687
"energy_efficiency","uni_loo",7,59.6279832826022,-0.0756944210856126,0.111917138775931,-0.191558214132171,5.08299399525206,23.9413660826263,0.685357427466313,-1.03170329670329,0.391658476658478,1.30267179137181
"energy_efficiency","uni_loo",8,61.8833567671027,-0.0792689696266941,0.117425625351859,-0.200201418575655,5.30546995503475,22.8963476608333,0.872207536067647,0.881357494081221,-0.971252525252525,0.0126933438701067
"energy_efficiency","uni_loo",9,59.8704734241815,-0.076991225482997,0.119919119814836,-0.194725587887301,5.16592556996756,21.8147524741112,0.704891148554853,-0.9021179138322,-0.500576896972991,0.388735757764941
"energy_efficiency","uni_loo",10,60.4922898854014,-0.0761346228742047,0.0993410687894569,-0.190855596501531,5.11562296169045,20.8863225216994,0.301225088133376,-0.211911930363541,0.586268144217258,-0.433991622655257
"energy_efficiency","uni_loo",11,55.4950234221478,-0.0712334097417897,0.101329501274789,-0.186647900095268,5.0064256224978,17.2432239484653,0.487639661191391,1.07111267605633,1.09471900220103,-1.74090277777778
"energy_efficiency","uni_loo",12,61.1299573533219,-0.0769764501686131,0.111466933242978,-0.19958365333141,5.24451180124224,22.3881069710828,0.490135110146449,-1.61784395473496,1.29992293420865,0.488880382775119
"energy_efficiency","uni_loo",13,58.248169022126,-0.0735339086467284,0.10659231658366,-0.192647010439833,5.14087338483228,17.4835692278067,0.51271533224804,1.12900704225352,-0.845976055869639,0.349031149539961
"energy_efficiency","uni_loo",14,59.7210526784185,-0.0761215958072271,0.107313693998473,-0.193775696912641,5.20840773809524,19.4877291700468,0.797162262246783,0.553099617555998,-0.236579493716994,-0.247321742878699
"energy_efficiency","uni_loo",15,59.9765542232755,-0.0766480756161402,0.112090737206167,-0.19378355047743,5.14405378242564,19.9072974639084,0.525922787393082,0.27942484782269,0.0244464788732344,-0.0951469958612771
"energy_efficiency","uni_loo",16,60.6977801299159,-0.0765236318876458,0.113105010466025,-0.193867673873212,5.09942413329959,15.8220536336609,0.574440717157793,1.22671972850996,-0.309581133152557,0.82873000733676
"energy_efficiency","uni_loo",17,58.8395650146979,-0.0739914323693051,0.107954842118323,-0.190008406612409,5.0325145703166,19.5027080682498,0.707523540283686,0.687667332667337,-0.434224240619419,-0.644293315596942
"energy_efficiency","uni_loo",18,58.0554914097974,-0.0735590930710455,0.100916482125677,-0.191155862194868,5.08568452380952,22.6617439189587,0.474665558183271,0.709861805968588,-0.306216718266256,0.570180699996543
"energy_efficiency","uni_loo",19,60.40748812338,-0.0769425248272254,0.112000810907151,-0.19367569999869,5.16703309820944,18.9025082728728,0.183803721975008,-0.188165077035947,-0.374157279933251,1.60864583333333
"energy_efficiency","uni_loo",20,59.3872456069221,-0.0749098828789048,0.109928396581388,-0.190624916674814,5.04947852713058,16.2227921655895,0.239004399166474,1.19266903914591,-0.970484098267,-0.220435279006703
"energy_efficiency","uni_loo",21,61.6479469191881,-0.0780926502566861,0.103715571156084,-0.193311707062531,5.13994047619048,20.096685607264,0.625832109326344,0.187870333272625,0.278201973173705,0.793124999999998
"energy_efficiency","uni_loo",22,57.8108364196892,-0.073725873838997,0.104545408264505,-0.189554699887416,5.09943987932044,23.7413709067109,0.297874719857192,0.0871277703940482,0.106631944444443,0.521190476190476
"energy_efficiency","uni_loo",23,56.6233710422927,-0.0717645043661394,0.0940659380825325,-0.1863111962414,4.94373533114693,17.3228199382967,0.369298291403721,0.278819444444443,0.89159154929577,-0.637730994152047
"energy_efficiency","uni_loo",24,57.1941393066689,-0.0721158095927703,0.0975342505114715,-0.187436871752421,4.94375428261375,17.9122117400419,0.657300295133029,0.495831301803998,-0.426770833333335,-0.0171763950335335
"energy_efficiency","uni_loo",25,59.1828156264003,-0.0757107286469378,0.111756010063527,-0.193437588553169,5.18744047619048,21.6453666134646,0.645813041870403,-1.28860104871312,-0.239617224880383,0.689658692185007
"energy_efficiency","uni_loo",26,58.7077842951642,-0.0738588842048479,0.0966457950835794,-0.190490332043138,5.05073281140997,17.7335432135432,0.625008855827135,0.639365079365079,-1.08526197183099,-0.444689216736345
"energy_efficiency","uni_loo",27,56.3808572923138,-0.0717458241877987,0.0999539982694719,-0.187635952946892,5.08292642719119,22.0210008001477,0.869802683417059,-0.354067897558073,-0.463561643835619,-0.608051529790659
"energy_efficiency","uni_loo",28,58.8118071393516,-0.073923884553272,0.0903933332334052,-0.185812997992818,4.99813291925466,19.3320315155496,0.478294515469075,1.10658049886621,-0.227751787997099,0.158062430403388
"energy_efficiency","uni_loo",29,58.6875251829407,-0.0729202296926976,0.0905063434369513,-0.186225828294281,4.90591991811922,19.9863480860507,0.696052118260871,-0.0367197736748091,1.03361567004425,-1.05226049973418
