"dataset","method","split_id","carat","depth","table","x","y","z","cut_Good","cut_Ideal","cut_Premium","cut_Very.Good","color_E","color_F","color_G","color_H","color_I","color_J","clarity_IF","clarity_SI1","clarity_SI2","clarity_VS1","clarity_VS2","clarity_VVS1","clarity_VVS2"
"diamond","uni_loo",11,7762.00263640448,-42.3431746360163,229.664894528219,3151.42735226646,3118.01893678295,5042.16273201597,54.5501964807231,-799.949125476781,839.625171129516,88.7149320617917,-1040.52935464471,-183.705928103612,85.0127692044718,633.629961252245,1257.5395134822,1310.17532737018,-1009.00709535651,95.7208465373297,1296.43379422627,-49.4602972261785,-27.3696233461885,-1524.12222046393,-735.305764421285
"diamond","uni_loo",12,7742.87962325822,-29.2891542107179,223.002156294831,3137.78101939792,3167.84153494572,4721.50293544715,31.8917964257457,-808.69698465526,930.958294203842,33.4099952639556,-1019.8213268258,-209.246155054751,17.1715394708381,686.617112324882,1264.40915112739,1423.74668453173,-1102.38780446624,88.2068570711576,1420.20480192501,-49.2950028043967,-100.204660512136,-1487.81360458084,-757.995279488434
"diamond","uni_loo",13,7771.69456701932,-21.3062680825148,225.169379001685,3155.07221947058,3119.1372126623,5029.00089735838,-49.042120961475,-775.46722474205,855.98150997889,81.331752929876,-1015.65807121077,-208.576854034619,34.6414136166919,668.770291706941,1186.46684526913,1449.34137578844,-1056.73400605534,93.4567067063758,1305.59481795412,-128.52248022119,5.41078825958697,-1459.85713052958,-703.780798367757
"diamond","uni_loo",14,7782.79287459624,-30.8519445453791,228.002605043359,3155.22572755204,3120.48691020653,5051.41618459769,-57.1870315156123,-767.069987172791,843.427792820855,81.9911198544047,-1052.50514510568,-336.435701602753,141.087177841007,711.860306854577,1228.75233868489,1405.09401676459,-1114.54549177079,56.0278880469424,1411.96181768006,-93.6768155565825,-87.5275814236401,-1439.01399228986,-725.657121166629
"diamond","uni_loo",15,7744.91379695144,-14.081799958817,223.443390216349,3147.47427135074,2885.7425164574,5008.29666563595,55.5694959624288,-848.348458102589,937.119231492407,64.3587767887577,-1014.1319929492,-323.823969775136,109.009694101919,593.97494387075,1389.18974366663,1485.55656417287,-1114.99909204707,65.7061889314994,1391.17232157829,-113.892242550222,-12.7615964995621,-1529.27922762891,-651.655777345139
"diamond","uni_loo",16,7753.1795027059,-34.7190192783798,223.776506058875,3152.40751948227,2893.79635956611,4726.69996612635,-13.7796992976779,-781.031023811614,881.552084771758,81.1424714878814,-983.255973696944,-339.972087178878,99.7712238063329,655.795552725211,1304.24204511914,1511.33448218314,-1112.6649471899,51.9587514445303,1431.14546275921,-166.583524193413,8.66856669597642,-1436.40387549139,-683.083854807294
"diamond","uni_loo",17,7776.25314174573,-20.819789883623,223.896953728341,3148.00055287714,2944.65330826366,4704.56152396226,-32.6468352170339,-750.833082078909,856.318846772601,32.8171039030889,-1047.66818780892,-340.283773397012,124.585555334436,637.748106909817,1345.83991951379,1493.63249056008,-1121.71586083663,106.585748254534,1274.99618387645,-55.8239123030167,-8.39462030173715,-1485.07102834062,-734.596917146404
"diamond","uni_loo",18,7743.98338918148,-27.5264818276548,221.900154581336,3137.29966986956,2876.06568018207,4730.09249458719,130.627402804364,-761.621568911918,842.657725579837,-15.3165461957096,-999.319182674885,-240.684501612206,91.2747106798992,618.908514399315,1326.93383566303,1446.25791029413,-1045.63384115655,195.00438333781,1291.15409323557,-134.800346030361,-79.1070122702992,-1533.41791408329,-680.198920020927
"diamond","uni_loo",19,7766.16638885639,-22.7920121957764,223.791691078864,3136.66266057137,3103.45645005068,4715.82734721553,85.8339468120191,-775.314415183038,835.517191833071,51.168403658791,-959.89673859733,-263.030292115049,13.3832537886671,643.456616898113,1361.85052569567,1413.52201107976,-1236.70192104058,60.2608103115842,1345.31936984316,-72.9279550091742,59.8220126660408,-1592.32460529926,-676.824059310138
"diamond","uni_loo",20,7710.21204469529,-6.33773890265747,225.649433074539,3115.94262840188,3083.39306000297,4686.69749771504,48.9225480071907,-809.942779525545,900.524314940856,47.8748153890236,-1103.6357524275,-177.46885376001,52.2598008254031,602.234970529909,1279.62535254901,1408.5960013497,-1271.83126141287,109.61645431802,1460.13268195213,-169.424945302233,-32.0488452707107,-1559.46045851873,-692.287756786555
