"dataset","method","split_id","Lever_position","Gas_Turbine_shaft_torque","Gas_Turbine_rate_of_revolutions","Gas_Generator_rate_of_revolutions","Starboard_Propeller_Torque","Port_Propeller_Torque","HP_Turbine_exit_temperature","GT_Compressor_inlet_air_temperature","GT_Compressor_outlet_air_temperature","HP_Turbine_exit_pressure","GT_Compressor_inlet_air_pressure","GT_Compressor_outlet_air_pressure","Gas_Turbine_exhaust_gas_pressure","Turbine_Injection_Control","GT_Compressor_decay_state_coefficient","GT_Turbine_decay_state_coefficient","Ship_speed_6.0","Ship_speed_9.0","Ship_speed_12.0","Ship_speed_15.0","Ship_speed_18.0","Ship_speed_21.0","Ship_speed_24.0","Ship_speed_27.0"
"naval_propulsion","lasso_cv",44,0.000125048277967676,-9.35650372152409e-08,0.000174048509746728,8.58796745916734e-07,-3.46960195922663e-06,-5.45093257918679e-19,0.00118591909852753,0,7.77764460002412e-05,-0.00414642547053768,0,0.000378036845379097,4.05708519402487,0.0012411957609954,0.0542663138946488,-0.0940169857034273,-0.00276753084261346,-0.00317810142158262,-0.0162249244023591,-0.0301793021023943,-0.0244749162367658,0.0101315542785227,0.100556588734959,0.339508939383109
"naval_propulsion","lasso_cv",45,0.000261844618996373,-9.36597054071218e-08,0.000173746332763489,7.14926213355277e-07,-3.70770220292444e-06,-1.71705713909818e-06,0.00118479168159386,0,7.42850101439595e-05,-0.00379575228337841,0,0.000443410491982397,4.09059178616458,0.00124305172401305,0.0605380397831351,-0.0883029637922239,-0.00264132136415043,-0.00311833914588085,-0.0162237127060028,-0.0302352334854075,-0.0245369303584768,0.00981878726288089,0.0999696580955785,0.338999350750601
"naval_propulsion","lasso_cv",46,0.000250791094819904,-8.2609419770271e-08,0.000175531470183497,7.02234280362416e-07,-3.48436352959352e-06,-1.63489329554596e-06,0.00118331978128252,0,7.48534813794624e-05,-0.0038161366197951,0,0.000423612638791684,3.97561980810319,0.00124695150759874,0.0587797439736006,-0.0892971975033615,-0.00258619808534972,-0.00266985253426341,-0.0157066728124342,-0.0300468004588683,-0.0246332140065302,0.00962195408486136,0.0999119926920346,0.338502003644693
"naval_propulsion","lasso_cv",47,0.000241351526660298,-8.39777327332088e-08,0.000172142276182166,7.75767135298148e-07,-4.05516308200387e-06,-1.58101275753394e-06,0.00118450380067742,0,7.47525628844217e-05,-0.00385251395246555,0,0.000449205694608081,4.22605998902242,0.00124010494818406,0.0527046951334559,-0.0945255608251002,-0.00278286667538595,-0.00316650718555206,-0.0164643516109885,-0.0304253754321161,-0.0246922276022004,0.00961940658197336,0.0995184864007626,0.338016440952192
"naval_propulsion","lasso_cv",48,-4.18280363847308e-05,-7.02293728027908e-08,0.000166616541480286,8.02352095152202e-07,-1.09244642749622e-06,0,0.00118804637322189,0,7.21911792919181e-05,-0.00339306256376788,0,0.000431886730686751,4.1761153638248,0.00121095505626981,0.0575397913653921,-0.0846892313549434,-0.0024558212036091,-0.00281283374691367,-0.0152044538421507,-0.0270751078482489,-0.0193012334715874,0.017065619822166,0.109310322236913,0.349923718748896
"naval_propulsion","lasso_cv",49,-0.000288565209562339,-3.02399470071215e-08,0.000160990128172121,4.33278833078429e-07,7.59016070019262e-05,8.05933141255039e-17,0.00118533244919206,0,1.56322339875691e-05,-0.00343933465775969,0,0.000954311826364311,4.01668643484003,0.00121401337667292,0.0440595205415512,-0.0909842679530848,-0.00340458636501018,-0.00524052449218326,-0.0192513688393382,-0.0322163495542316,-0.0261892992397685,0.00656301781106249,0.0948853833469967,0.323710825348961
"naval_propulsion","lasso_cv",50,-1.56843673379684e-05,-6.12842734271466e-08,0.000166801994790252,6.89147613861143e-07,-1.0373860304514e-06,-3.24994229927936e-07,0.00118002596577304,0,6.97775803070592e-05,-0.00340927886208782,0,0.0004316807149736,4.26909291224792,0.00124175397562326,0.0526379203483075,-0.0888909253773631,-0.00274975238494293,-0.00276717747125078,-0.0149074570798395,-0.0269515501607886,-0.0192612701549672,0.0166317500199326,0.108329538542202,0.348499863816241
"naval_propulsion","lasso_cv",51,-2.95189542305079e-05,-4.98605070413582e-08,0.00016346524880484,6.97193000783668e-07,-6.62913483305811e-07,-7.87272543004279e-21,0.00118482292737451,0,7.09159601078466e-05,-0.00350398164077588,0,0.000402220988636529,4.48786627815675,0.00121792220939598,0.0456554313800233,-0.101555213589246,-0.00257815967463067,-0.00296475147347296,-0.015439243452448,-0.0270744379866285,-0.0192474010367297,0.0166310223907375,0.108736317096756,0.347181141917884
"naval_propulsion","lasso_cv",52,-2.64074306696462e-05,-5.67236472589491e-08,0.000165232535118013,6.89269560503332e-07,-8.61192668904357e-07,0,0.00118467332945093,0,7.13536856041762e-05,-0.0033975988007205,0,0.000407489732061808,4.35651910683575,0.0012085157985917,0.0558916016834628,-0.0840018087208056,-0.00242295769405149,-0.00300752997049916,-0.0151564835831815,-0.0269413126394761,-0.0191435878684143,0.0169511714779614,0.108926884869978,0.348615343136524
"naval_propulsion","lasso_cv",53,-4.62318970461823e-05,-5.56847361772806e-08,0.000162580043737281,7.37977154280245e-07,-1.18049687366726e-07,0,0.00118647381282978,0,6.85924687953963e-05,-0.00328563543632578,0,0.000430221638503726,4.51885057679877,0.00121007126540834,0.0452839687317993,-0.0962830811161387,-0.00281946459868031,-0.00297349127750244,-0.0154651894123138,-0.0271444937601109,-0.0192331952254916,0.0166611350374642,0.108542140461735,0.347703620137031
"naval_propulsion","lasso_cv",54,0.000671472028556518,-2.36023937116951e-07,9.57939438212634e-05,1.15742246247708e-06,8.57985627970004e-05,0,0.00121025218185288,0,0.000128681678507051,-0.0053232590052425,0,0.00063338488174936,8.17724942167155,0.0011313910072149,-0.0179293690534199,-0.128742750148911,-0.00744369350204925,-0.0135145005290678,-0.030483049279038,-0.03798152342859,-0.0271582325775567,0.00676557489353304,0.0932120937075356,0.313990287765499
"naval_propulsion","lasso_cv",55,0.000140158969375731,-8.79980031263363e-08,0.000173488215477302,7.97230137061846e-07,-4.21916607818115e-06,0,0.00118945116748016,0,7.42803340726054e-05,-0.00389294291905351,0,0.000442316590948333,4.09169839084258,0.00123178770017777,0.0579344154535517,-0.0900617694891052,-0.00235262136029404,-0.00280791469303525,-0.0161223936495309,-0.0303250246636274,-0.0249231886493481,0.00953322678163209,0.0994382042786347,0.338026446174975
