"dataset","method","split_id","LATITUDE","LONGITUDE","LND_SQFOOT","TOT_LVG_AREA","SPEC_FEAT_VAL","RAIL_DIST","OCEAN_DIST","WATER_DIST","CNTR_DIST","SUBCNTR_DI","HWY_DIST","age","avno60plus_1","month_sold_2","month_sold_3","month_sold_4","month_sold_5","month_sold_6","month_sold_7","month_sold_8","month_sold_9","month_sold_10","month_sold_11","month_sold_12","structure_quality_2","structure_quality_3","structure_quality_4","structure_quality_5"
"miami_housing","uni_loo",11,116456.886286783,703250.298950066,19.2239309561078,259.161422046962,11.4017552666753,-3.24470039069408,-4.93126751102617,-3.43853220617089,-2.72642462869325,-5.38331211300497,12.8068444405143,-2033.23701398517,-82969.4284789006,-2273.7106785445,-17057.8613703271,-15537.6087566594,44062.7030276042,28803.8829100557,-5861.50005591537,-8250.79094498213,-14544.3539727107,-1897.34119875385,14474.5776414505,-6633.68401216384,-185588.414226584,1545199.42647693,-39161.6086424954,410086.179137416
"miami_housing","uni_loo",12,103347.30427089,650193.530621267,19.9922886425924,253.730430476449,11.1241284865723,-3.70225933585085,-4.50222803893004,-3.07533729280555,-2.60201838602288,-5.17886408150317,11.7378522505017,-1739.91605736227,-65617.7819907049,-4846.80852142521,-10534.8286843979,-10707.4506216216,20329.4650264883,23019.3025242332,-14982.5887809583,6820.90856312203,-11037.4553298693,6016.42262520903,13327.617171515,-7976.0951509006,-180683.120744795,1373943.44647219,-27952.9791278875,376142.079468788
"miami_housing","uni_loo",13,90684.3677707205,662301.889912359,18.3910558877941,256.243757710125,11.314006795942,-4.83570668182142,-4.93325791662886,-3.28879095007058,-2.63844592500695,-5.27542806655379,11.3828468159552,-1707.87901682814,-51586.764734476,-6425.69648761259,-10337.3756840503,-2515.56976061017,32922.4108788415,30137.9585529167,-11516.1324748875,-9301.4763761754,-18974.1161130995,-11902.4237700036,17979.7284078383,-14918.8291467744,-177664.79872156,1486431.84923829,-38167.0375232338,391162.158891481
"miami_housing","uni_loo",14,123029.301770232,716584.586091495,19.7851672185986,262.730054156495,11.5211991614226,-3.50383787864254,-4.99202813778891,-3.44824407695985,-2.73064512425187,-5.29508233091871,12.9834538138841,-2056.79554375128,-69729.6575393775,-8100.9008539629,-7578.53389993327,3721.39724235735,32154.3778958349,32006.6397647239,-11263.6385475939,-16869.8103803025,-8851.01600533212,-13998.3956179926,15290.7451262079,-8110.38780893799,-184053.507988806,1337507.94222748,-33946.611091998,390132.341690846
"miami_housing","uni_loo",15,111642.957282724,699137.301350344,18.9845836060608,262.769635356004,11.5996736846429,-4.08852806039886,-4.88637020304062,-3.38721658814037,-2.70857363113055,-5.28549362137498,12.5958014383804,-2000.95542246195,-75424.1477477478,-1107.62841394327,-10866.3205210625,10941.1978436209,37546.9051235092,14018.2117120253,-22251.2750111509,-3369.87607654182,-13402.1781906435,-2749.00814135839,2262.62774042068,-12498.4776008674,-189781.914924036,1465283.23196321,-37032.2956326786,402656.632096209
"miami_housing","uni_loo",16,127478.250238741,725164.736717217,19.8686004226422,261.903362148107,11.4718018751076,-3.86877780313973,-5.01937094575099,-3.55602269409111,-2.74769334716626,-5.27805950006124,12.2111782655055,-1864.69695300445,-44697.5863664592,3646.21133054153,-12272.1288955197,-1127.5811479659,30551.7420957292,24611.5481269231,3935.77353750624,-22509.492562876,-23947.1384047433,-12716.8592513949,19847.2966933082,-2724.3825420258,-187915.631542892,1553256.81690086,-34866.2920865648,386168.875945955
"miami_housing","uni_loo",17,121683.948040379,649016.658031667,17.7359645104185,254.54170826282,10.7553794561051,-3.91110013065766,-4.65728666225856,-3.14399353145955,-2.60379618724562,-5.06775444186895,11.656130749409,-1927.67414034546,-64074.6547671034,609.677199980317,-20308.1577921464,-1317.50274683258,17189.5624353308,22857.1205798025,17354.2154660426,6286.04561025488,-27119.5302180899,-7952.65122567713,5590.62376590769,-7315.92716950333,-181586.300701644,1334724.65143455,-41476.8692544616,412821.077589852
"miami_housing","uni_loo",18,100714.813399789,639271.534052566,18.5096079908525,263.273893600149,11.2013453183626,-4.24659098209648,-4.6506857021695,-3.22713119965037,-2.62554319858168,-5.21540327440828,12.2299256725094,-2042.79238684001,-70444.4802909132,2899.79630373058,-15694.2229764408,5941.40289283906,26505.3021868397,21472.8545599076,-5201.30021483285,-4639.38692304178,8525.32413153316,-16547.9568640944,-13093.9748013512,-8496.33397887324,-188704.219204642,1561459.9862069,-35788.48314894,401586.961009354
"miami_housing","uni_loo",19,116172.897794178,696490.946188223,17.5788786237996,255.247610563755,11.3829871119651,-4.18527860664671,-4.9209600666204,-3.27735866224891,-2.65570416856083,-5.20543673098687,12.0517929910535,-1761.81563931388,-59933.1838340934,-1944.36382679829,-13075.2519737385,-3885.99781537649,29292.6629948622,43432.371943372,-3269.96834874743,-8272.41691283993,-19902.1094581441,-16669.7947982174,16057.4657521409,-5762.80190721859,-185019.347804478,1542810.20686683,-35259.7638800405,395695.828867138
"miami_housing","uni_loo",20,86372.6626367387,684985.564509682,20.7848401410704,264.617409594682,11.6384641689573,-3.48350751453578,-5.19557945436785,-3.47245155844556,-2.71836639762882,-5.48229217553859,12.6866272534974,-1903.96995063492,-78705.956617366,6291.8623045365,-16838.4488689915,7054.38352785088,38608.6430919512,22789.146404362,-1172.25212478777,-12564.0044224679,-26503.7032219301,-3944.30565770742,-683.93677885083,-2012.43427000835,-185484.704869991,1848552.28747973,-41724.3612218154,412292.274868318
