"dataset","method","split_id","age","bmi","children","sex_male","smoker_yes","region_northwest","region_southeast","region_southwest"
"insurance","uni_loo",29,244.849343259112,431.383103175387,907.961922763115,1896.98519257343,23158.3633361348,-49.6473625458387,2623.9067638891,-1242.57085082427
"insurance","uni_loo",30,231.566940039314,425.447358961188,1292.62623339449,2583.72921231772,23564.9664229482,-600.086726461039,1273.38431948031,-8.75622173700389
"insurance","uni_loo",31,238.400869085275,369.967872764501,932.141125191566,1300.58988618752,23146.0813239961,-814.131678404222,1886.33208439332,-1825.79040752713
"insurance","uni_loo",32,253.67307844726,464.252019829286,691.250641192868,1443.76116702828,23238.5177504699,-1019.46741052644,2788.7350168843,-1435.46331144717
"insurance","uni_loo",33,256.913613054574,335.11050795021,619.230234136955,1150.61068511331,23943.6931550169,-1758.84194158379,2373.39790205767,95.1455557923216
"insurance","uni_loo",34,264.574706256095,388.968557204961,858.668807444171,2361.42450904962,23296.036445142,-2370.95316713285,1770.17087009748,90.804853781094
"insurance","uni_loo",35,234.822061959182,462.399968186546,944.586580267153,1298.21810304958,23655.9640324479,-1661.63076165225,2870.21742544929,-1386.47924407562
"insurance","uni_loo",36,230.76246596779,434.279609135691,476.839908758847,698.246772221415,24245.7781266476,-676.620420689496,2180.64581398823,-2036.89580482758
"insurance","uni_loo",37,254.223027494088,318.12767020049,392.777563998338,2282.96372302126,23890.4976447205,-2111.03759419412,1346.83781272285,-328.553888757936
"insurance","uni_loo",38,222.985096559445,347.369557606593,507.053908077135,1511.88318326637,22825.2918908408,-1145.40745146868,2554.56906464349,-2180.2263543311
"insurance","uni_loo",39,213.401266397792,357.754852557786,634.947179134288,1098.80565989144,23349.5596179696,-974.527790317065,1734.71827440013,-676.938773660608
"insurance","uni_loo",40,231.420774408083,362.98800486936,331.303218584828,1017.86876174362,23997.2251259483,-314.269094984674,1438.04434855836,-1274.63416694268
"insurance","uni_loo",41,291.89223609744,417.867232288328,627.858306326535,2065.72156364362,24895.2088330747,-1079.23769621983,1908.17931829625,182.963058378624
"insurance","uni_loo",42,243.924117033081,346.900174139348,624.492151875036,330.605679997228,23161.8053742588,-754.387985114362,1140.20979548785,-409.970808763709
"insurance","uni_loo",43,254.540517709345,386.77781268525,402.827195883633,40.1979223777475,24071.0248235671,-1574.17971831775,1731.78407245815,-1482.69861073836
"insurance","uni_loo",44,258.279092567846,415.628582362882,425.436099450102,1249.00992754577,23919.6388117341,-1189.73707289197,1876.40150965341,-2235.52732492096
"insurance","uni_loo",45,252.475386617765,382.149671948051,865.98681910854,1999.79479253852,23468.5124195319,-1503.58379809867,1457.76364211027,25.2392185061337
"insurance","uni_loo",46,284.426329154935,456.999807561237,532.468335401028,1081.89190481863,24353.8810921219,656.190976972181,3375.37597055658,-3066.28831069611
"insurance","uni_loo",47,276.326622971859,464.190261167366,617.671635999786,1023.53207884145,24126.7042307631,-323.860432140972,2578.01044505275,-2941.85273690023
"insurance","uni_loo",48,225.221437240337,447.170795341837,159.147471899651,2066.61814725334,22947.3687993901,-2048.04751687106,3169.66350129918,-1522.55384461702
"insurance","uni_loo",49,241.470048265953,304.358489649936,482.120115397488,1702.61900261047,22718.6966430083,-990.471818314334,1616.7459686566,-1421.41009208476
"insurance","uni_loo",50,248.700639507139,340.377216506958,924.164521316786,1605.39552687902,23575.3474581934,-197.622036938731,2529.38254042261,-398.375396632587
"insurance","uni_loo",51,268.292360608644,354.74587565311,446.457570021488,1251.95534810501,24305.8349020997,-1141.12875735368,992.034455945204,-258.058607976092
"insurance","uni_loo",52,272.142645826061,309.463451411944,440.998332912204,1470.4308732997,23821.5359167464,-1817.6921522155,3048.06294715715,-1625.35972449116
"insurance","uni_loo",53,278.740782918623,378.244117548774,339.077055491579,694.024979418738,24390.2622544265,-780.500647265415,2172.98512433036,-1115.41919440848
"insurance","uni_loo",54,252.46506600689,465.082304266337,918.491657112137,-80.6206583753699,24038.8837580733,-702.929317193336,2069.63339269879,-559.686759830552
"insurance","uni_loo",55,267.453772297487,397.523194817535,916.432441814858,1307.30806161567,22998.5913075836,-1791.81835282911,1642.0236729245,-1674.86776039607
"insurance","uni_loo",56,269.489769535051,406.424687883278,1006.5092790673,1796.75828077409,23503.5604353615,726.540086280241,1413.18026400931,-646.544580678462
"insurance","uni_loo",57,223.91843801506,431.329994236584,281.575896862957,868.140643665643,23296.0116430244,-973.386087986941,1875.8967246568,-819.662989911713
"insurance","uni_loo",58,237.285704129627,398.813602772557,411.140423007808,895.186662388581,24232.2050137979,-1229.29186142212,2833.34478948193,-1580.00592165876
"insurance","uni_loo",59,248.846786075079,281.949449901232,808.302250916264,595.074159340007,21565.1554415496,-207.408599895782,1246.4662114772,-690.991162558767
"insurance","uni_loo",60,197.853021213487,428.588866938953,499.386264166538,746.44573281437,22911.9729260149,-926.982191313505,2415.50455597883,-1828.38731321916
"insurance","uni_loo",61,250.412033830717,411.069689712878,765.80432326785,740.962107199602,23860.5885847843,-944.996968630879,2059.2303253372,-556.443589183296
"insurance","uni_loo",62,272.18237748485,354.153435414186,874.65972443636,1690.21178584374,22892.4481765302,-622.831991665272,1124.38487128056,-1019.69119647397
"insurance","uni_loo",63,254.13874053804,439.194236478425,1206.61266522104,1081.43573148416,23519.5530046917,-1008.49276337924,2739.17987877801,-1166.53077933911
"insurance","uni_loo",64,252.342812738197,397.265541411016,335.31797673544,1080.69990532255,22926.1448024707,-2019.93842146947,2678.48100187471,6.61933176322233
"insurance","uni_loo",65,266.465615006995,424.56200740688,821.030109299071,951.009817368853,24619.9240401676,-1818.1312546085,697.822630247445,516.074272564852
"insurance","uni_loo",66,281.989442180124,275.117749837442,730.285250507022,2544.81076027588,24201.6848166153,-407.66033079801,657.498350983837,57.2577366222918
"insurance","uni_loo",67,236.258746371781,421.487922377543,283.820829485763,1680.44442396909,24523.5647667477,-1547.62453689123,203.595748671254,437.494994649183
"insurance","uni_loo",68,234.759585471013,489.725805273619,844.083125851937,1595.71719165877,24276.5169195892,-224.043058131133,924.625689944217,-1621.40541453585
"insurance","uni_loo",69,247.938367059092,466.170379353242,313.593534101552,1752.24104397651,24021.8727783462,-1634.23236524597,1757.13956861592,-677.933354035208
"insurance","uni_loo",70,228.59549666531,375.137692347059,918.467184739872,2295.79426354911,22621.9544442112,-415.464519658988,2240.48018553697,-1706.72687133026
"insurance","uni_loo",71,256.370801374567,347.652329974955,418.650078709886,2175.72489802544,23245.5041567608,-1593.10922725352,2275.86773096545,-1280.39296787658
"insurance","uni_loo",72,242.923056269178,350.370774052376,509.404983904442,1855.72094452907,24011.8609298311,-2123.33468846741,2301.35432289291,187.98675766896
"insurance","uni_loo",73,291.944433160353,516.27696398977,638.359437905573,1200.66744492715,24588.4062987873,-1532.52448845595,2659.02000459124,-902.887464589865
"insurance","uni_loo",74,273.016272459621,480.751568174986,840.300250159363,1713.65520756693,24425.1015275977,22.8795364852664,2077.01141544952,-1508.4254034329
"insurance","uni_loo",75,215.274629423051,375.957282627212,444.68519764613,1147.35107491455,22392.8265405489,-905.319503696142,1206.59295157099,-416.664799951079
"insurance","uni_loo",76,240.014711244483,430.422429695082,387.317895346328,505.831760307168,23403.7980007648,-1942.15416378325,927.086087929318,594.594877855106
"insurance","uni_loo",77,232.538673751346,341.827616636354,959.590356645052,1339.41221766753,22632.6099329784,-746.750348907297,2654.09033210664,-2324.67895495732
"insurance","uni_loo",78,285.811582924972,407.441577187111,921.267299212588,1609.55249431783,24078.5103806005,-2245.17992079188,2731.35756896449,522.334151118012
"insurance","uni_loo",79,234.544498766706,444.631306534519,632.497093376,1103.11722849743,23778.1838367109,-2907.34635589595,2040.98334959848,695.75279971542
"insurance","uni_loo",80,229.548796921726,310.195206214001,1370.41479971606,1845.64859071771,23611.0531604761,-1480.09267974001,2453.56494914392,-2142.66650794766
"insurance","uni_loo",81,239.17268638176,321.777057950677,740.05251531213,1360.10787387044,23694.2780933698,-1706.0426917813,3561.47015819408,-2007.85383552837
"insurance","uni_loo",82,246.371635310116,323.871965557197,713.844022998386,1111.79306972396,23598.0549129849,-584.723336070014,2312.06557782588,-768.695253129388
"insurance","uni_loo",83,242.074442341889,327.648635170487,827.750505088494,1179.37765865865,22744.714202338,-1565.02134905693,981.846979305384,-293.383850459603
"insurance","uni_loo",84,225.680551688224,397.621182814632,426.403062901684,433.077944312951,23289.4163500662,-1370.64116646823,1428.31909496579,-1030.28387496906
"insurance","uni_loo",85,269.588217507376,454.601946293085,755.635889314473,3126.47098448269,24247.3423462858,-1270.54621201035,1845.86517036374,-1420.31008935906
"insurance","uni_loo",86,247.197642707729,441.972916915854,75.2598188150721,854.670279309846,23960.8053520787,-1801.36687680429,2125.90866524931,-1870.72545075848
"insurance","uni_loo",87,250.351471083265,364.927825234269,918.141412187165,952.37444479689,23443.3001735555,-2121.69477924487,2231.92151859546,-595.312534454189
"insurance","uni_loo",88,246.546164878092,331.443919680201,600.393168641526,945.085918430771,22148.9416941751,-1274.63377263186,3118.68126819873,-1548.00423333643
"insurance","uni_loo",89,253.758476823789,390.592036647699,595.734436259393,267.935622343086,23001.8339685716,-14.851911206975,1411.63284338016,-2035.55575150745
"insurance","uni_loo",90,286.769023492951,503.865370142035,927.983755098722,1061.69830098373,24544.1494833745,-1634.98210808089,3353.33232033158,-2031.57098650095
"insurance","uni_loo",91,260.687170648553,372.093220590019,1052.90201230717,1329.38864646713,23456.8069132338,-1261.82066109753,2303.61871213928,-1779.43140657984
"insurance","uni_loo",92,261.204932942323,426.293071915961,448.746693673202,1538.43911553093,23417.3389164359,-522.562117281525,1236.53496343468,-947.302414891483
"insurance","uni_loo",93,242.515304733903,402.357963993889,657.043202961068,1231.36684171552,23517.8986686652,-1020.22485104412,2645.50331306339,-1602.55345006266
"insurance","uni_loo",94,259.375363741538,463.708868476474,347.163320803576,924.721153979021,23674.8182051276,-2438.57440596,2642.48937003793,-1675.41454341724
"insurance","uni_loo",95,253.938581992219,315.315798034975,285.715999195786,896.723390138137,22921.3530914376,-2409.43695103248,3203.78110873902,-684.825790279197
"insurance","uni_loo",96,259.919031038252,478.011911513445,963.414474337267,1903.72407268657,23405.2005868897,-2537.34442313118,4192.71954352978,-1186.22248190191
"insurance","uni_loo",97,240.807518191025,474.877451873341,636.386753033258,739.398896369827,23671.5034689335,-1036.04665462385,2899.6270140988,-990.523907855366
"insurance","uni_loo",98,305.954508645404,405.239303623914,1255.07390162004,682.650531810546,25045.2630273275,-880.841768129519,1797.81238255961,-1440.14785513155
"insurance","uni_loo",99,273.190633779802,443.456661021087,625.337752044611,2750.72269653044,24852.5732088015,-1137.99137134638,2722.52370787049,-1757.61619692366
"insurance","uni_loo",100,262.356420150751,367.63975032617,788.600562882085,1748.90121465186,23603.0920335303,-23.5933813386224,1753.49925683531,-1078.15544542432
"insurance","unilasso_loo_true",1,274.342568250141,260.60347618909,0,0,23605.0737274066,0,0,0
"insurance","unilasso_loo_true",2,237.244023029777,306.226258580497,317.459165534749,0,24562.7503003175,0,0,0
"insurance","unilasso_loo_true",3,267.440677386058,312.573960832403,270.976824553244,0,24322.9641812879,0,0,0
"insurance","unilasso_loo_true",4,251.658117540798,310.260481044894,0,0,23502.247995622,0,0,0
"insurance","unilasso_loo_true",5,253.3901643356,279.538601198261,305.264218822912,0,24360.8249946701,0,0,0
"insurance","unilasso_loo_true",6,269.775770237674,269.200372167795,393.26752698058,0,23312.184122942,0,0,0
"insurance","unilasso_loo_true",7,252.394652781981,297.748311374692,490.202457587766,0,23614.3631848554,0,0,0
"insurance","unilasso_loo_true",8,248.693276608855,349.328587695755,324.084949617436,0,24919.3553700366,0,0,0
"insurance","unilasso_loo_true",9,288.067757996785,296.335513026705,415.393562706345,0,23335.6811895224,0,0,0
"insurance","unilasso_loo_true",10,249.813148098026,332.423615446998,398.098200703773,0,24068.9584394198,0,0,0
"insurance","unilasso_loo_true",11,232.211321502451,386.777736364059,0,0,23085.1073359683,0,0,0
"insurance","unilasso_loo_true",12,251.395500746719,324.352020687785,0,0,23532.5471593624,0,0,0
"insurance","unilasso_loo_true",13,241.548269306279,330.346534049447,187.252998907,0,22999.7925881328,0,0,0
"insurance","unilasso_loo_true",14,263.722288336179,295.817097881227,527.572224514225,0,22768.4746085701,0,0,0
"insurance","unilasso_loo_true",15,262.450410945945,310.150463317159,339.764924292112,0,23608.9212568377,0,0,0
"insurance","unilasso_loo_true",16,271.036401164028,276.821367509294,429.583749716049,0,22286.8402842483,0,0,0
"insurance","unilasso_loo_true",17,235.080980662693,348.750617763642,228.716101585198,0,24225.2080597659,0,0,-580.064673040252
"insurance","unilasso_loo_true",18,276.234085212726,274.386446176462,0,0,24769.9517040633,0,0,0
"insurance","unilasso_loo_true",19,258.674980492295,363.696622284531,282.179103359129,0,24270.6904106499,0,0,0
"insurance","unilasso_loo_true",20,264.948132382521,305.662849359727,238.226929603854,0,23838.4756499399,0,0,0
"insurance","unilasso_loo_true",21,239.030494011065,349.799029864806,431.984691837833,0,24697.1429212536,0,0,-332.243216508448
"insurance","unilasso_loo_true",22,248.473329733588,260.344636293795,0,0,24295.9724173163,0,0,0
"insurance","unilasso_loo_true",23,267.553090280535,300.88368845849,362.247321072766,0,23440.3368530814,487.335506362208,0,-794.214094327968
"insurance","unilasso_loo_true",24,239.216833068179,306.971053014996,498.792101593659,0,24720.862904744,-211.321185142301,0,0
"insurance","unilasso_loo_true",25,268.223994653148,287.863501526797,254.760528868409,0,24561.2387665228,0,0,0
"insurance","unilasso_loo_true",26,245.16512578694,313.021241925994,462.362087495369,0,22891.6026108736,0,0,0
"insurance","unilasso_loo_true",27,261.970111869914,307.85547722997,564.496502429624,0,23633.5646872674,0,0,0
"insurance","unilasso_loo_true",28,218.823993172592,304.958888686798,0,0,23511.9147015832,0,0,0
"insurance","unilasso_loo_true",29,250.056802528744,326.439055734954,337.187115956644,0,23445.0105627443,0,0,0
"insurance","unilasso_loo_true",30,252.422448558531,340.167270465685,514.713223576127,0,23984.509019814,0,0,0
"insurance","unilasso_loo_true",31,251.505160483094,337.642319409904,541.761763212263,0,23627.4425053966,0,0,-473.279148644221
"insurance","unilasso_loo_true",32,265.394274174197,371.733620506545,251.438403603324,0,23596.0236793587,0,0,0
"insurance","unilasso_loo_true",33,265.450821119975,262.875966116021,0,0,24306.2361992747,0,0,0
"insurance","unilasso_loo_true",34,262.498730870943,390.56511503586,408.462499270963,0,23664.2347404262,0,0,0
"insurance","unilasso_loo_true",35,236.274205827818,338.536216423019,426.585724665241,0,23805.7374648176,0,0,0
"insurance","unilasso_loo_true",36,228.404931901544,318.59335908908,0,0,24464.3436793868,0,0,0
"insurance","unilasso_loo_true",37,238.816964353795,276.515069601508,0,0,24020.2624838067,0,0,0
"insurance","unilasso_loo_true",38,230.741490997093,318.523649685378,319.358986834837,0,23382.7225513185,0,0,0
"insurance","unilasso_loo_true",39,244.757736182243,276.581768348457,393.224191218302,0,24098.9086641219,0,0,0
