"dataset","method","split_id","climbRate","Sgz","p","q","curRoll","absRoll","diffClb","diffRollRate","diffDiffClb","SaTime1","SaTime2","SaTime3","SaTime4","diffSaTime1","diffSaTime2","diffSaTime3","diffSaTime4","Sa"
"elevator","lasso_cv",3,3.15544188170141e-06,7.02313790400764e-06,0.00381270344257295,-0.00243646832910915,-7.40261900516799e-06,0.00161687463318833,-8.88141867593121e-05,0.53686578045381,-0.000229522150937864,-5.90018986502,-3.174922045668,0,-20.7364975145715,2.90592806824754,0,3.96097310599203,-1.35043848399855,0.0383429728294771
"elevator","lasso_cv",4,3.2050886694141e-06,5.42868312714388e-06,0.00355718657234906,0.00122492913446505,8.53863096120012e-06,0.00163440280828348,-6.0223013235969e-05,0.530514464102402,-0.000107424210146728,-4.42857589267746,-2.57659030262291,-5.66650949736366e-11,-22.4183525886025,0.745616649134231,0,3.17812582106897,-0.127424241152457,0
"elevator","lasso_cv",5,3.39815994103248e-06,3.0615391730916e-06,0.00359903155677451,0.00149164572512984,4.10896212883654e-05,0.00163991587053853,-6.33315718814075e-05,0.539170414684416,-7.27864269526474e-05,-5.31550939558689,-3.58273348165868,4.68462743053816e-08,-19.9456969363641,1.58036888130386,-14.1626725106786,4.61861531227307,16.7991734643252,-0.597001211942885
"elevator","lasso_cv",6,3.20106235502732e-06,5.13505136021971e-06,0.00383706353991035,0,1.13611359216397e-05,0.00161467468204206,-7.22669540099539e-05,0.532605029401619,-0.00011473085070242,-5.18574105712144,0,-3.37378362254185,-20.1521511795805,2.32254706344356,0,3.95342690827737,0,-0.745834163425473
"elevator","lasso_cv",7,3.20061542761931e-06,5.1425331614177e-06,0.00377310186326894,0.0010381286474922,-3.58672211750721e-05,0.00163211102952205,-6.23406405744263e-05,0.532753762396691,-8.52727161800798e-05,-6.13660447957437,-3.99974772969718,-0.228252528855834,-18.0914121228591,2.75395856158735,4.09366396089847,5.27643953231757,0,-1.01444098087279
"elevator","lasso_cv",8,3.30830816938467e-06,5.72983234872415e-06,0.0037234285680634,9.94971331240005e-05,1.27105603244436e-06,0.00167187647749395,-7.01330683422034e-05,0.545600179876167,-0.000131355241103208,-4.63300059664078,0,-2.18682907815727,-22.987102118339,1.76321339655218,-7.70388672503457,2.93952504516748,2.79397013582391,-0.414582878592213
"elevator","lasso_cv",9,3.31783514155563e-06,5.95913905093444e-06,0.00379939087629766,0.00143902292947198,-3.14630515049358e-05,0.00164633508781796,-5.85674901360212e-05,0.533157375519342,-7.41174964834966e-05,-6.10544359410712,0.0638119454216195,-4.75494380364743,-17.9559939506773,2.98959813024361,-15.724293464552,6.5014347739056,16.9653322425873,-0.673049944004717
"elevator","lasso_cv",10,3.27789720605275e-06,4.66824366784898e-06,0.00374149581102964,0.000452776991642859,2.89100755354616e-05,0.00162115866022802,-6.87955223574712e-05,0.532280770610713,-0.000136018067875509,-3.19181536715882,-4.68315539122528,-4.38136303190987e-11,-21.3585951222781,1.68332601372447,0,3.33266431960614,0,0
"elevator","lasso_cv",11,3.35269215825753e-06,7.86105100523676e-06,0.00381378192931063,0.00115755960251557,7.36625933910399e-05,0.00160207374674561,-5.53904418815585e-05,0.532265270906742,-0.000128557695847027,-4.18657467421934,-2.42226406949615,-1.30866723378443,-16.9802993686225,1.64350178894194,-12.3476772481567,3.97925659808807,10.4867933062859,-4.14790893703416
"elevator","lasso_cv",12,3.18741426163961e-06,5.84104007158301e-06,0.00375363179475363,0,0,0.00164185257488751,-6.96062578902733e-05,0.541094857995216,-0.000153400524818358,-4.74555495704848,-3.86699455484465,-0.124028534833068,-20.3634169598431,2.29944932295114,0,4.42009356735827,0.743552458540337,-0.589655949392054
"elevator","lasso_cv",13,3.2286642372586e-06,5.37732482667084e-06,0.00377347032553116,0.00452507952106477,1.30184780586e-05,0.00170130266974687,-3.22844122336413e-05,0.541367466043274,-2.47174255203412e-05,-5.43489953782032,-2.23697818032308,-0.000226808276580731,-0.0377862087655586,1.68526170219919,-15.7347744484484,5.0889794987747,-6.41220889439772,-22.115920915338
"elevator","lasso_cv",14,3.42128385281294e-06,5.73881572431189e-06,0.00366458325919672,0,0,0.00161756456585264,-7.13992465548112e-05,0.53486974745701,-0.000110566753457442,-4.90981378734244,-4.945905203123,0,-19.6715178755863,2.18182277405796,-3.68689705527736,4.58821332451474,0,0
"elevator","lasso_cv",15,3.25124661090984e-06,4.90388303303451e-06,0.00368610295676116,0.00140260492514526,-7.0556295959814e-06,0.00164749571173521,-5.69541958786165e-05,0.53899140917381,-0.000120443930711852,-6.06875569259039,-2.10195091819299,-1.03114518125483,-19.5918166347069,2.58215689640925,0.764077294031997,4.25196915719013,0,-0.876506749882819
"elevator","lasso_cv",16,3.32348824025452e-06,5.14869617898629e-06,0.00379657893322869,0.000124559205605635,0,0.00165180295389191,-7.26421756073626e-05,0.538731664903108,-0.000130827823775447,-5.6745930903897,-3.03583013792844,0,-19.4751296602167,2.48407919025485,-13.0806558027479,3.97404964678446,11.7670321446157,-1.5490367286161
"elevator","lasso_cv",17,3.31048481011086e-06,5.69932329744192e-06,0.00354375086805295,8.94265097267052e-05,-1.09103537724414e-05,0.00160776771566217,-7.05349962304893e-05,0.532169434200228,-0.000151630749183984,-6.09712615706533,-1.44498695927689,-1.68676654926649,-18.7538931679991,2.66224786590707,0.655481136174603,3.12573395336309,0,-1.21552690057994
"elevator","lasso_cv",18,3.38930709080965e-06,3.97366034521648e-06,0.00372898792348937,0.00214258075953678,1.55782511621317e-05,0.00163117316184835,-5.39796672512816e-05,0.53254679100796,-7.85460199549997e-05,-6.25070304381354,-3.57163527542977,0,-19.4787455225579,2.76446209112471,-12.6528975305512,5.19105187523064,0,0
"elevator","lasso_cv",19,3.23731338404178e-06,6.77014783771493e-06,0.00373807715049024,0.00203046523750328,4.1643419468528e-05,0.001652023515005,-5.07328379785755e-05,0.539204126651162,-8.93557876215329e-05,-4.22831189015503,-3.51452893088908,-0.731186628988553,-20.3439539161517,2.30977448779805,3.89217704741186,3.735537108382,-2.46756174839464,-0.694835855203994
