"dataset","method","split_id","u1","u2","u3","u4","u5","u6","u7"
"debutanizer","uni_loo",41,0.100323363647966,-0.68464204827764,-0.244074432586208,0.124942526455691,-0.26821090268851,-0.069517038205478,-0.0441847136777173
"debutanizer","uni_loo",42,0.0871677327036242,-0.611581339813287,-0.205843910380038,0.180551284626944,-0.277276825166941,-0.0596880053083766,-0.0379777834137411
"debutanizer","uni_loo",43,0.145859240510083,-0.534922941102458,-0.193111901503003,0.144035513891371,-0.293432078620604,-0.0867254485018693,-0.0622001653495377
"debutanizer","uni_loo",44,0.108018488471848,-0.566364794467952,-0.203880392917579,0.205113307939144,-0.27857916745008,-0.0617733478943984,-0.0382844525602411
"debutanizer","uni_loo",45,0.120113582880082,-0.614530166041131,-0.181901852446551,0.178279773275211,-0.253183886535372,-0.0623519988012365,-0.0412783319774665
"debutanizer","uni_loo",46,0.173901417435437,-0.675964287987818,-0.191268743480132,0.200379627601122,-0.229529485692825,-0.0321668364578278,-0.0114772070881289
"debutanizer","uni_loo",47,0.175910229965568,-0.485424974176513,-0.194542210857871,0.121930833702766,-0.313111027701319,-0.0891140801786598,-0.0730483994784221
"debutanizer","uni_loo",48,0.119454634489992,-0.654596341430296,-0.203059133468737,0.195962153852526,-0.274175336176713,-0.0887000857912376,-0.0622715875014869
"debutanizer","uni_loo",49,0.0771712716270658,-0.522386365822954,-0.196938504097637,0.204452727010918,-0.296502507408881,-0.055382915941889,-0.0359425918574004
"debutanizer","uni_loo",50,0.129004818453782,-0.686046275059526,-0.191339962807905,0.132434688748271,-0.268407326797477,-0.0762090117492056,-0.0553152149357334
"debutanizer","uni_loo",51,0.10549815110644,-0.544846419273307,-0.195035709903664,0.177319659368302,-0.257585118117644,-0.0490390388522526,-0.0246388192905369
"debutanizer","uni_loo",52,0.106287187146834,-0.567413701921557,-0.191977394713065,0.15134419325746,-0.275530216193674,-0.0857195692647308,-0.0671828011045934
"debutanizer","uni_loo",53,0.0754347644033421,-0.635723976659138,-0.209573954288889,0.206694359226043,-0.287280739990494,-0.0678259787946891,-0.0517081971826839
"debutanizer","uni_loo",54,0.0898323518773492,-0.487178178762909,-0.194389231845881,0.177760884619544,-0.262682287270448,-0.0885771534129413,-0.0620626943122356
