"dataset","bootstrap_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support","unireg_mse","unireg_support","least_squares_mse","least_squares_support","oob_sample_count"
"crime",16,0.0208152063249681,26,0.0209524551422338,32,0.0251479016714222,110,0.0234075522551115,84,0.0210658327689456,32,0.0264890746327556,126,351
"crime",17,0.0200708716128787,21,0.0200572843222477,21,0.0240747773359164,106,0.0224404443737705,90,0.0200633818586126,31,0.0258528644963652,126,377
"crime",18,0.020112399663679,25,0.0201729819014286,27,0.0206345299485689,38,0.0224482741971148,103,0.0202110212626666,26,0.0246559820443351,126,373
"crime",19,0.0202026347832889,23,0.0203356049928861,32,0.0204040258579041,27,0.0216773340437459,86,0.0202720055195941,31,0.0231813786144442,126,365
"crime",20,0.0195598090030803,26,0.0196346526465019,30,0.0195598918234602,26,0.0212948502807695,77,0.0197355872730962,33,0.026633469961488,126,362
"crime",21,0.0211584810930962,34,0.0212958749691952,36,0.0211565691903992,35,0.0216365985223793,68,0.0212396783095435,34,0.0251221213416818,126,354
"crime",22,0.0201413205080652,33,0.0201861391959994,35,0.0231166586065764,97,0.0221836911526364,97,0.0202310698374105,34,0.0259413790266267,126,387
"crime",23,0.0202048853038346,26,0.0201989264553909,29,0.0212078567050432,40,0.0218450861610587,78,0.0202423804137555,27,0.0238767095604494,126,362
"crime",24,0.0211699588420837,19,0.0211895699350988,37,0.0224002579652124,68,0.0225888726519399,87,0.0211267349796723,32,0.0256844082751824,126,366
"crime",25,0.0203939400303056,21,0.0207968220933092,35,0.0204767265619349,23,0.0224225981089209,109,0.0206904514529665,32,0.0248817883556479,126,381
"crime",26,0.0206141435495724,28,0.0208006616868878,32,0.0205404674815451,31,0.0207190963202929,52,0.0207595871433817,31,0.0235391691078479,126,342
"crime",27,0.0200120206561201,27,0.0199939437025643,27,0.0200119832007544,27,0.0211871870028978,73,0.0201219664455432,34,0.0240951215924607,126,374
"crime",28,0.0201978457960833,26,0.0203153164896686,32,0.0201978802248652,26,0.0216310667022387,77,0.0202309034633582,27,0.0271671894628695,126,382
"crime",29,0.0205754464882244,33,0.020581897144808,35,0.0205755336784232,33,0.0206804408720248,80,0.0206484823210953,34,0.0229431812316197,126,353
"crime",30,0.0206162296301121,24,0.021198443596266,40,0.0206162041978702,24,0.0215037517676718,60,0.020654209257565,27,0.0245152175199857,126,355
"crime",31,0.020347411042776,27,0.0207568320152546,34,0.0218637009634536,81,0.0213660814298719,74,0.0205281449234735,34,0.0234297867637412,126,375
"crime",32,0.0201868121456884,26,0.0202533674823876,38,0.0221494228124075,97,0.022831429018121,98,0.0202077117343313,35,0.0246798857575458,126,372
"crime",33,0.0203276690957081,30,0.0204153849091534,31,0.0203273312447395,30,0.0209953782049766,88,0.0204456765142061,32,0.0219760975239062,126,350
"crime",34,0.0200153864243815,27,0.0200055973133382,28,0.0215236745270414,88,0.0215146439449589,99,0.0201567845401841,37,0.0226697674120675,126,365
"crime",35,0.0201168713257589,24,0.0203378160771278,37,0.0218531730387641,88,0.0215922760639277,80,0.0202759169455001,34,0.0233203828664039,126,363
"crime",36,0.0203309142920815,23,0.0204550835727513,34,0.0203323529588725,23,0.0209351172412305,67,0.0203906575258079,35,0.0230433027444975,126,362
"crime",37,0.020348235069862,28,0.0206242516621925,35,0.0204780813380404,32,0.0209804552807831,48,0.0204017561222817,33,0.024136902802705,126,371
"crime",38,0.0200954864801064,22,0.0202260126867927,32,0.0222970877623611,94,0.0217051633977255,84,0.0202295676670885,32,0.0245953316963989,126,367
"crime",39,0.0206757959639388,20,0.0205693266668508,41,0.0225676151533348,88,0.0233240584949522,113,0.0207314627768901,32,0.0246687861184228,126,360
"crime",40,0.0197504919717894,25,0.0198313881950729,32,0.0200617969092901,48,0.0208756539675452,86,0.0197429493853594,32,0.0221371615090231,126,371
"crime",41,0.0203171015583588,32,0.0203087133542991,35,0.0203163646269591,32,0.0261475275263405,126,0.0203212247863356,33,0.0277079470988238,126,398
"crime",42,0.0206006282572535,29,0.020600219063421,36,0.0206002521238753,29,0.0220582704959723,87,0.0205920850876548,36,0.0242670250422967,126,378
"crime",43,0.0203244115340967,24,0.0203385091695892,30,0.0217166635301977,85,0.0215118250061581,80,0.0203767857423734,31,0.023902546365017,126,355
"crime",44,0.019692259809439,31,0.0196850506520873,31,0.0207247306364141,45,0.0221479124316038,102,0.0199849101438556,34,0.0237512418819629,126,382
"crime",45,0.0201825920977782,31,0.0203027245396203,33,0.0224913419496129,102,0.0229379998032827,103,0.0202066677283331,38,0.0246608595434372,126,355
"crime",46,0.020613174372321,23,0.0206037777726626,30,0.0206124876110706,23,0.0222500008228635,92,0.0206126768402203,30,0.0241710827889611,126,381
"crime",47,0.0200752510361436,30,0.0205047465660654,42,0.0200937642998965,31,0.0215876182062984,93,0.020167012886705,40,0.0239779884469575,126,360
"crime",48,0.0201093121558295,23,0.020090694140767,23,0.0211202449843093,80,0.0208957717164537,77,0.0201522132613311,35,0.0224114896410085,126,359
"crime",49,0.0203478576661414,25,0.0206515486937879,38,0.0232209040968772,98,0.023277683586782,101,0.0205948663848728,35,0.0253850108223519,126,386
"crime",50,0.0204568369035179,29,0.0204515783099115,32,0.0202997668839984,33,0.0226515402165029,85,0.0205661505991111,34,0.0257500114396329,126,365
"crime",51,0.0205902825425671,30,0.0208849567417422,35,0.0233457603745954,92,0.022754235995965,91,0.0208651158906945,35,0.0249832153661211,126,350
"crime",52,0.020272021173422,33,0.020651680529076,36,0.020469453033814,35,0.0222650368588725,83,0.0204296298463915,35,0.0255020659791926,126,369
"crime",53,0.0202962702997241,34,0.0203355052595752,34,0.0222858410649733,97,0.0220750912361064,87,0.0205608816898402,37,0.0248844675541458,126,375
"crime",54,0.0204018057396662,30,0.0203720030725246,30,0.0220180676274615,50,0.0212711163187792,76,0.0204327437830377,33,0.0235837863347949,126,359
"crime",55,0.0203120556722452,34,0.0204250773503362,41,0.020312777669686,34,0.0221470126990128,92,0.0205071862971393,42,0.0249467230892193,126,353
"crime",56,0.0206301769029821,30,0.0209411280323027,33,0.020630295030198,30,0.0222961451357961,90,0.0208053207461642,33,0.0241052007146973,126,360
