"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"airfoil",1,22.8443702204154,5,0,22.8244127935433,5,0,22.8428237927797,5,0,22.8324298851671,5,0,22.840080802386,5,0,22.8240792673009,5,0
"airfoil",2,24.8936774278624,5,0,24.8519440147286,5,0,24.8924171497594,5,0,24.8497820936905,5,0,24.8836617543052,5,0,24.8495037914765,5,0
"airfoil",3,24.724488430561,5,0,24.6031900380189,5,0,24.7251087680354,5,0,24.6209742392353,5,0,24.723020999455,5,0,24.6010209446405,5,0
"airfoil",4,23.5914242504402,5,0,23.4290152373265,5,0,23.5934645747747,5,0,23.4302613981943,5,0,23.4990447849937,5,0,23.3582322032545,5,0
"airfoil",5,23.3032148563445,5,0,23.2238103248241,5,0,23.3075391167993,5,0,23.2242719097424,5,0,23.3030532731691,5,0,23.2233182874257,5,0
"airfoil",6,22.8987584596957,5,0,22.9619295127121,5,0,22.9017476590331,5,0,22.9456445565777,5,0,22.8991447858903,5,0,22.9633943872005,5,0
"airfoil",7,22.5452049977677,5,0,22.2753446241992,5,0,22.5458933526645,5,0,22.2714742444671,5,0,22.5287893538361,5,0,22.2628988806017,5,0
"airfoil",8,24.749516888956,5,0,24.7239968595969,5,0,24.7505518031309,5,0,24.7132692691691,5,0,24.7497807488289,5,0,24.7242680433932,5,0
"airfoil",9,23.3745762045676,5,0,23.4245824752036,5,0,23.3754530704843,5,0,23.423577596895,5,0,23.3853433495965,5,0,23.4397812747658,5,0
"airfoil",10,22.9030329236533,5,0,22.7989412798543,5,0,22.899043833303,5,0,22.8289911105715,5,0,22.9018120229729,5,0,22.7978158524195,5,0
"airfoil",11,23.7059805598926,5,0,23.7214124248517,5,0,23.7078412903071,5,0,23.7283602879462,5,0,23.7058110587619,5,0,23.7219843638323,5,0
"airfoil",12,23.759798171567,5,0,23.7154925328145,5,0,23.7609907667362,5,0,23.701094654816,5,0,23.7599719682581,5,0,23.7161882665681,5,0
"airfoil",13,23.1736840161272,5,0,23.1927194030041,5,0,23.1734151468435,5,0,23.1714142596076,5,0,23.1739158617325,5,0,23.1938539179331,5,0
"airfoil",14,23.3648660745666,5,0,23.3002773347378,5,0,23.3643210524431,5,0,23.3265455471948,5,0,23.3631008669209,5,0,23.2987708898591,5,0
"airfoil",15,22.9923258772926,5,0,22.8844696177733,5,0,22.9931797579577,5,0,22.9088459588997,5,0,22.9824916460456,5,0,22.8832482510836,5,0
"airfoil",16,23.2832348968517,5,0,23.1124578625878,5,0,23.2826454907154,5,0,23.1344032379993,5,0,23.2632544586535,5,0,23.1066837009512,5,0
"airfoil",17,23.3620651036841,5,0,23.2827749798982,5,0,23.3615706829367,5,0,23.2889586164252,5,0,23.3613530017756,5,0,23.2820707980635,5,0
"airfoil",18,23.3130852164306,5,0,23.2308678666549,5,0,23.3137439195167,5,0,23.2297542192318,5,0,23.2982263582974,5,0,23.219969781479,5,0
"airfoil",19,20.7179736974652,5,0,20.7355122847121,5,0,20.7184875216057,5,0,20.739635269771,5,0,20.7175012237668,5,0,20.7358064108994,5,0
"airfoil",20,23.2205558942752,5,0,23.2546544070415,5,0,23.2208716731502,5,0,23.254497790807,5,0,23.2253271380402,5,0,23.2633954019126,5,0
"airfoil",21,21.9252487118586,5,0,21.9469087611799,5,0,21.9245443236001,5,0,21.9195136687204,5,0,21.929256618514,5,0,21.949376234228,5,0
"airfoil",22,23.4057148259916,5,0,23.4145656929233,5,0,23.4059853377662,5,0,23.4063108862078,5,0,23.4055412335812,5,0,23.4153304853101,5,0
"airfoil",23,23.0900642153825,5,0,22.938399985507,5,0,23.0908540373052,5,0,22.9576187854305,5,0,23.0758848280101,5,0,22.9258541426873,5,0
"airfoil",24,22.5816615914844,5,0,22.498945959006,5,0,22.5811308574541,5,0,22.5021931338643,5,0,22.5638867374687,5,0,22.491888012213,5,0
"airfoil",25,22.7464729857574,5,0,22.6726751083071,5,0,22.7457543073853,5,0,22.6891866927476,5,0,22.7309874096285,5,0,22.6647648815184,5,0
"airfoil",26,20.4201236091308,5,0,20.446052586324,5,0,20.4194668083072,5,0,20.4517292394096,5,0,20.4193896079208,5,0,20.4464569137661,5,0
"airfoil",27,24.0129743761252,5,0,23.9144987691765,5,0,24.0124484126447,5,0,23.9063160430663,5,0,23.9958055481882,5,0,23.9056003122178,5,0
"airfoil",28,23.4381985158052,5,0,23.3869857247529,5,0,23.4368299410776,5,0,23.3959121602064,5,0,23.4375165677114,5,0,23.3865050143922,5,0
"airfoil",29,23.1231404851148,5,0,23.1389761281433,5,0,23.1231801424183,5,0,23.1436017864983,5,0,23.1230419071446,5,0,23.1391889103374,5,0
"airfoil",30,24.26220097578,5,0,24.2176260079671,5,0,24.2610618816454,5,0,24.2060489686641,5,0,24.2618269760392,5,0,24.2190456006018,5,0
"airfoil",31,22.298999196956,5,0,22.2446957477246,5,0,22.2986461335289,5,0,22.2515477707736,5,0,22.2882688326261,5,0,22.2423505026983,5,0
"airfoil",32,24.2745373945492,5,0,24.1961668199983,5,0,24.274038760563,5,0,24.1763343398946,5,0,24.2750037867462,5,0,24.196336044736,5,0
"airfoil",33,23.5796301914066,5,0,23.5343957091231,5,0,23.5775564340446,5,0,23.5336107934359,5,0,23.5771894518849,5,0,23.5334300630876,5,0
"airfoil",34,21.6088384611992,5,0,21.5491068570684,5,0,21.6084945917117,5,0,21.546364254204,5,0,21.6077151655661,5,0,21.549068717647,5,0
"airfoil",35,24.221129044351,5,0,24.1344452331859,5,0,24.2185220048501,5,0,24.1361237150195,5,0,24.2170275128435,5,0,24.1313170601556,5,0
"airfoil",36,21.6495114079964,5,0,21.5550320078845,5,0,21.647801476605,5,0,21.553617014758,5,0,21.6341383553063,5,0,21.545437290842,5,0
"airfoil",37,24.1457194880934,5,0,24.1197479770214,5,0,24.1444580629093,5,0,24.1137842140173,5,0,24.1444652954586,5,0,24.1224788513288,5,0
"airfoil",38,23.3247052503826,5,0,23.3596094633217,5,0,23.3261414306468,5,0,23.3514814974855,5,0,23.3267815910698,5,0,23.3614950492963,5,0
"airfoil",39,22.400005721274,5,0,22.4931272933566,5,0,22.4009413017511,5,0,22.4993278566677,5,0,22.3998027982152,5,0,22.4941678451456,5,0
"airfoil",40,22.8083998967673,5,0,22.8378077732698,5,0,22.8104215744745,5,0,22.8330963998937,5,0,22.8100865827144,5,0,22.8413597160922,5,0
"airfoil",41,21.6572703037959,5,0,21.6365428655236,5,0,21.6516017221395,5,0,21.6363094070705,5,0,21.6572356122396,5,0,21.6365915163826,5,0
"airfoil",42,22.6605026277462,5,0,22.6082570601923,5,0,22.6599526447199,5,0,22.6333740597929,5,0,22.6593911704632,5,0,22.6071495510597,5,0
"airfoil",43,24.4206052737843,5,0,24.3517873044849,5,0,24.4244801361335,5,0,24.3355561583445,5,0,24.4177715184192,5,0,24.3497647336063,5,0
"airfoil",44,24.1370642528828,5,0,24.1615015748896,5,0,24.1342835280126,5,0,24.1598324101425,5,0,24.137295742534,5,0,24.1643588601346,5,0
"airfoil",45,20.7418509822428,5,0,20.7950819893568,5,0,20.74218668172,5,0,20.7911597949463,5,0,20.7418206714675,5,0,20.7959412062015,5,0
"airfoil",46,23.1948652450876,5,0,23.1403529199199,5,0,23.1952438899754,5,0,23.1598669395982,5,0,23.1888047922995,5,0,23.1361525380214,5,0
"airfoil",47,23.2912024758373,5,0,23.2954714399962,5,0,23.2921129973709,5,0,23.2897069021402,5,0,23.2909755304581,5,0,23.2956358100308,5,0
"airfoil",48,22.8856170966332,5,0,22.7917325100652,5,0,22.8856764719489,5,0,22.7887182954778,5,0,22.8749853695394,5,0,22.7841894681059,5,0
"airfoil",49,22.7834038026664,5,0,22.8555405339113,5,0,22.7840332974334,5,0,22.854710649081,5,0,22.7922039110937,5,0,22.8676876674328,5,0
"airfoil",50,22.6686808798062,5,0,22.6444141870073,5,0,22.6686919018414,5,0,22.6443096315954,5,0,22.6677643746751,5,0,22.6441566583712,5,0
"airfoil",51,23.8728685126936,5,0,23.8829262512415,5,0,23.8743731921114,5,0,23.8580159026251,5,0,23.8737067209723,5,0,23.8844102298561,5,0
"airfoil",52,23.0142701883698,5,0,22.8676889459963,5,0,23.0143296451997,5,0,22.8987203182116,5,0,23.0115862435752,5,0,22.8648821014626,5,0
"airfoil",53,23.6019762546732,5,0,23.5961991729321,5,0,23.6018002793918,5,0,23.5869814370275,5,0,23.6023362930079,5,0,23.5989483077175,5,0
"airfoil",54,22.8981816852241,5,0,22.9045759783544,5,0,22.8982463856387,5,0,22.9073139529899,5,0,22.8978990292115,5,0,22.9045924681434,5,0
"airfoil",55,23.1902318952705,5,0,23.2707385744181,5,0,23.1900904614644,5,0,23.236447797803,5,0,23.1914098408394,5,0,23.272761347364,5,0
"airfoil",56,22.0922085559908,5,0,22.1348159134653,5,0,22.0897491176977,5,0,22.1289195088045,5,0,22.0927169573011,5,0,22.1363949433739,5,0
"airfoil",57,22.0908154667171,5,0,22.0712420584061,5,0,22.0903402627251,5,0,22.0944057200857,5,0,22.0898795914361,5,0,22.0707791805438,5,0
"airfoil",58,22.5794755432557,5,0,22.6295801074283,5,0,22.5786860466402,5,0,22.6223684976117,5,0,22.5802263609095,5,0,22.6305674733824,5,0
"airfoil",59,22.8262990761732,5,0,22.7093715670564,5,0,22.8247424829119,5,0,22.721659249565,5,0,22.8134241211645,5,0,22.6996477447842,5,0
"airfoil",60,23.4003837174549,5,0,23.1704960271369,5,0,23.3984424397288,5,0,23.2152163513054,5,0,23.3983766576436,5,0,23.1667475586048,5,0
"airfoil",61,24.2437944497186,5,0,24.1785305029477,5,0,24.2435179325894,5,0,24.198994844462,5,0,24.2414958479789,5,0,24.1773397023871,5,0
"airfoil",62,22.7088693009117,5,0,22.7303839608524,5,0,22.7097408094849,5,0,22.7398095142962,5,0,22.706848285848,5,0,22.7341783602775,5,0
"airfoil",63,22.8570110353592,5,0,22.7128390624654,5,0,22.8581085518653,5,0,22.7231520766099,5,0,22.8560143006442,5,0,22.7111479438018,5,0
"airfoil",64,23.4915887747051,5,0,23.4215971029244,5,0,23.4924801638402,5,0,23.4279458015157,5,0,23.4696895232374,5,0,23.4043536136938,5,0
"airfoil",65,23.1988129081351,5,0,22.8885493288092,5,0,23.2010618316636,5,0,22.9149523299775,5,0,23.1457525514911,5,0,22.8487887951869,5,0
"airfoil",66,22.3874010179051,5,0,22.377854826828,5,0,22.3871420404295,5,0,22.3853128715922,5,0,22.3869023005882,5,0,22.3778401751106,5,0
"airfoil",67,22.5773706286515,5,0,22.6147809673157,5,0,22.5749802629748,5,0,22.5977365328265,5,0,22.5782298335589,5,0,22.6161359375151,5,0
"airfoil",68,22.8269188706339,5,0,22.6873571184486,5,0,22.825170678936,5,0,22.7043289573569,5,0,22.825346538444,5,0,22.6853797057115,5,0
"airfoil",69,23.5465054460364,5,0,23.5486652900123,5,0,23.5454055926785,5,0,23.5490218872085,5,0,23.5459098664954,5,0,23.5539371270405,5,0
"airfoil",70,22.3731107391356,5,0,22.4461312806595,5,0,22.3725031976938,5,0,22.4423693937333,5,0,22.3885881463728,5,0,22.4680765949102,5,0
"airfoil",71,21.7557574952638,5,0,21.8212176692581,5,0,21.7560947592645,5,0,21.8046430010407,5,0,21.7564918279876,5,0,21.8225242533787,5,0
"airfoil",72,23.0047226595248,5,0,22.9040030913768,5,0,23.0060531950334,5,0,22.9196291675681,5,0,22.9976548193777,5,0,22.9002600133733,5,0
"airfoil",73,21.6857260854186,5,0,21.6047536047863,5,0,21.6863507742227,5,0,21.6097085059582,5,0,21.6845382900272,5,0,21.6041084882453,5,0
"airfoil",74,24.1820814371412,5,0,24.1785401843686,5,0,24.1810204074028,5,0,24.1534620864597,5,0,24.1831165150207,5,0,24.1791483874551,5,0
