"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"airfoil_self-noise",1,22.8443702204154,5,0,22.8244127935433,5,0,22.8428237927797,5,0,40.2114779764269,1,0,22.8448137348198,5,0,22.8240792673009,5,0
"airfoil_self-noise",2,24.8936774278624,5,0,24.8519440147286,5,0,24.8924171497594,5,0,42.7565980018319,1,0,24.8936774278624,5,0,24.8495037914765,5,0
"airfoil_self-noise",3,24.724488430561,5,0,24.6031900380189,5,0,24.7251087680354,5,0,43.3322770917932,1,0,24.723020999455,5,0,24.6010209446405,5,0
"airfoil_self-noise",4,23.5914242504402,5,0,23.4290152373265,5,0,23.5934645747747,5,0,42.9311203831381,1,0,23.6110838192235,5,0,23.3582322032545,5,0
"airfoil_self-noise",5,23.3032148563445,5,0,23.2238103248241,5,0,23.3075391167993,5,0,39.1360205181376,1,0,23.3030532731691,5,0,23.2233182874257,5,0
"airfoil_self-noise",6,22.8987584596957,5,0,22.9619295127121,5,0,22.9017476590331,5,0,39.2879025377069,1,0,22.8991447858903,5,0,22.9633943872005,5,0
"airfoil_self-noise",7,22.5452049977677,5,0,22.2753446241992,5,0,22.5458933526645,5,0,39.3413460449131,1,0,22.5452049977677,5,0,22.2628988806017,5,0
"airfoil_self-noise",8,24.749516888956,5,0,24.7239968595969,5,0,24.7505518031309,5,0,41.2132285413016,1,0,24.7497807488289,5,0,24.7242680433932,5,0
"airfoil_self-noise",9,23.3745762045676,5,0,23.4245824752036,5,0,23.3754530704843,5,0,40.3310199399642,1,0,23.3745762045676,5,0,23.4397812747658,5,0
"airfoil_self-noise",10,22.9030329236533,5,0,22.7989412798543,5,0,22.899043833303,5,0,41.2711169138061,1,0,22.9030329236532,5,0,22.7978158524195,5,0
"airfoil_self-noise",11,23.7059805598926,5,0,23.7214124248517,5,0,23.7078412903071,5,0,40.6115182929308,1,0,23.7060030535633,5,0,23.7219843638323,5,0
"airfoil_self-noise",12,23.759798171567,5,0,23.7154925328145,5,0,23.7609907667362,5,0,40.2536140032151,1,0,23.759798171567,5,0,23.7161882665681,5,0
"airfoil_self-noise",13,23.1736840161272,5,0,23.1927194030041,5,0,23.1734151468435,5,0,39.3772093791711,1,0,23.1739158617325,5,0,23.1938539179331,5,0
"airfoil_self-noise",14,23.3648660745666,5,0,23.3002773347378,5,0,23.3643210524431,5,0,42.9843143866634,1,0,23.3631008669209,5,0,23.2987708898591,5,0
"airfoil_self-noise",15,22.9923258772926,5,0,22.8844696177733,5,0,22.9931797579577,5,0,40.9836773150627,1,0,22.9923258772926,5,0,22.8832482510836,5,0
"airfoil_self-noise",16,23.2832348968517,5,0,23.1124578625878,5,0,23.2826454907154,5,0,42.3988112432133,1,0,23.2768624284697,5,0,23.1066837009512,5,0
"airfoil_self-noise",17,23.3620651036841,5,0,23.2827749798982,5,0,23.3615706829367,5,0,40.4944769999968,1,0,23.3613530017756,5,0,23.2820707980635,5,0
"airfoil_self-noise",18,23.3130852164306,5,0,23.2308678666549,5,0,23.3137439195167,5,0,40.4277298188712,1,0,23.311115794922,5,0,23.219969781479,5,0
"airfoil_self-noise",19,20.7179736974652,5,0,20.7355122847121,5,0,20.7184875216057,5,0,38.4637424123704,1,0,20.7175012237668,5,0,20.7358064108994,5,0
"airfoil_self-noise",20,23.2205558942752,5,0,23.2546544070415,5,0,23.2208716731502,5,0,40.3666541029448,1,0,23.2203445639871,5,0,23.2633954019126,5,0
"airfoil_self-noise",21,21.9252487118586,5,0,21.9469087611799,5,0,21.9245443236001,5,0,37.5434998190775,1,0,21.9255812314593,5,0,21.949376234228,5,0
"airfoil_self-noise",22,23.4057148259916,5,0,23.4145656929233,5,0,23.4059853377662,5,0,40.7784059332813,1,0,23.4055412335812,5,0,23.4153304853101,5,0
"airfoil_self-noise",23,23.0900642153825,5,0,22.938399985507,5,0,23.0908540373052,5,0,41.458295931395,1,0,23.0887071924966,5,0,22.9258541426873,5,0
"airfoil_self-noise",24,22.5816615914844,5,0,22.498945959006,5,0,22.5811308574541,5,0,40.6548178707167,1,0,22.5800611457181,5,0,22.491888012213,5,0
"airfoil_self-noise",25,22.7464729857574,5,0,22.6726751083071,5,0,22.7457543073853,5,0,42.0811364630703,1,0,22.7479354060252,5,0,22.6647648815184,5,0
"airfoil_self-noise",26,20.4201236091308,5,0,20.446052586324,5,0,20.4194668083072,5,0,39.095579190402,1,0,20.4193896079208,5,0,20.4464569137661,5,0
"airfoil_self-noise",27,24.0129743761252,5,0,23.9144987691765,5,0,24.0124484126447,5,0,41.0016195869482,1,0,24.0129743761252,5,0,23.9056003122178,5,0
"airfoil_self-noise",28,23.4381985158052,5,0,23.3869857247529,5,0,23.4368299410776,5,0,41.8221337717185,1,0,23.4381985158053,5,0,23.3865050143922,5,0
"airfoil_self-noise",29,23.1231404851148,5,0,23.1389761281433,5,0,23.1231801424183,5,0,39.0336595823279,1,0,23.1230419071446,5,0,23.1391889103374,5,0
"airfoil_self-noise",30,24.26220097578,5,0,24.2176260079671,5,0,24.2610618816454,5,0,40.5852026579166,1,0,24.2621428115432,5,0,24.2190456006018,5,0
"airfoil_self-noise",31,22.298999196956,5,0,22.2446957477246,5,0,22.2986461335289,5,0,40.5806072038726,1,0,22.2950141096803,5,0,22.2423505026983,5,0
"airfoil_self-noise",32,24.2745373945492,5,0,24.1961668199983,5,0,24.274038760563,5,0,40.3437992285902,1,0,24.2750037867462,5,0,24.196336044736,5,0
"airfoil_self-noise",33,23.5796301914066,5,0,23.5343957091231,5,0,23.5775564340446,5,0,39.718033647847,1,0,23.5796301914065,5,0,23.5334300630876,5,0
"airfoil_self-noise",34,21.6088384611992,5,0,21.5491068570684,5,0,21.6084945917117,5,0,38.1165900528836,1,0,21.6087878803512,5,0,21.549068717647,5,0
"airfoil_self-noise",35,24.221129044351,5,0,24.1344452331859,5,0,24.2185220048501,5,0,40.9046559679301,1,0,24.2216377834142,5,0,24.1313170601556,5,0
"airfoil_self-noise",36,21.6495114079964,5,0,21.5550320078845,5,0,21.647801476605,5,0,39.7030520203052,1,0,21.6495114079964,5,0,21.545437290842,5,0
"airfoil_self-noise",37,24.1457194880934,5,0,24.1197479770214,5,0,24.1444580629093,5,0,40.4366668384146,1,0,24.1454400848339,5,0,24.1224788513288,5,0
"airfoil_self-noise",38,23.3247052503826,5,0,23.3596094633217,5,0,23.3261414306468,5,0,39.013295818511,1,0,23.3251181970822,5,0,23.3614950492963,5,0
"airfoil_self-noise",39,22.400005721274,5,0,22.4931272933566,5,0,22.4009413017511,5,0,41.0448407253311,1,0,22.3998027982152,5,0,22.4941678451456,5,0
"airfoil_self-noise",40,22.8083998967673,5,0,22.8378077732698,5,0,22.8104215744745,5,0,39.8952101653708,1,0,22.8083998967674,5,0,22.8413597160922,5,0
"airfoil_self-noise",41,21.6572703037959,5,0,21.6365428655236,5,0,21.6516017221395,5,0,38.4034977541436,1,0,21.6572356122396,5,0,21.6365915163826,5,0
"airfoil_self-noise",42,22.6605026277462,5,0,22.6082570601923,5,0,22.6599526447199,5,0,40.7487878164816,1,0,22.6603696848815,5,0,22.6071495510597,5,0
"airfoil_self-noise",43,24.4206052737843,5,0,24.3517873044849,5,0,24.4244801361335,5,0,40.3650149049175,1,0,24.4232751944188,5,0,24.3497647336063,5,0
"airfoil_self-noise",44,24.1370642528828,5,0,24.1615015748896,5,0,24.1342835280126,5,0,41.9493120299966,1,0,24.1370642528828,5,0,24.1643588601346,5,0
"airfoil_self-noise",45,20.7418509822428,5,0,20.7950819893568,5,0,20.74218668172,5,0,37.8075614913255,1,0,20.7418509822428,5,0,20.7959412062015,5,0
"airfoil_self-noise",46,23.1948652450876,5,0,23.1403529199199,5,0,23.1952438899754,5,0,41.3697073135147,1,0,23.1948652450876,5,0,23.1361525380214,5,0
"airfoil_self-noise",47,23.2912024758373,5,0,23.2954714399962,5,0,23.2921129973709,5,0,39.8518053425573,1,0,23.2909755304581,5,0,23.2956358100308,5,0
"airfoil_self-noise",48,22.8856170966332,5,0,22.7917325100652,5,0,22.8856764719489,5,0,39.2216587534242,1,0,22.8882169867883,5,0,22.7841894681059,5,0
"airfoil_self-noise",49,22.7834038026664,5,0,22.8555405339113,5,0,22.7840332974334,5,0,39.5431762733183,1,0,22.7787373987069,5,0,22.8676876674328,5,0
"airfoil_self-noise",50,22.6686808798062,5,0,22.6444141870073,5,0,22.6686919018414,5,0,38.8871816650373,1,0,22.6677643746751,5,0,22.6441566583712,5,0
"airfoil_self-noise",51,23.8728685126936,5,0,23.8829262512415,5,0,23.8743731921114,5,0,39.9172116252384,1,0,23.8737067209723,5,0,23.8844102298561,5,0
"airfoil_self-noise",52,23.0142701883698,5,0,22.8676889459963,5,0,23.0143296451997,5,0,42.7089727522131,1,0,23.0138942655148,5,0,22.8648821014626,5,0
"airfoil_self-noise",53,23.6019762546732,5,0,23.5961991729321,5,0,23.6018002793918,5,0,41.4297321292894,1,0,23.6019491293659,5,0,23.5989483077175,5,0
"airfoil_self-noise",54,22.8981816852241,5,0,22.9045759783544,5,0,22.8982463856387,5,0,40.5751885495332,1,0,22.8981816852241,5,0,22.9045924681434,5,0
"airfoil_self-noise",55,23.1902318952705,5,0,23.2707385744181,5,0,23.1900904614644,5,0,39.2523229104338,1,0,23.1902318952705,5,0,23.272761347364,5,0
"airfoil_self-noise",56,22.0922085559908,5,0,22.1348159134653,5,0,22.0897491176977,5,0,39.2707613113219,1,0,22.0922085559907,5,0,22.1363949433739,5,0
"airfoil_self-noise",57,22.0908154667171,5,0,22.0712420584061,5,0,22.0903402627251,5,0,41.1833682916722,1,0,22.0898795914361,5,0,22.0707791805438,5,0
"airfoil_self-noise",58,22.5794755432557,5,0,22.6295801074283,5,0,22.5786860466402,5,0,40.2931448257379,1,0,22.5794755432556,5,0,22.6305674733824,5,0
"airfoil_self-noise",59,22.8262990761732,5,0,22.7093715670564,5,0,22.8247424829119,5,0,39.4546884909232,1,0,22.8317973618515,5,0,22.6996477447842,5,0
"airfoil_self-noise",60,23.4003837174549,5,0,23.1704960271369,5,0,23.3984424397288,5,0,42.7680691854296,1,0,23.400383717455,5,0,23.1667475586048,5,0
"airfoil_self-noise",61,24.2437944497186,5,0,24.1785305029477,5,0,24.2435179325894,5,0,43.4195901050157,1,0,24.2414958479789,5,0,24.1773397023871,5,0
"airfoil_self-noise",62,22.7088693009117,5,0,22.7303839608524,5,0,22.7097408094849,5,0,41.2377677941506,1,0,22.7094225351316,5,0,22.7341783602775,5,0
"airfoil_self-noise",63,22.8570110353592,5,0,22.7128390624654,5,0,22.8581085518653,5,0,40.233292184359,1,0,22.8572902237978,5,0,22.7111479438018,5,0
"airfoil_self-noise",64,23.4915887747051,5,0,23.4215971029244,5,0,23.4924801638402,5,0,40.5771581753573,1,0,23.4915887747051,5,0,23.4043536136938,5,0
"airfoil_self-noise",65,23.1988129081351,5,0,22.8885493288092,5,0,23.2010618316636,5,0,42.3718819417224,1,0,23.1988129081351,5,0,22.8487887951869,5,0
