"dataset","n_features","n_rows"
"ca_housing",0,700
"computer",0,700
"debutanizer",0,700
"diamond",0,700
"elevator",0,700
"energy_efficiency",0,700
"insurance",0,700
"kin8nm",0,700
"miami_housing",0,700
"naval_propulsion",0,700
"protein_structure",0,700
"qsar",0,700
