"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"ca_housing",12,4930062238.09557,7,0,4931892050.65242,7,0,4902716903.24021,8,1,4901552221.6409,8,1,4930267640.70747,7,0,4901384454.25893,8,1
"ca_housing",13,4983422394.15859,7,0,4971306646.13216,7,0,4984986555.37031,7,0,4924998859.98773,8,1,4960070295.82173,7,0,4917346288.41412,8,1
"ca_housing",14,4977581994.4887,7,0,4969438201.32845,7,0,4972264197.40334,8,1,4937709500.01024,8,1,4966154546.1284,7,0,4935592177.83684,8,1
"ca_housing",15,5048316864.0245,7,0,5054912733.70143,7,0,5027147080.92872,8,1,5019484018.7672,8,1,5049460334.08013,7,0,5019310875.41325,8,1
"ca_housing",16,4953762812.41457,7,0,4960374855.49406,7,0,4928957165.60581,8,1,4926130296.85867,8,1,4954839158.5696,7,0,4926130348.86654,8,1
"ca_housing",17,4849513363.77082,7,0,4861349852.09065,7,0,4829691146.42218,8,1,4825672795.32749,8,1,4850274764.39082,7,0,4826073834.76722,8,1
"ca_housing",18,5032080757.29784,7,0,5024297689.26535,7,0,5004595643.46623,8,1,4990334533.01962,8,1,5015046601.71741,7,0,4988163458.43667,8,1
"ca_housing",19,4883490157.91254,7,0,4900716269.22369,7,0,4877425088.45692,8,1,4875959141.27043,8,1,4884075668.86272,7,0,4876429616.21462,8,1
"ca_housing",20,4955044012.48002,7,0,4943212436.55461,7,0,4950218118.64415,8,1,4903356989.21299,8,1,4931863101.83492,7,0,4898503297.92448,8,1
"ca_housing",21,4823630519.6755,7,0,4809928996.47677,7,0,4792964293.43937,8,1,4790602236.80008,8,1,4809328392.69605,7,0,4789331428.4396,8,1
"ca_housing",22,5065955565.29255,7,0,5073017668.71515,7,0,5045285056.80974,8,1,5045353799.33268,8,1,5067273203.65829,7,0,5046226543.05626,8,1
"ca_housing",23,4916046324.97047,7,0,4906875404.67807,7,0,4890798111.20991,8,1,4878618102.41986,8,1,4903164365.97747,7,0,4876642664.76208,8,1
