"","UniLasso (support=3)","Polish (support=4)","Lasso (support=9)","UniReg (support=4)","LS (support=9)"
"UniLasso (support=3)",3,3,3,3,3
"Polish (support=4)",3,4,4,3,4
"Lasso (support=9)",3,4,9,4,9
"UniReg (support=4)",3,3,4,4,4
"LS (support=9)",3,4,9,4,9
