"","UniLasso (support=3)","Polish (support=23)","Lasso (support=23)","UniReg (support=4)","LS (support=23)"
"UniLasso (support=3)",3,3,3,3,3
"Polish (support=23)",3,23,23,4,23
"Lasso (support=23)",3,23,23,4,23
"UniReg (support=4)",3,4,4,4,4
"LS (support=23)",3,23,23,4,23
