"","UniLasso (support=4)","Polish (support=6)","Lasso (support=6)","UniReg (support=4)","LS (support=7)"
"UniLasso (support=4)",4,4,4,4,4
"Polish (support=6)",4,6,6,4,6
"Lasso (support=6)",4,6,6,4,6
"UniReg (support=4)",4,4,4,4,4
"LS (support=7)",4,6,6,4,7
