"","UniLasso (support=13)","Polish (support=14)","Lasso (support=27)","UniReg (support=13)","LS (support=28)"
"UniLasso (support=13)",13,13,13,13,13
"Polish (support=14)",13,14,14,13,14
"Lasso (support=27)",13,14,27,13,27
"UniReg (support=13)",13,13,13,13,13
"LS (support=28)",13,14,27,13,28
