"","UniLasso (support=8)","Polish (support=8)","Lasso (support=8)","UniReg (support=8)","LS (support=8)"
"UniLasso (support=8)",8,8,8,8,8
"Polish (support=8)",8,8,8,8,8
"Lasso (support=8)",8,8,8,8,8
"UniReg (support=8)",8,8,8,8,8
"LS (support=8)",8,8,8,8,8
