"","UniLasso (support=7)","Polish (support=7)","Lasso (support=8)","UniReg (support=7)","LS (support=8)"
"UniLasso (support=7)",7,7,7,7,7
"Polish (support=7)",7,7,7,7,7
"Lasso (support=8)",7,7,8,7,8
"UniReg (support=7)",7,7,7,7,7
"LS (support=8)",7,7,8,7,8
