"","UniLasso (support=11)","Polish (support=12)","Lasso (support=19)","UniReg (support=11)","LS (support=21)"
"UniLasso (support=11)",11,11,11,11,11
"Polish (support=12)",11,12,12,11,12
"Lasso (support=19)",11,12,19,11,19
"UniReg (support=11)",11,11,11,11,11
"LS (support=21)",11,12,19,11,21
