"","UniLasso (support=5)","Polish (support=6)","Lasso (support=5)","UniReg (support=5)","LS (support=9)"
"UniLasso (support=5)",5,5,5,5,5
"Polish (support=6)",5,6,5,5,6
"Lasso (support=5)",5,5,5,5,5
"UniReg (support=5)",5,5,5,5,5
"LS (support=9)",5,6,5,5,9
