"dataset","method","split_id","AT","V","AP","RH"
"powerplant","uni_loo",84,-2.1737778483436,-1.16775907890965,1.50121648052328,0.458530465639132
"powerplant","uni_loo",85,-2.15619719225076,-1.16360266295548,1.49451922205184,0.446488903814315
"powerplant","uni_loo",86,-2.17266644258226,-1.15860575743691,1.4795744922371,0.458108206791682
"powerplant","uni_loo",87,-2.17672801552701,-1.16916219241725,1.53154704661722,0.451844386200582
"powerplant","uni_loo",88,-2.16806679161225,-1.16705370629251,1.49222890549957,0.466723017967884
"powerplant","uni_loo",89,-2.16233295109715,-1.16836123430412,1.45251070064212,0.463119210260321
"powerplant","uni_loo",90,-2.17523249467043,-1.17188447883423,1.50983214172824,0.468064613783831
"powerplant","uni_loo",91,-2.17909845716378,-1.1675047985911,1.51537590734849,0.470647737332905
"powerplant","uni_loo",92,-2.18297234241002,-1.16946539025964,1.44362532101713,0.432290283676011
"powerplant","uni_loo",93,-2.17441623192653,-1.1694163143113,1.48509539720043,0.460109142642352
"powerplant","uni_loo",94,-2.16059889610158,-1.16459721880872,1.49194735414215,0.44654275788955
"powerplant","uni_loo",95,-2.1885659141121,-1.17931284507002,1.46564814213223,0.460076582146377
"powerplant","uni_loo",96,-2.17958913625822,-1.17007776913955,1.47770348451309,0.440915095681901
"powerplant","uni_loo",97,-2.16625187954477,-1.17758799805313,1.50772870845855,0.461820961656554
"powerplant","uni_loo",98,-2.17184245973023,-1.16910558795995,1.53633768222978,0.452059153101538
"powerplant","uni_loo",99,-2.17042285409235,-1.16097347373096,1.44658889147707,0.454126491913104
"powerplant","uni_loo",100,-2.1846710018121,-1.17254361522688,1.50196799952316,0.463572281522662
"powerplant","unilasso_loo_true",1,-1.62540360513668,-0.324270237637666,0.159180782422193,0
"powerplant","unilasso_loo_true",2,-1.6375547707706,-0.325904865241821,0.146101937824896,0
"powerplant","unilasso_loo_true",3,-1.63718326330955,-0.324367948448935,0.165521676291762,0
"powerplant","unilasso_loo_true",4,-1.62902099814095,-0.325817772228453,0.172209708669922,0
"powerplant","unilasso_loo_true",5,-1.62038950887758,-0.34100225110028,0.158248450477659,0
"powerplant","unilasso_loo_true",6,-1.64492443364925,-0.320473572789506,0.154735571849518,0
"powerplant","unilasso_loo_true",7,-1.65840525834627,-0.313987485023316,0.160563361077909,0
"powerplant","unilasso_loo_true",8,-1.62616487338338,-0.328854821466065,0.159011525664968,0
"powerplant","unilasso_loo_true",9,-1.62892363203228,-0.3245899219153,0.159345352333716,0
"powerplant","unilasso_loo_true",10,-1.63597745103461,-0.329354474296235,0.170573304078385,0
"powerplant","unilasso_loo_true",11,-1.63493299623905,-0.324841205698424,0.167070910596739,0
"powerplant","unilasso_loo_true",12,-1.61982736275185,-0.330829790850964,0.164168953918768,0
"powerplant","unilasso_loo_true",13,-1.63798436484844,-0.326694609848028,0.154388472346735,0
"powerplant","unilasso_loo_true",14,-1.63095375716775,-0.329717437758357,0.155961944492516,0
"powerplant","unilasso_loo_true",15,-1.63560542864826,-0.32112426322874,0.164870487104113,0
"powerplant","unilasso_loo_true",16,-1.63622829165431,-0.325269037765511,0.162280802276817,0
"powerplant","unilasso_loo_true",17,-1.64062068563991,-0.334583966934953,0.157326518860021,0
"powerplant","unilasso_loo_true",18,-1.65515235969751,-0.318690689177115,0.14929155261385,0
"powerplant","unilasso_loo_true",19,-1.63347834646011,-0.327063456316751,0.146419126541375,0
"powerplant","unilasso_loo_true",20,-1.64750985545282,-0.318765204562394,0.167449817682632,0
"powerplant","unilasso_loo_true",21,-1.63803017254538,-0.3261211915344,0.144592857588306,0
"powerplant","unilasso_loo_true",22,-1.62406829817583,-0.33310961311249,0.148772142670955,0
"powerplant","unilasso_loo_true",23,-1.61983810770183,-0.333830512243537,0.147167311251308,0
"powerplant","unilasso_loo_true",24,-1.61158190560305,-0.332931848295259,0.170845680049447,0
"powerplant","unilasso_loo_true",25,-1.65394228120579,-0.322854904989099,0.148523692057697,0
"powerplant","unilasso_loo_true",26,-1.61976195603062,-0.328869816097022,0.157949608071362,0
"powerplant","unilasso_loo_true",27,-1.62882237432999,-0.331690578115405,0.151124745257985,0
"powerplant","unilasso_loo_true",28,-1.64064396757619,-0.322547503824932,0.141631868832157,0
"powerplant","unilasso_loo_true",29,-1.62997364996948,-0.328846043901661,0.137125273983699,0
"powerplant","unilasso_loo_true",30,-1.63225796019997,-0.326058205719898,0.163865056499014,0
"powerplant","unilasso_loo_true",31,-1.62494801827492,-0.334246489428284,0.15065357197521,0
"powerplant","unilasso_loo_true",32,-1.64620442564721,-0.325678452096018,0.150967087624771,0
"powerplant","unilasso_loo_true",33,-1.64704483505871,-0.323399087562245,0.154620379137442,0
"powerplant","unilasso_loo_true",34,-1.63920636886676,-0.319860334032344,0.177046113872028,0
"powerplant","unilasso_loo_true",35,-1.64278777406982,-0.325914438427369,0.152427642093841,0
"powerplant","unilasso_loo_true",36,-1.63547227777012,-0.32457109680043,0.180398268586347,0
"powerplant","unilasso_loo_true",37,-1.66862333011424,-0.315002098035693,0.149522589368679,0
"powerplant","unilasso_loo_true",38,-1.62150895797944,-0.33686039376076,0.160255478017841,0
"powerplant","unilasso_loo_true",39,-1.62624607601451,-0.331113977439701,0.166604021542852,0
"powerplant","unilasso_loo_true",40,-1.63101594118363,-0.326101060488474,0.153883350911808,0
"powerplant","unilasso_loo_true",41,-1.62359521800471,-0.335891067303909,0.169905063883896,0
"powerplant","unilasso_loo_true",42,-1.64867496420982,-0.323061814149057,0.138399753756039,0
"powerplant","unilasso_loo_true",43,-1.67034267254937,-0.315371041859376,0.136428567827784,0
"powerplant","unilasso_loo_true",44,-1.6612667145631,-0.311097094937976,0.159571089230971,0
"powerplant","unilasso_loo_true",45,-1.63102248261457,-0.327638855748403,0.158561759556185,0
"powerplant","unilasso_loo_true",46,-1.62817268371744,-0.335127772071554,0.158554705522042,0
"powerplant","unilasso_loo_true",47,-1.64992796433926,-0.318034015862537,0.168848888708287,0
