"dataset","method","split_id","Lever_position","Gas_Turbine_shaft_torque","Gas_Turbine_rate_of_revolutions","Gas_Generator_rate_of_revolutions","Starboard_Propeller_Torque","Port_Propeller_Torque","HP_Turbine_exit_temperature","GT_Compressor_inlet_air_temperature","GT_Compressor_outlet_air_temperature","HP_Turbine_exit_pressure","GT_Compressor_inlet_air_pressure","GT_Compressor_outlet_air_pressure","Gas_Turbine_exhaust_gas_pressure","Turbine_Injection_Control","GT_Compressor_decay_state_coefficient","GT_Turbine_decay_state_coefficient","Ship_speed_6.0","Ship_speed_9.0","Ship_speed_12.0","Ship_speed_15.0","Ship_speed_18.0","Ship_speed_21.0","Ship_speed_24.0","Ship_speed_27.0"
"naval_propulsion","least_squares",80,0.161531146675464,8.44559004068904e-06,0.000212216417307586,-2.77212267476531e-05,0.000259359312381056,NA,0.00153103688496642,NA,-0.00199719616576359,-0.956632507177772,NA,0.116279276039918,-0.191503247924212,0.000617361387708566,-0.0503766618141217,1.07981523996342,-0.138412003708428,-0.276197504329633,-0.368005257961694,-0.396816151800268,-0.433200998764462,-0.429618567742777,-0.31683365077661,NA
"naval_propulsion","least_squares",81,0.159056433852714,9.1520395737655e-06,0.000214437302170985,-2.7358536126381e-05,0.000281148848746392,NA,0.00152642719948219,NA,-0.00205424723422854,-0.971195133066991,NA,0.117115469567596,-0.177125418895402,0.000622778963478931,-0.0625642528966319,1.07047741838984,-0.136539887227832,-0.272957989859798,-0.364051947544252,-0.391491697055419,-0.427239437544229,-0.424316000964702,-0.311560171069377,NA
"naval_propulsion","least_squares",82,0.152802428271455,9.34532391987368e-06,0.000221473816226606,-2.63832843103674e-05,0.000304713897291718,NA,0.00151003428268424,NA,-0.00199767266057635,-0.971361687332214,NA,0.116988943637069,-0.166190600397732,0.000658029809000562,-0.0552531189313515,1.06228117590173,-0.131636382126338,-0.263517563927065,-0.353133994125553,-0.381191215068782,-0.417350231984374,-0.41551839469985,-0.304949639034487,NA
"naval_propulsion","least_squares",83,0.153149290332034,9.02747113692332e-06,0.000214696797494124,-2.56295078037007e-05,0.000324000139808886,NA,0.00151398730705347,NA,-0.00197444802995869,-0.965795420327323,NA,0.116647480564009,-0.177917124551081,0.000655160513900449,-0.0477743334178944,1.06703743555402,-0.132345988149856,-0.265136242832446,-0.355294193939997,-0.383226247575859,-0.418694493166182,-0.416110172940588,-0.305159171140562,NA
"naval_propulsion","least_squares",84,0.159851155392565,8.66675026285135e-06,0.000216726140206358,-2.72584175868109e-05,0.000272234031494807,NA,0.0015297654322918,NA,-0.00201614380919723,-0.964591042460551,NA,0.116798067098291,-0.171458416133435,0.000629388391591819,-0.0526774834789089,1.07750082282741,-0.137090504390841,-0.273588020748116,-0.364933473902695,-0.393741699434689,-0.430234071347571,-0.427177909247352,-0.314638829447767,NA
"naval_propulsion","least_squares",85,0.161074035480237,8.97919321423136e-06,0.000208119091615706,-2.70453748343489e-05,0.00028123335907471,NA,0.00152729336335669,NA,-0.00203108280880251,-0.971967516694586,NA,0.11745948550187,-0.159555822874399,0.000612348882484182,-0.0573865511194342,1.07615707020346,-0.138571289038188,-0.27693912633688,-0.369106660451763,-0.396341500405339,-0.43159785900365,-0.42783416177881,-0.314126327463795,NA
"naval_propulsion","least_squares",86,0.157004295516102,8.95967075836257e-06,0.000207005591715639,-2.56737510469808e-05,0.0002967387654046,NA,0.00151220936291529,NA,-0.00195723332979619,-0.96229875910643,NA,0.116366550521372,-0.200713961980093,0.000635654278645074,-0.0456070943473551,1.06459900750098,-0.135588630375878,-0.271531462215591,-0.363214676729622,-0.390863154255564,-0.425925051899304,-0.422220638531459,-0.309877512731387,NA
"naval_propulsion","least_squares",87,0.156368769403203,8.90281979105499e-06,0.000210350825498078,-2.53833365150448e-05,0.000292687781066118,NA,0.00151131211459408,NA,-0.00194572359697332,-0.962919921873813,NA,0.116569369641981,-0.212684051700211,0.000643426388650518,-0.0421909174614294,1.06811296617487,-0.134961120393434,-0.270228481517419,-0.361838140973343,-0.39019567421333,-0.425657295535689,-0.422198549813262,-0.310163521492402,NA
"naval_propulsion","least_squares",88,0.157532994597748,9.3228292554753e-06,0.000208911949754,-2.5856605480742e-05,0.000287844977073272,NA,0.0015133673416915,NA,-0.00200678716912772,-0.970269629897393,NA,0.116922418792905,-0.1761754595823,0.000627709126602871,-0.0563928573065959,1.06114828307862,-0.135859521494145,-0.272037597086138,-0.363747310904476,-0.390876093089929,-0.425849579822087,-0.422486798872545,-0.309677275783826,NA
"naval_propulsion","least_squares",89,0.157621612680961,9.15763548956664e-06,0.000212798316573956,-2.60118768871577e-05,0.000278138728101317,NA,0.0015133954405661,NA,-0.00198516153457577,-0.968798866784008,NA,0.116762660080278,-0.151601780376482,0.000640673256034175,-0.0508483523160264,1.06191487318541,-0.135772612280884,-0.271551321126315,-0.363094735494216,-0.391097643924634,-0.42676428248762,-0.42354920325595,-0.311062125085577,NA
"naval_propulsion","least_squares",90,0.15644031167014,9.25637200030206e-06,0.000212368901860325,-2.56117142154427e-05,0.000305657991218329,NA,0.00151919590857825,NA,-0.00202004054231348,-0.973021459893919,NA,0.116982747596424,-0.148948883769873,0.000638404847612041,-0.0545056074687412,1.0640552160401,-0.134987863502656,-0.270270458873909,-0.361478072885538,-0.388776758383652,-0.423945733822398,-0.420904020165694,-0.308308161892588,NA
"naval_propulsion","least_squares",91,0.158121883470449,8.66155056147057e-06,0.000214343955928913,-2.69287409691644e-05,0.000295375894627059,NA,0.00152968228893171,NA,-0.0020106630553405,-0.963712893779402,NA,0.116691181482279,-0.125197575981456,0.000631491810353409,-0.0530657466292746,1.07599056375697,-0.135936171910285,-0.271612220025124,-0.362591855887784,-0.39093004311587,-0.426912847559152,-0.423910519721741,-0.311771165017557,NA
"naval_propulsion","least_squares",92,0.16294565712235,7.9859026222877e-06,0.000212170692933033,-2.85888226048729e-05,0.00028021922418477,NA,0.0015540403794478,NA,-0.00206361241613682,-0.95263520315163,NA,0.116153429636334,-0.139024451253437,0.000608359702831744,-0.0590090564488211,1.08749796303348,-0.139459744482444,-0.277672317907273,-0.369005385773175,-0.397769729965066,-0.434072958044775,-0.430594236522259,-0.317539727131242,NA
