"dataset","method","split_id","theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8"
"kin8nm","uni_loo",47,-0.0427565894011835,-0.0250503356746221,-0.147188351344824,-0.0228601771038091,0.0657216307059032,-0.0402493479498565,-0.0378313535223002,0.021104842136951
"kin8nm","uni_loo",48,-0.0447771311887528,-0.0200036285626244,-0.153690787150735,-0.0311238025165984,0.070988616374075,-0.0421034521101575,-0.0377608326039455,0.0209188089443045
"kin8nm","uni_loo",49,-0.0344761241879023,-0.0209884687262723,-0.151200089651133,-0.0271586666804166,0.0691137001866853,-0.0370712888368093,-0.0398012020803662,0.0227793951676821
"kin8nm","uni_loo",50,-0.0423167846581656,-0.0286781735644538,-0.15368630591655,-0.0313507403017229,0.0608083481023856,-0.0456989710078231,-0.0369990306822866,0.0217965581582665
"kin8nm","uni_loo",51,-0.0424335775091898,-0.0236813732889086,-0.152570560224109,-0.0238934947338149,0.0688974107905564,-0.0403352407161659,-0.0416854867667629,0.0187441946140927
"kin8nm","uni_loo",52,-0.0442283910176661,-0.0229208730707883,-0.153325662960477,-0.0243491019898919,0.062602345742819,-0.040187666814725,-0.0400642362423597,0.0220752853544119
"kin8nm","uni_loo",53,-0.0369916824188593,-0.0230203255658975,-0.156121673995401,-0.021951822199098,0.071077912998086,-0.0397116299104684,-0.0367950910661908,0.0229839936059457
"kin8nm","uni_loo",54,-0.0427329672695555,-0.0248909248609626,-0.154319507825654,-0.0305049929945497,0.065384564476001,-0.0388385071217191,-0.0435324261168439,0.0226551736551785
"kin8nm","uni_loo",55,-0.0451069389790374,-0.0221442672767039,-0.150630180144973,-0.0256457749853286,0.0689887918817241,-0.0426623674125486,-0.035546594928809,0.023689638390621
"kin8nm","uni_loo",56,-0.040424827109705,-0.0241329125104816,-0.151116599150302,-0.0245816720106809,0.0722552420930772,-0.0417628253229197,-0.0365953714237674,0.0240839225357296
"kin8nm","uni_loo",57,-0.0440415728995137,-0.0281805828323183,-0.15460387272153,-0.0273631318822506,0.0706423143064993,-0.0422853709069427,-0.0404918364098946,0.0228052295987834
"kin8nm","uni_loo",58,-0.0419874586617761,-0.0320436362786414,-0.155130166770653,-0.0235898077473127,0.0724520414182573,-0.0393396511443706,-0.0374216232502527,0.0220440588106306
"kin8nm","uni_loo",59,-0.0434471865858879,-0.0235023000837163,-0.154832244939361,-0.0274853389708979,0.0694702020263419,-0.0424048855018845,-0.03760288785934,0.0202546366768175
"kin8nm","uni_loo",60,-0.0459544583479058,-0.0205540184676122,-0.154495532276889,-0.024766885298375,0.067146015928551,-0.0402658936868167,-0.0401592104623285,0.0207011381115363
"kin8nm","uni_loo",61,-0.0431641041993587,-0.0246014759987251,-0.152968750463889,-0.0253188238493373,0.0675128963182204,-0.0398340332845884,-0.0415350066904189,0.0253279758980619
"kin8nm","uni_loo",62,-0.0403404441176954,-0.0204416949911318,-0.152747867239578,-0.0262842034705263,0.0639757519075278,-0.0426022864542813,-0.0452613138434454,0.0214391444090896
"kin8nm","uni_loo",63,-0.0417696861325915,-0.0307175455020576,-0.154789923683574,-0.0223192032215964,0.0676594613023876,-0.0392924645099195,-0.0399362535263036,0.0213116340328857
"kin8nm","uni_loo",64,-0.0373241589093075,-0.022833453898079,-0.15323194094667,-0.0273392973414239,0.0735494553657372,-0.040374764691086,-0.0408504473244061,0.0251221169021647
"kin8nm","uni_loo",65,-0.0443989015534835,-0.022991346401506,-0.147166716005029,-0.0290969772143554,0.0705498253435846,-0.039178679722792,-0.0351132879878664,0.0255557031730256
"kin8nm","uni_loo",66,-0.0436332281430833,-0.0280400636973452,-0.152780527384027,-0.0255147706521545,0.0660892897516603,-0.0437006810388119,-0.0358782973107514,0.0238491984068471
"kin8nm","uni_loo",67,-0.0399024911741899,-0.027480010868766,-0.15144545712884,-0.0278441875189557,0.0704449679947254,-0.0350427545910077,-0.0370096290080414,0.0284532152883891
"kin8nm","uni_loo",68,-0.0467418231564406,-0.0222584299259227,-0.15189917184324,-0.0241784638767145,0.0704065436750325,-0.0423098176363354,-0.0359153251631925,0.0284788112052938
"kin8nm","uni_loo",69,-0.0453431005084015,-0.0210096284138561,-0.149337791451574,-0.027989589109072,0.0689706520358417,-0.0380698280148682,-0.0405368506456071,0.01999721128422
"kin8nm","uni_loo",70,-0.0440529648821119,-0.0232000798810531,-0.153230077524783,-0.0299790831988391,0.0678949602570289,-0.0453665871151182,-0.0385077755862895,0.0173795694746148
"kin8nm","uni_loo",71,-0.0369680055723476,-0.0214209298196626,-0.155900152896946,-0.0230293550909529,0.0627063758020462,-0.0436679675926313,-0.0422502641953564,0.0242337950880753
"kin8nm","uni_loo",72,-0.0397984179673188,-0.0208364810669544,-0.151234085924323,-0.030020122473707,0.0689228257626762,-0.0418343797436879,-0.0355034925459217,0.0234310805919749
"kin8nm","uni_loo",73,-0.0429876382936443,-0.0277108517457174,-0.153242821720635,-0.0188286250092775,0.0673341491953954,-0.0382902637948506,-0.0380804478748174,0.0221467660655027
"kin8nm","uni_loo",74,-0.0421605888631395,-0.0259586365217043,-0.154158925428215,-0.0273729251861792,0.0695715466969803,-0.0426269524312855,-0.044947519455804,0.0205048279775976
"kin8nm","uni_loo",75,-0.0439596477119084,-0.0242743842097313,-0.153494747323114,-0.0283833484941227,0.069538482164244,-0.0391090661479861,-0.0338770920043841,0.0203745175094338
"kin8nm","uni_loo",76,-0.0423923682132267,-0.0189969416505366,-0.151596202696175,-0.0238828405260874,0.0693793367311196,-0.0326594497782234,-0.040885736322357,0.0273131816587129
"kin8nm","uni_loo",77,-0.0413776468283559,-0.0226117418268404,-0.155202346032569,-0.0292890878574552,0.0681382681216698,-0.0363404525506214,-0.0399058496724196,0.0194324682445624
"kin8nm","uni_loo",78,-0.0409363895330261,-0.0238334268067087,-0.152012892674139,-0.0256809536801474,0.0702246267830653,-0.0372978433175268,-0.040872901055565,0.0213339506116522
"kin8nm","uni_loo",79,-0.0468728365037783,-0.0282261814235923,-0.152306910161419,-0.0296334888736744,0.0703730373198408,-0.0404770654126607,-0.0391724605556985,0.0224640428656119
"kin8nm","uni_loo",80,-0.0385713569400003,-0.017698306224469,-0.148923367867154,-0.02574168452139,0.0760389134555566,-0.0365906535376597,-0.0342491296572882,0.029611033509462
"kin8nm","uni_loo",81,-0.0415512723671214,-0.0267530427333953,-0.157658355831802,-0.02766026640511,0.0662911748880547,-0.0447743751496897,-0.0423831704486784,0.0207076383366586
"kin8nm","uni_loo",82,-0.0475219223423425,-0.0194846868254651,-0.150451481289477,-0.0193720325962928,0.0664984294185649,-0.0383907472482217,-0.0414052948989148,0.0203452081641521
"kin8nm","uni_loo",83,-0.0429820398953545,-0.0232594167435787,-0.15339229879819,-0.0240852230165042,0.0648152714320277,-0.0401637710954973,-0.0387611587806728,0.0152172984734193
"kin8nm","uni_loo",84,-0.0394078953139868,-0.0180294523397374,-0.151613478080243,-0.0240597161255504,0.0606497015350537,-0.0405246306506952,-0.0367402188806957,0.0195877298053041
"kin8nm","uni_loo",85,-0.0459411757185822,-0.030202093600055,-0.14998250684437,-0.0319475691942307,0.073805581162339,-0.0392876179886385,-0.0426191653620896,0.0219484150750044
"kin8nm","uni_loo",86,-0.0398289038855892,-0.019277436465886,-0.155089046121204,-0.0302172137808587,0.0707909493773953,-0.0376267543235812,-0.0416803766278737,0.0303798717812365
"kin8nm","uni_loo",87,-0.0426275432657813,-0.0278453600252735,-0.152470490086268,-0.0240177542287383,0.0710742089534047,-0.0431537954157183,-0.0399089634145281,0.0193531384302662
"kin8nm","uni_loo",88,-0.0381616388148514,-0.0221539417861374,-0.155603826790135,-0.0253632090387363,0.0693169554637222,-0.0381683746017492,-0.0420484267567153,0.0207889145679409
"kin8nm","uni_loo",89,-0.0397690059763723,-0.0226918313124687,-0.155665906641563,-0.0308161964251881,0.0715048907747194,-0.0470018410472767,-0.0374726366067858,0.014039079988839
"kin8nm","uni_loo",90,-0.0417413279521287,-0.0233344363595838,-0.154307887174211,-0.0238228097162022,0.0699837049874467,-0.0378273517738318,-0.0406140123456229,0.0217513309862441
"kin8nm","uni_loo",91,-0.0403857269182056,-0.0206044322279635,-0.151752219202615,-0.0271095762888797,0.0681896058558562,-0.0421243401451748,-0.0390402403864238,0.0300792173913487
"kin8nm","uni_loo",92,-0.0397797833568928,-0.0239879992879661,-0.152815780375475,-0.0255935998171113,0.0650241382957593,-0.0426270555633761,-0.0403159815679522,0.0231275292085179
"kin8nm","uni_loo",93,-0.0392541935901133,-0.0253490996520296,-0.149208156433166,-0.0227407236682971,0.067931487335126,-0.0404442829312061,-0.0383528893283812,0.0244175279501492
"kin8nm","uni_loo",94,-0.039584621031606,-0.0304193845555142,-0.152972360396532,-0.0268817291502093,0.0675549288855617,-0.0457611182938429,-0.0342776986447961,0.0240091417474686
"kin8nm","uni_loo",95,-0.040253494983789,-0.0270549757850134,-0.15206761324191,-0.0219239116298491,0.0712319358549187,-0.0419805229200341,-0.0370741300318107,0.0244186413486679
"kin8nm","uni_loo",96,-0.0390867341384473,-0.0208551128766844,-0.152034020874247,-0.0266576202177693,0.0689503685886197,-0.0449454735464054,-0.0399584583121849,0.0249697769904662
"kin8nm","uni_loo",97,-0.0420878370961767,-0.0220753342270752,-0.153995625003965,-0.0218087618149289,0.0679133172688544,-0.0404023736756986,-0.0401404029678232,0.0263947331570002
"kin8nm","uni_loo",98,-0.0384172448917677,-0.0239555807447642,-0.154432660545505,-0.0294876056984099,0.0729969254082725,-0.043260404132409,-0.0433222350664807,0.0231077934960802
"kin8nm","uni_loo",99,-0.0477475629681751,-0.0225157262656092,-0.15616591147498,-0.0184731029449016,0.071207303793216,-0.0413490247539718,-0.0314812489898149,0.026496200354001
"kin8nm","uni_loo",100,-0.0418767555631475,-0.0244484530847598,-0.153921520617981,-0.0240513233761523,0.0710976609261832,-0.0371339834740262,-0.0388208626309332,0.023898954809653
"kin8nm","unilasso_loo_true",1,-0.0440676141330618,-0.0233355968867277,-0.150802923982501,-0.0237819086144361,0.0700555393840969,-0.041145262528698,-0.0354448250502471,0.0137653370860789
"kin8nm","unilasso_loo_true",2,-0.0422552767706871,-0.0241320542089517,-0.154050234308872,-0.0267392659312617,0.0709306390529232,-0.0400544282668798,-0.0390453206620088,0.0176732667053156
"kin8nm","unilasso_loo_true",3,-0.0400842774108719,-0.0258693504105585,-0.154441310608222,-0.0235808233749961,0.0699505908621321,-0.0368219499854571,-0.0346310115183237,0.0199581463834437
"kin8nm","unilasso_loo_true",4,-0.0366554121691788,-0.0263755879331412,-0.156051217534971,-0.0218464709099556,0.0666561275634236,-0.035718998127124,-0.0399389176518435,0.0157820758646761
"kin8nm","unilasso_loo_true",5,-0.0388468012025215,-0.0233935497962432,-0.156616779790207,-0.0242269211333409,0.0705031272862412,-0.0369808216916811,-0.0413429750932387,0.00917582527913653
"kin8nm","unilasso_loo_true",6,-0.0427437481662385,-0.0272077086655998,-0.157307578357709,-0.0277838910787561,0.0744463801276703,-0.0400039193103637,-0.0415044025615376,0.0247819793882718
"kin8nm","unilasso_loo_true",7,-0.0430040969613424,-0.0194377393507634,-0.152430047701421,-0.0229844442402325,0.0715266579341714,-0.0423228278731419,-0.0451916223425304,0.0175125257698234
"kin8nm","unilasso_loo_true",8,-0.0413467596881869,-0.0273198550487146,-0.157730646387939,-0.0283545310469689,0.068500611123612,-0.0396432221088472,-0.0407856022093476,0.0201596400259353
"kin8nm","unilasso_loo_true",9,-0.0453496799425296,-0.0194047219507451,-0.155654204063987,-0.0179304962452374,0.0732718680390113,-0.0407045571037551,-0.0389651316646572,0.0196834764986321
"kin8nm","unilasso_loo_true",10,-0.0402063752455341,-0.0204325409640582,-0.148388280519138,-0.0267902857592038,0.0758147383700722,-0.0395626524841964,-0.0368109652241909,0.0215718699508572
"kin8nm","unilasso_loo_true",11,-0.0443832941645441,-0.0225856515127845,-0.152644992558624,-0.0246566556680876,0.0676449599542356,-0.0359314470397973,-0.0390056865259364,0.0182594910480774
"kin8nm","unilasso_loo_true",12,-0.0378531219259531,-0.0201201757027366,-0.151173176530426,-0.0208825746244755,0.0749425338160592,-0.0363970019502761,-0.0360492767595725,0.0197078684426411
"kin8nm","unilasso_loo_true",13,-0.0423564178425785,-0.0236561590011224,-0.157348967271935,-0.0240021651596904,0.0719288620452971,-0.0431344376612226,-0.0445288842740107,0.0148535613485683
"kin8nm","unilasso_loo_true",14,-0.0398843789659357,-0.0293517503401283,-0.15393721421492,-0.0226580562990542,0.0700500479389523,-0.0438076136543516,-0.040393465385515,0.0227833034921888
"kin8nm","unilasso_loo_true",15,-0.0410207730487398,-0.024596929504346,-0.153574794997001,-0.0231576854752804,0.0708059928439858,-0.0398471630914386,-0.0401229590396919,0.0208631591101532
"kin8nm","unilasso_loo_true",16,-0.0405202194971088,-0.0222726102120194,-0.154103893622637,-0.0234189734622874,0.0698310034414562,-0.0423317001744696,-0.0400400106192243,0.0160032834357806
"kin8nm","unilasso_loo_true",17,-0.0420022435089857,-0.0222102109876354,-0.15556440478427,-0.0224194815426585,0.074621122291775,-0.042969273719173,-0.0390664628968025,0.0216556698237551
"kin8nm","unilasso_loo_true",18,-0.0434940383410572,-0.021374394883607,-0.156189886428045,-0.0198343988002768,0.0729990294401636,-0.0366638117332127,-0.0395025722899462,0.0193909459292114
"kin8nm","unilasso_loo_true",19,-0.0430465270800997,-0.0290754427753056,-0.154291363680608,-0.0230328856111746,0.0710805048704022,-0.0377541890127926,-0.0356679829856063,0.019545421330261
"kin8nm","unilasso_loo_true",20,-0.0397597623112189,-0.0212108456778866,-0.151809713066222,-0.0250446437559733,0.0703735524986605,-0.0393754650969177,-0.0354353174400188,0.0159174982091414
"kin8nm","unilasso_loo_true",21,-0.0430141258476909,-0.0222494845951528,-0.157872863268064,-0.0249035015450632,0.074045608704449,-0.041929206712582,-0.0397597027776796,0.0203770029305673
"kin8nm","unilasso_loo_true",22,-0.0357784617356499,-0.0262888127897854,-0.153755168682828,-0.0256674171355366,0.0728421384610299,-0.0368557803728193,-0.0385057533716422,0.0235181759818744
"kin8nm","unilasso_loo_true",23,-0.03620214294934,-0.0231164430818771,-0.156381081307745,-0.0189437723495386,0.0736885342328976,-0.0406858123459682,-0.0401679159860071,0.0211916182303531
"kin8nm","unilasso_loo_true",24,-0.0441047640696859,-0.0263294442484336,-0.155904158054409,-0.0227704683639856,0.0738024523088853,-0.0418438369255022,-0.0423650319483297,0.0209323484848551
"kin8nm","unilasso_loo_true",25,-0.0408267019608215,-0.0223130625535149,-0.156986112728527,-0.0243032568454475,0.072272070248824,-0.0415107774025459,-0.0388566388005727,0.0229122748595186
"kin8nm","unilasso_loo_true",26,-0.0467765449765368,-0.0284162148520733,-0.158070039335599,-0.0213870868190483,0.0707440506999006,-0.0406188444649516,-0.0374139937747673,0.0173201508336257
"kin8nm","unilasso_loo_true",27,-0.0379386820666104,-0.0266318530603578,-0.150185679082156,-0.02567217001503,0.0648575591847785,-0.0424867128633481,-0.0366815013951126,0.0177859568519565
"kin8nm","unilasso_loo_true",28,-0.038582907145919,-0.0268502256379655,-0.154171976107916,-0.0215124567817725,0.0734996605517687,-0.035727855127331,-0.0422200232422994,0.0182701095820005
"kin8nm","unilasso_loo_true",29,-0.0387227240878177,-0.0251888043986363,-0.157152504002087,-0.0277297160043142,0.0706870420855261,-0.0360208864266061,-0.0398840983925139,0.0144068416922888
"kin8nm","unilasso_loo_true",30,-0.0371749790837099,-0.0268817317401924,-0.161271292744816,-0.0246522965630604,0.0729460754978824,-0.0368912520051351,-0.040396864053139,0.0208302589925525
"kin8nm","unilasso_loo_true",31,-0.0445056963415997,-0.0184541908883895,-0.153630745718628,-0.0280540191673116,0.0736481803543719,-0.0394810935892069,-0.0439243168801709,0.0213118698697674
"kin8nm","unilasso_loo_true",32,-0.0410544322057114,-0.0247815835122101,-0.154872729502555,-0.0278358737398456,0.0666054367063864,-0.0390847620063995,-0.0421275466321062,0.0162015605099925
"kin8nm","unilasso_loo_true",33,-0.0362793687667386,-0.027342046102884,-0.154945556294996,-0.0298830524076879,0.0737145607058614,-0.040173657287439,-0.0404878967821126,0.0205000319299298
"kin8nm","unilasso_loo_true",34,-0.0392845693318563,-0.0274514086329693,-0.153037697575844,-0.0265649711393689,0.0745687406860358,-0.0408191943299198,-0.0436325749860256,0.021763401614561
"kin8nm","unilasso_loo_true",35,-0.0454381947726466,-0.0260328290183952,-0.15133027566668,-0.0205266582310881,0.0677271063363794,-0.0436147955323176,-0.0418833921924309,0.0173321789285164
"kin8nm","unilasso_loo_true",36,-0.0398384729024798,-0.0210226166649574,-0.156990844098788,-0.0271734572882444,0.0677302776346041,-0.0392697610084745,-0.0396559082880728,0.0207911630651685
"kin8nm","unilasso_loo_true",37,-0.0388173600551712,-0.022878030035328,-0.157630763476942,-0.0264925312868699,0.0738502577311834,-0.0446841922782541,-0.0419029440332646,0.0151901125514737
"kin8nm","unilasso_loo_true",38,-0.0414131612587116,-0.0197094537405013,-0.153255105898504,-0.0215605088687329,0.0685221093157072,-0.0403251249301165,-0.0348705705607926,0.0211262450885425
"kin8nm","unilasso_loo_true",39,-0.0383962839178992,-0.0182794028487186,-0.155277554436537,-0.0278139056304439,0.0719260487031217,-0.0394274117043425,-0.0413795562693128,0.0182168410937074
"kin8nm","unilasso_loo_true",40,-0.041979736719262,-0.0277647559024379,-0.155397977982506,-0.0255311322224313,0.0721718170201849,-0.0434636205020721,-0.042225938046252,0.0216598186060451
"kin8nm","unilasso_loo_true",41,-0.0412524129303878,-0.0236693518072162,-0.151476433252752,-0.0227977026356245,0.0646133292613137,-0.03747236283869,-0.0417113292833996,0.0180137737080319
"kin8nm","unilasso_loo_true",42,-0.040796829415411,-0.0256781253801938,-0.155038374085853,-0.0254945813584007,0.0737594560593986,-0.0411669066106953,-0.0400104121192445,0.0202342463177871
"kin8nm","unilasso_loo_true",43,-0.0381635592961011,-0.0215997024433131,-0.152824202335968,-0.0260617374054621,0.0722633661457107,-0.0402377918328605,-0.0413799496895777,0.0210308982437732
"kin8nm","unilasso_loo_true",44,-0.0431030752633291,-0.0271645092877302,-0.156051828806044,-0.0214404060688394,0.0698026079734243,-0.0416067252355493,-0.0414832241417706,0.0208047508258526
"kin8nm","unilasso_loo_true",45,-0.036520042554075,-0.0248139824215937,-0.153604818026554,-0.0226059932169547,0.0688413853058878,-0.0446084260878436,-0.0406767861342164,0.0196443245508688
"kin8nm","unilasso_loo_true",46,-0.0397530192864365,-0.0222404058592135,-0.154820249793849,-0.0255581675121337,0.0734322476324187,-0.0332843821215274,-0.0401446443665786,0.0181161239844289
"kin8nm","unilasso_loo_true",47,-0.0418812438491515,-0.0255572472941503,-0.151344905403192,-0.023679517597543,0.0705556496863471,-0.0417778284005843,-0.0409820481665589,0.0179641706093136
"kin8nm","unilasso_loo_true",48,-0.0430431217545541,-0.0253117722491385,-0.15415454917897,-0.0267871553804035,0.0699452926429196,-0.0414095123881307,-0.038593653499939,0.0172643002217219
"kin8nm","unilasso_loo_true",49,-0.0382485929713722,-0.023799724886593,-0.15570865454638,-0.0260143695286683,0.0747268055974144,-0.0368501215715766,-0.0407586997307105,0.0190437682298908
