"dataset","method","split_id","Cement","Blast.Furnace.Slag","Fly.Ash","Water","Superplasticizer","Coarse.Aggregate","Fine.Aggregate","Age"
"concrete","uni_loo",1,0.0816215161806196,0.023894527043201,-0.0207807568181928,-0.253199911931653,1.0269353454843,-0.0304432772113375,-0.040027112863986,0.0893995880337508
"concrete","uni_loo",2,0.0793501390242003,0.0312818085012018,-0.0298824515962533,-0.240218563938836,1.02415556969016,-0.0355286519549429,-0.0371868280779366,0.0896667619487563
"concrete","uni_loo",3,0.0859720706724618,0.0253544453136319,-0.0303820593190298,-0.22092144388664,0.964880718871458,-0.0235526902080284,-0.0489074988648329,0.0922091108692125
"concrete","uni_loo",4,0.0755927973688326,0.0333146507818427,-0.0389150006065541,-0.201137494036903,0.905493127756923,-0.0278741543162722,-0.0343087965898082,0.0795055359779957
"concrete","uni_loo",5,0.0820641917429092,0.0349964937608348,-0.0322950794391289,-0.251206913821785,1.03667079748035,-0.0292780042821752,-0.0406610367670073,0.0790166314152484
"concrete","uni_loo",6,0.0765756949370495,0.0197616250769437,-0.0321792917855289,-0.210591464409549,0.878095075253641,-0.0270545519838697,-0.0322883143913427,0.0847702004096987
"concrete","uni_loo",7,0.0823745515432853,0.0192444457113764,-0.0211206249874718,-0.221523401043157,1.05710878209586,-0.0497636856812712,-0.0331966446270217,0.0857455032860459
"concrete","uni_loo",8,0.0775609551296564,0.0194113165542201,-0.0234925023889211,-0.225072203413021,0.919095167896075,-0.0291825575865223,-0.0247568651048424,0.076275614300046
"concrete","uni_loo",9,0.0698384433517445,0.0251733237902182,-0.027458608796759,-0.191400891169278,0.919822821068761,-0.0227959178790775,-0.0331351528087147,0.080267390782345
"concrete","uni_loo",10,0.075892128025036,0.014279742738799,-0.0223606017943243,-0.196811931446991,0.908348647712552,-0.0214839650551538,-0.0379772862253458,0.0710232717471316
"concrete","uni_loo",11,0.0761678458623688,0.0315912109581159,-0.029068585821478,-0.226140401461745,0.990235412032451,-0.0269098417321236,-0.043726818547283,0.0945408988133063
"concrete","uni_loo",12,0.0838216111647508,0.0265573354325752,-0.030084480706828,-0.238617220188526,1.07512198136921,-0.0325467095278598,-0.0326782409434252,0.09066464171082
"concrete","uni_loo",13,0.0755896166069388,0.0262133872527324,-0.0260831915035167,-0.235353332392582,1.00594097436676,-0.0421318092751801,-0.0281996096648622,0.081774750497433
"concrete","uni_loo",14,0.0820193977923629,0.023381016658984,-0.0395958329627885,-0.228312454794095,0.954695706800842,-0.0280803578588243,-0.0365377315188688,0.0904893203455094
"concrete","uni_loo",15,0.0818255610811545,0.0269909035861576,-0.0309289046779845,-0.256247728540909,1.05873754610427,-0.0351168975562501,-0.0343020769710832,0.0945737832424013
"concrete","uni_loo",16,0.0869401606616418,0.0370237541962434,-0.0507646667625373,-0.231987040290333,0.955453029679177,-0.0358591706214057,-0.0320289073652581,0.0813583623007014
"concrete","uni_loo",17,0.0748662635729958,0.0338440163236129,-0.0244792691330683,-0.234298390350985,1.09263677071055,-0.0445229636359881,-0.0343107094201437,0.088462872070198
"concrete","uni_loo",18,0.0845673451575993,0.0238498997438564,-0.0352780276536853,-0.211389448288176,0.975830345713332,-0.0383320123590864,-0.0414838541118335,0.0759598387894888
"concrete","uni_loo",19,0.0765809191205586,0.0201061086172393,-0.0214716910212327,-0.245374950588929,1.12187467712302,-0.0393778273793228,-0.0275953277398889,0.0862786642081428
"concrete","uni_loo",20,0.0767821929081144,0.0200385870711251,-0.0176868431334111,-0.235243051679758,1.14975867716889,-0.0447548524019566,-0.0249953805313176,0.0901097562807242
"concrete","uni_loo",21,0.08282020065965,0.0272399641512253,-0.0324878104933663,-0.208591123237388,1.113602626361,-0.0349832293032506,-0.0375362725539949,0.083454262367979
"concrete","uni_loo",22,0.0751103771311456,0.0301929567501266,-0.0383872883299865,-0.18967048602239,0.878184743773201,-0.0334124559576431,-0.0300163573047886,0.0974332562029578
"concrete","uni_loo",23,0.0827612452113346,0.0139154140257745,-0.0202577280236348,-0.229841721283821,0.983505286882592,-0.0306065441134123,-0.0267598039282471,0.0830164549805199
"concrete","uni_loo",24,0.0791605515843682,0.0235026755655622,-0.035419552683607,-0.150661408505052,0.869911840452554,-0.0322469239013229,-0.0424030997615398,0.0835852212354434
"concrete","uni_loo",25,0.0770457046488337,0.0217145267290136,-0.0228513277147338,-0.218793482395275,1.01488716135292,-0.0460098084551775,-0.0265525043014931,0.0759798761203681
"concrete","uni_loo",26,0.0687352494958406,0.0248111124103262,-0.0122837118705702,-0.194760516845711,1.03105057529545,-0.035113972052624,-0.0388383719448591,0.0837067994672339
"concrete","uni_loo",27,0.0829370069182388,0.0229095422815954,-0.0332256878712573,-0.202872747157697,0.920709466202124,-0.0358004191220737,-0.0418547361990433,0.103115216194204
"concrete","uni_loo",28,0.080886719016967,0.0301819645239936,-0.0348582346672604,-0.221348308487035,0.996142918061459,-0.032815564777022,-0.0338031025871395,0.085754486028883
"concrete","uni_loo",29,0.0800784935301357,0.0235399907884404,-0.0329827543884424,-0.230244715386947,1.09309951740207,-0.0394383136621044,-0.0242415492779236,0.0858989653239633
"concrete","uni_loo",30,0.0837779254186723,0.0253704172503262,-0.0239643166875017,-0.197049868550672,1.00680801705673,-0.0467107789841106,-0.031616629333783,0.0796077655739796
"concrete","uni_loo",31,0.0830135039371155,0.0179624748420079,-0.0213255046896465,-0.206543288264435,1.05049885216018,-0.0432841367500237,-0.0303655397838017,0.0813789750960669
"concrete","uni_loo",32,0.0755705240648235,0.0175607983849854,-0.0242854437521168,-0.211606349987405,0.93115905120014,-0.0285466611304779,-0.0332969233546316,0.0864801779678179
"concrete","uni_loo",33,0.0813012819366043,0.0277666998967214,-0.0360608519511574,-0.215738753143804,0.984525990722218,-0.0313799242300482,-0.0351143780680429,0.078716717274803
"concrete","uni_loo",34,0.0787850233703725,0.0295020219538538,-0.0199915169452935,-0.268720612730992,1.0267721178967,-0.0349440046884371,-0.0337212534651777,0.0971956452226301
"concrete","uni_loo",35,0.0749170914816822,0.0287629628291443,-0.0360191704301601,-0.213585634557228,1.04617795736001,-0.0355406552213323,-0.0275787969402565,0.0841624055404317
"concrete","uni_loo",36,0.0859176697575145,0.0150779625490605,-0.034802136863917,-0.198344113290704,0.900956119928493,-0.0398625701261046,-0.0335167694322988,0.0840120624843242
"concrete","uni_loo",37,0.0757678732804713,0.0251805912189292,-0.0232766552443679,-0.204741189998107,1.05244877418953,-0.0446528716727451,-0.0331993070171726,0.0874563033284102
"concrete","uni_loo",38,0.0827173516320604,0.0320569438639253,-0.038461395814803,-0.249707675674232,1.10462401625317,-0.0416165589041947,-0.0268899016630956,0.0883402103856271
"concrete","uni_loo",39,0.0891793789982982,0.0323584445665044,-0.0399267582265354,-0.238397338213608,1.07843823836474,-0.0462016091945264,-0.0296971908661012,0.0862323980159122
"concrete","uni_loo",40,0.0802658179058748,0.0064928801971691,-0.00933042152544067,-0.219981781876976,1.03258515444164,-0.0351496035575267,-0.0296521927112102,0.089680644698444
"concrete","uni_loo",41,0.076430618857953,0.0183977485891985,-0.0162342244319278,-0.272738214292587,1.06176421110834,-0.0242216956834415,-0.0317027000418914,0.0860094530361459
"concrete","uni_loo",42,0.0825766437860479,0.0321145600773144,-0.0389801425081115,-0.238945287169265,1.08927655461158,-0.0312229333056499,-0.0381435945312069,0.0963352733416027
"concrete","uni_loo",43,0.0868248803150163,0.0226888386688181,-0.0275398619272776,-0.241499383475557,1.04827599199875,-0.0437158939770011,-0.0336437630151827,0.0931427890536341
"concrete","uni_loo",44,0.0821491429354762,0.0293886140722211,-0.029494033919189,-0.272258086363438,1.15482548548587,-0.0313637255162891,-0.0327568142383194,0.0953090354237894
"concrete","uni_loo",45,0.0786527883407631,0.0311842566804838,-0.0245590689481381,-0.205247556275916,1.00655724934946,-0.038400527587984,-0.0432698779039699,0.0836226613983749
"concrete","uni_loo",46,0.0816377704687053,0.0193441985348384,-0.0405574115423269,-0.225367539176393,0.960413991777054,-0.016156498432753,-0.0344393866700103,0.0874685826761118
"concrete","uni_loo",47,0.0836177044311688,0.0284102461672535,-0.0331864553981721,-0.254006920174493,1.01868600325608,-0.0344243766468455,-0.0373336546630442,0.0954347026356249
"concrete","uni_loo",48,0.0865604208973562,0.0257033155975276,-0.036608547134764,-0.21791770168063,1.09965898280099,-0.0426687614405861,-0.0288866797429844,0.082846112371574
"concrete","uni_loo",49,0.0810563467524877,0.0339393942037861,-0.0344845892606093,-0.206073354612677,0.961776864956388,-0.0359357806732239,-0.0382742512516509,0.0914837224102241
"concrete","uni_loo",50,0.0756923813672477,0.0295239057953848,-0.0285436764373076,-0.199297029270609,0.952548634039758,-0.0427160645310198,-0.0345598555143892,0.0699858993831785
"concrete","uni_loo",51,0.0871043214368441,0.0363111703095007,-0.0200492727518933,-0.239510708568293,1.14943358675636,-0.0366639091951747,-0.0467461845617591,0.0901480962299929
"concrete","uni_loo",52,0.0833875498195602,0.0235197035719213,-0.0370928974447602,-0.225523293069067,0.980415690531381,-0.0311669967222923,-0.0395159825245153,0.093374975159945
"concrete","uni_loo",53,0.0759302598223262,0.0295022206408902,-0.0263801560894589,-0.230578088091731,1.02225339186752,-0.0384321140758453,-0.038627130252617,0.0983989943834817
"concrete","uni_loo",54,0.0852648192307313,0.0321569400838057,-0.0443820420458517,-0.207054568566733,0.947565192300707,-0.0363348456434276,-0.044470217639725,0.0821803492216111
"concrete","uni_loo",55,0.0710041149329711,0.0237556069557502,-0.0363790532469341,-0.221206054642517,1.02292673723916,-0.0271191233114957,-0.0304140686146699,0.0969678169974315
"concrete","uni_loo",56,0.0808753658433122,0.0223378185395409,-0.0302084838941164,-0.215639314754882,1.03853561803445,-0.0456054856938994,-0.0257051175361958,0.0713149610887817
"concrete","uni_loo",57,0.074886891642084,0.027706414925901,-0.0195161788593138,-0.204401222529904,1.03201650304464,-0.0365077577031091,-0.0405483683069129,0.0762128016689528
"concrete","uni_loo",58,0.0826411686679675,0.0225237646633215,-0.0247560812597817,-0.256214785337523,1.10250219224763,-0.0306268329404676,-0.0375637138150609,0.112543766054781
"concrete","uni_loo",59,0.0777308678001073,0.0213359504144609,-0.0332062451638683,-0.170873112009447,0.914147439832684,-0.038900162451517,-0.0393652479248607,0.0837186313213659
