"dataset","method","split_id","mean_atomic_mass","wtd_mean_atomic_mass","gmean_atomic_mass","wtd_gmean_atomic_mass","entropy_atomic_mass","wtd_entropy_atomic_mass","range_atomic_mass","wtd_range_atomic_mass","std_atomic_mass","wtd_std_atomic_mass","mean_fie","wtd_mean_fie","gmean_fie","wtd_gmean_fie","entropy_fie","wtd_entropy_fie","range_fie","wtd_range_fie","std_fie","wtd_std_fie","mean_atomic_radius","wtd_mean_atomic_radius","gmean_atomic_radius","wtd_gmean_atomic_radius","entropy_atomic_radius","wtd_entropy_atomic_radius","range_atomic_radius","wtd_range_atomic_radius","std_atomic_radius","wtd_std_atomic_radius","mean_Density","wtd_mean_Density","gmean_Density","wtd_gmean_Density","entropy_Density","wtd_entropy_Density","range_Density","wtd_range_Density","std_Density","wtd_std_Density","mean_ElectronAffinity","wtd_mean_ElectronAffinity","gmean_ElectronAffinity","wtd_gmean_ElectronAffinity","entropy_ElectronAffinity","wtd_entropy_ElectronAffinity","range_ElectronAffinity","wtd_range_ElectronAffinity","std_ElectronAffinity","wtd_std_ElectronAffinity","mean_FusionHeat","wtd_mean_FusionHeat","gmean_FusionHeat","wtd_gmean_FusionHeat","entropy_FusionHeat","wtd_entropy_FusionHeat","range_FusionHeat","wtd_range_FusionHeat","std_FusionHeat","wtd_std_FusionHeat","mean_ThermalConductivity","wtd_mean_ThermalConductivity","gmean_ThermalConductivity","wtd_gmean_ThermalConductivity","entropy_ThermalConductivity","wtd_entropy_ThermalConductivity","range_ThermalConductivity","wtd_range_ThermalConductivity","std_ThermalConductivity","wtd_std_ThermalConductivity","mean_Valence","wtd_mean_Valence","gmean_Valence","wtd_gmean_Valence","entropy_Valence","wtd_entropy_Valence","wtd_range_Valence","std_Valence","wtd_std_Valence"
"superconductor","uni_loo",1,-0.132164455223148,-0.318895076762874,-0.253472029459895,-0.344289106344594,51.9062257287604,53.8033392425625,0.307847711460425,-0.430441343463887,0.644031806369198,0.616726204238779,0.0372561477854628,0.0951840825832892,-0.0155311026595828,0.0977021550020268,51.6063337234658,40.1025542992995,0.0674239857844866,0.045158111722134,0.171282739510664,0.157479500769659,0.193166143446983,-0.349651119807795,-0.217907091515572,-0.385461825553329,51.7612634909558,51.0608361016188,0.336267299634279,-0.338327623660761,0.845569632370021,0.817093303499645,-0.00439475954749152,-0.00454968067374802,-0.00499424238341814,-0.00462706502893664,47.0140463172708,43.7788801543383,0.00221759476158655,-0.00398452264158209,0.00236173212508618,0.00447496582778084,-0.248069110078085,0.108754589316008,-0.447479424323595,-0.122365375676382,44.3160165533775,28.8601457288631,0.160254700270288,0.212029201789479,0.400962341781213,0.519589866417314,-1.18345125832679,-0.952194499186812,-1.48951770344788,-1.14515567273948,51.2749061754381,52.4506247631452,-0.237050703793318,-0.950180255864249,-0.795950938301025,-0.92360349680108,0.337461832847737,0.287910984087471,-0.400172878844142,-0.322583775389573,9.65019711733331,-11.8535511628982,0.148792374768263,0.365863904840013,0.37142921816952,0.387894281375288,-19.7375535520022,-18.2395647704792,-18.8538601864253,-18.0104949641412,52.7431858498787,53.3324494862568,-15.3595717807247,-14.4795992515438,-22.6983682841024
"superconductor","uni_loo",2,-0.12739671528336,-0.318982783530328,-0.252964543078288,-0.34615321609059,51.5548394509299,53.8518125987087,0.310688087653209,-0.432520531169275,0.655724581702382,0.616962452405635,0.0387491382758242,0.095272617179947,-0.0133785433031525,0.0987202862777657,51.4832095953564,40.2681218213935,0.0668111005899915,0.0458167033418622,0.169819544919053,0.155403229368483,0.177267094287939,-0.356737677984742,-0.222048423260512,-0.38681690859195,51.5738060882002,51.1583769654539,0.332652255547701,-0.33993207310218,0.835380754366782,0.803933221261551,-0.00444932166439405,-0.00461619671160574,-0.00502569491086699,-0.00466536557464684,46.0511449554999,43.3025187576927,0.00220163676265581,-0.0041379550873627,0.00238027364825098,0.00438082076971961,-0.247069920106394,0.122470682287329,-0.460320913001133,-0.115039249102197,43.9209576316007,28.2072000208028,0.165529046395094,0.226877289260508,0.416781895136222,0.52617736195184,-1.17141692396236,-0.976900360349149,-1.46357973398465,-1.15408539275176,51.0160700522529,52.6094553793873,-0.241409086534931,-1.00992077732829,-0.81888105425786,-0.935674589020175,0.329288446795078,0.288967191471586,-0.379070844994635,-0.315861503202021,9.81788258370686,-11.581437830438,0.14807933206206,0.379322747982735,0.371345722508124,0.38661575727068,-19.4333058687652,-17.9744105878055,-18.5638701396082,-17.7516872216628,52.6618920939038,53.6470878920312,-15.5084115675996,-14.2621701578814,-22.0346264912483
"superconductor","uni_loo",3,-0.124482251164724,-0.315993040039152,-0.248095281486467,-0.343480025136589,50.2597769951943,53.0574596265466,0.306490378971204,-0.425349592339634,0.645194578495701,0.612701955558166,0.0397031434676559,0.0950824451197836,-0.011764610899854,0.0981019114649972,50.0700880038259,38.9419283426134,0.0660256401553848,0.0459909343212103,0.167289071319187,0.154871543855497,0.186105835644987,-0.347800720704301,-0.212124970591828,-0.384085279271473,50.0872102799497,50.1437227396862,0.330105706143629,-0.325984409314484,0.828627684334213,0.808808122733346,-0.0044527747619302,-0.00469438744565853,-0.00504319694955157,-0.00471572125061678,45.2150328019858,42.2467448694512,0.00222947894306227,-0.00415022827911712,0.00247262469860064,0.00448652796939062,-0.230965109750584,0.121220200725527,-0.439777220451566,-0.108471353751323,43.7299949652514,28.3385064030442,0.163492271092733,0.222255707503272,0.41138392412027,0.524104619684205,-1.11065624230174,-0.899179717348007,-1.38886585591194,-1.06412201881078,49.316070989233,51.3361735824098,-0.234760031246086,-0.889621904051507,-0.782316800551437,-0.922878400929486,0.334036426018948,0.275798131465381,-0.387530624662505,-0.314196361992604,9.14746790964705,-12.471384612005,0.146901455487698,0.359334904047883,0.368711756838895,0.384000925809969,-19.5351453860928,-18.110149151078,-18.6276449434183,-17.8773775420201,51.2473799576792,52.3515081945647,-15.082641711385,-13.9447123877437,-22.1036864457858
"superconductor","uni_loo",4,-0.123857514906275,-0.314109492736243,-0.249784619834495,-0.342181918862456,50.3092841304262,53.0594294861342,0.308514623422358,-0.420899874968067,0.647581212900146,0.621528695310363,0.0402334555410941,0.0943800833073208,-0.00994937713207404,0.0972444989285713,50.2023368137652,39.7653612809505,0.0659386738155698,0.0456977249712024,0.167849785848924,0.154892684105239,0.169964006795769,-0.350696580893297,-0.223726736270399,-0.383031562784436,50.2273526475791,50.4175095975343,0.330160300969204,-0.331170305165389,0.830508654217054,0.804185516220688,-0.00435223992010299,-0.00454896342062474,-0.00496981855356227,-0.00461341607692693,45.1841516753015,42.5775567818868,0.00211886714007144,-0.00399741388545828,0.00225695673774853,0.0043489085572081,-0.237283796317187,0.118845810469292,-0.445725262385932,-0.113846437798112,43.2249569524095,29.0732484427235,0.160946354949795,0.222037849720779,0.408297485034709,0.518034044271714,-1.14839801537549,-0.929196722029843,-1.4151668248433,-1.09938191069227,49.9752360902496,51.8363369300391,-0.260199101685993,-0.949924244778568,-0.838524734564036,-0.926264784214574,0.327476555643917,0.276100802855114,-0.385546447191338,-0.310858617733637,7.90803004507772,-12.9116662020764,0.148381986306231,0.372611542442402,0.37364965327588,0.388060784038557,-19.4132976121687,-17.9557531880321,-18.5326916698249,-17.740527311425,51.5067759864556,52.8637584016067,-15.1280202297097,-14.2626734632165,-21.7138450070087
"superconductor","uni_loo",5,-0.120605811723961,-0.310464905868874,-0.250983829441178,-0.342388159258416,50.6771644722792,53.4746417424617,0.312258703051169,-0.422519217201673,0.66723079329423,0.637653483398896,0.0408850387388213,0.0952422526711209,-0.0103791103532565,0.0979729362698395,50.6900287777703,40.1210838156836,0.0667287654369289,0.0453944551986461,0.169501398113957,0.155833226809928,0.17551164366542,-0.343458012279628,-0.223216149272055,-0.382157874708479,50.713773969709,50.6862951076364,0.334397102799216,-0.331859676337372,0.84162839654834,0.814673269270673,-0.00432168688778544,-0.00457417602529833,-0.0049941093203652,-0.0046603692738952,46.0739039858335,43.0841185476579,0.0022321495175558,-0.00399543157101244,0.002613379128723,0.00469035197450225,-0.240369669791135,0.110657541852221,-0.442463524083125,-0.121461333387703,43.8008948522653,28.8051377505363,0.162200663062301,0.221907039642612,0.415656605822212,0.533164654109664,-1.1448477290744,-0.909572340981169,-1.45021659385704,-1.0898665842809,49.8296380395237,52.0777487610537,-0.217940133910229,-0.882996235604023,-0.748703749349332,-0.88834573948485,0.323738955682261,0.28430360809443,-0.383493129595309,-0.311980937291838,9.61445158108818,-11.7107550091082,0.14742461990994,0.376193472495766,0.368680417980973,0.386479555087537,-19.6682470627332,-18.2156852221381,-18.774377078139,-17.9977366568549,51.9132906057299,53.1265186390075,-15.3647700923822,-13.9790036376474,-22.3372551732234
"superconductor","uni_loo",6,-0.129671506537797,-0.319616848829238,-0.251950772758902,-0.346039412484641,51.8237178588463,54.2712197916122,0.313251984078532,-0.432093977904959,0.655382594378388,0.62627914225844,0.0402000679072276,0.0964257623527993,-0.0129307034596516,0.0988092502671336,51.736799879704,40.2028214677307,0.0678131981162925,0.0470859742668315,0.171709067954296,0.158675947587539,0.185466827141901,-0.360040634604365,-0.226389317529196,-0.394475204257283,51.8457889192488,51.379634975849,0.335651302214068,-0.341224437337674,0.841321187919571,0.818490218214743,-0.00437202297747759,-0.00459993483087081,-0.00498800376714998,-0.00465106290023111,46.5562011206198,43.7645222149382,0.0021990321000108,-0.00411937898854737,0.00238894474392252,0.00444847729742571,-0.2381856612216,0.121722557376099,-0.449875609977133,-0.113620305551681,44.3404350665614,28.6349223018197,0.168511712452202,0.229369053336278,0.420502158014244,0.525401883147081,-1.18110350484472,-0.954878386931104,-1.4766165333005,-1.13970676568722,51.1150708422195,53.2057109184221,-0.234654062674924,-0.956535019517156,-0.797864626819953,-0.933034919279022,0.34032732578808,0.282921386717534,-0.395211917151077,-0.317310196614293,9.83341578825093,-12.0612566653211,0.150972494836786,0.367607390076068,0.379251196622904,0.3925396738545,-19.6823738452269,-18.2383511132898,-18.7358554962505,-17.9635283458644,52.9355636207434,53.7281654838164,-15.5211996424432,-14.4406631600683,-22.9172804675342
"superconductor","uni_loo",7,-0.125797372234183,-0.316934632404196,-0.245618060571403,-0.341914382010381,51.0235199061111,53.5922961854462,0.306204511795888,-0.431383034696499,0.637771005168821,0.603623575722474,0.039649094719437,0.0958531883636706,-0.0105334734399261,0.0993167118821365,50.9636177344203,39.3126035488568,0.0658137126825767,0.0466952655223165,0.166629028700469,0.155061163548345,0.185255109515953,-0.353648462805176,-0.214037975632755,-0.386517657824132,51.0426844217838,50.9374623475775,0.331741402061492,-0.337102123956468,0.835270387461732,0.811829652401439,-0.0043043733758255,-0.00458707158046684,-0.00490850739711826,-0.00461003304811776,45.3146883005356,42.342996233383,0.00219122402539196,-0.00411687513249567,0.00232370353327381,0.00430540219547629,-0.243704499949959,0.123763475286261,-0.448106371844321,-0.10971382873017,43.4129742421091,27.459986673086,0.159390689607783,0.224894481956843,0.401433661835122,0.524764411264941,-1.15574996607651,-0.928591431087316,-1.46791117676013,-1.11395865305955,50.0153781629318,52.2383115131104,-0.229556743552909,-0.907770735925343,-0.767152301879472,-0.897962050969386,0.322564124437367,0.274565805262977,-0.387306522395102,-0.312594952538118,8.24279408668411,-13.6435076931168,0.147690088129372,0.361798416403028,0.368721952664553,0.384201092361336,-19.3252858510742,-18.0444592283861,-18.4019449527886,-17.796536463766,52.1679231355467,53.0604135262439,-15.4573799766689,-14.6168242327925,-22.8812972123517
"superconductor","uni_loo",8,-0.133434343709179,-0.320434332503987,-0.25776822533237,-0.345165418987596,50.9893516145735,53.3215421470998,0.308759049004183,-0.426637013661726,0.650971237613211,0.617007593191779,0.0426393738184035,0.095380553414937,-0.00846060777597657,0.0983512659308609,50.752880325154,39.3078058303625,0.066578580672136,0.0463809800943725,0.169827790777985,0.156996898848073,0.179619648879637,-0.351492112655114,-0.229010954579498,-0.386152395287508,50.8008620607513,50.7232081827563,0.333861314496905,-0.334073889234539,0.844816490444666,0.817294945524613,-0.00450956934778668,-0.00463190006207066,-0.00507959817652911,-0.00466201287971725,45.6932454222715,42.2725585365205,0.00215113880027958,-0.00402589398664678,0.00229945563944951,0.00437815106861381,-0.238287940045739,0.122231054572448,-0.453228719897658,-0.109474092278556,43.2557306260064,28.2420987280367,0.157759501625517,0.221442107923018,0.405428925859804,0.521113835881673,-1.18601964307692,-0.974781250228958,-1.47889417260038,-1.15306770304944,50.2826193218397,52.0069522490567,-0.226755455228916,-0.985078533521905,-0.790517827805362,-0.922011112297971,0.343757256677033,0.289448558269894,-0.392529560476044,-0.314531710133468,7.85872024829055,-14.075059513015,0.148547812732201,0.374880027481525,0.373395396328754,0.387950510145723,-19.9417575026774,-18.3052394344561,-18.9885945604977,-18.0654069301672,52.1190698765151,53.0892359046652,-15.4384928901466,-15.5747958287253,-23.4789737343389
"superconductor","uni_loo",9,-0.132309584798252,-0.318789696608543,-0.254137203948061,-0.345867183103794,50.4544213391043,52.8426666890813,0.305995014470213,-0.433495584151189,0.638596976756447,0.611252998422157,0.0369954460001333,0.0947550596957662,-0.0143175074621271,0.0979708389199428,50.3144305154228,39.4322492189611,0.0658192069737122,0.0464333640938501,0.166805581154466,0.154096306785756,0.192941110490689,-0.350539318799283,-0.213532368479821,-0.384313407513594,50.4000728278923,50.0201177027452,0.329657548968063,-0.333833146058374,0.828233215616733,0.803839703717473,-0.00442133514827199,-0.00463330635449605,-0.00499628088174298,-0.00466535616630375,44.9516701584133,41.9370754573388,0.00213535288166746,-0.00413198296462525,0.00225503204772428,0.00431533717435375,-0.242443191255872,0.120815208875222,-0.445689840775474,-0.110536097069902,43.356247088051,28.1601954363644,0.161949236923197,0.222540883888027,0.404043808904703,0.512316912668558,-1.17275533575412,-0.930218510081395,-1.44854431780794,-1.11064774302423,49.7591439815609,51.2239629087107,-0.247519252778384,-0.929254742152007,-0.822345537696751,-0.941685573218014,0.327599200787268,0.277933188490035,-0.382294309721628,-0.309805807805852,9.33015232256628,-13.0733195334155,0.147355909071537,0.365121154572421,0.370119914576237,0.385383121294634,-19.5145140294654,-18.0077037118241,-18.6138287417402,-17.7777921712248,51.3896982728592,52.3306397037987,-15.2433975185723,-14.4218481470315,-22.6405009805733
"superconductor","uni_loo",10,-0.123087473062477,-0.314819626237012,-0.24782998090052,-0.342155782290242,51.3660530092903,53.8289362421297,0.311137617644891,-0.432056510071818,0.654675350281312,0.620267989473733,0.036762575217299,0.0945768096687482,-0.0147219964836256,0.0974179849347524,51.1591600666648,40.0515610251462,0.0655671932942699,0.0456482023952835,0.166232951101712,0.154230324362591,0.186499364922896,-0.352010665719185,-0.213408696189178,-0.384918155732993,51.3029767955444,51.0148010782353,0.331439057582837,-0.337963035725393,0.829694860940343,0.806623135466576,-0.00442243778411108,-0.00462098817237022,-0.00503310061655218,-0.00466838785727554,46.508415239845,43.8262847872967,0.00225990378821614,-0.00408746234852515,0.00253824331428873,0.00457766678865331,-0.244691656914123,0.11073007482337,-0.453449105978874,-0.123066256434194,43.5329805914299,28.3624217586361,0.157679889247922,0.214956645655325,0.395682235994178,0.507866319912765,-1.15929396032063,-0.926683354598914,-1.45985392437409,-1.10880405964206,50.9787315669152,52.4594636193789,-0.243680636000188,-0.913424300310872,-0.801436754811018,-0.908775550687774,0.338040764793836,0.287939745267622,-0.385542996343733,-0.314553987609316,9.73866416329166,-11.8123785543666,0.148342600794835,0.371764701698928,0.37121811205989,0.386077259723793,-19.7274009388713,-18.2537975301025,-18.79620919546,-18.0158014379987,52.3832842073792,53.2068142477654,-15.4428026823566,-15.2333412348383,-22.6371871910077
