feature,importance_rf
FCFP6_1024_652_1.0,0.05903061831718735
FCFP6_1024_867_1.0,0.045165805226889906
FCFP6_1024_907_1.0,0.042553277175273095
FCFP6_1024_602_1.0,0.032926597772214475
FCFP6_1024_238_1.0,0.03270332181806342
FCFP6_1024_123_1.0,0.013830925030461075
FCFP6_1024_728_1.0,0.012499334060892157
FCFP6_1024_702_1.0,0.012188595606827748
FCFP6_1024_651_1.0,0.011226586849660948
FCFP6_1024_994_1.0,0.01103915530049345
FCFP6_1024_911_1.0,0.010068608830733195
FCFP6_1024_708_1.0,0.009965331939047873
FCFP6_1024_634_1.0,0.008828262175380758
FCFP6_1024_662_1.0,0.008652397193561574
FCFP6_1024_936_1.0,0.008622493841977993
FCFP6_1024_439_1.0,0.008548864324849997
FCFP6_1024_346_1.0,0.008243786223380805
FCFP6_1024_77_1.0,0.008231761098914015
FCFP6_1024_344_1.0,0.00761479972445782
FCFP6_1024_264_1.0,0.007427974492976122
FCFP6_1024_491_1.0,0.007182130714301679
FCFP6_1024_105_1.0,0.006990340849099848
FCFP6_1024_727_1.0,0.006444087920684347
FCFP6_1024_49_1.0,0.006328147493322579
FCFP6_1024_922_1.0,0.006078238441642463
FCFP6_1024_968_1.0,0.0060269728172230985
FCFP6_1024_614_1.0,0.005728253541609388
FCFP6_1024_151_1.0,0.005490774130899004
FCFP6_1024_357_1.0,0.005214035736518477
FCFP6_1024_317_1.0,0.005167066531449279
FCFP6_1024_556_1.0,0.005134510219909659
FCFP6_1024_642_1.0,0.005092795363098504
FCFP6_1024_713_1.0,0.005067054843866528
FCFP6_1024_523_1.0,0.005056736686633871
FCFP6_1024_1014_1.0,0.005053660706310524
FCFP6_1024_350_1.0,0.005004380897835645
FCFP6_1024_939_1.0,0.00469030054965257
FCFP6_1024_605_1.0,0.004309559082612684
FCFP6_1024_1003_1.0,0.004160989246945559
FCFP6_1024_737_1.0,0.00409885507992993
FCFP6_1024_669_1.0,0.0040420829346571735
FCFP6_1024_137_1.0,0.004004249438616296
FCFP6_1024_834_1.0,0.003991709334478152
FCFP6_1024_807_1.0,0.003962789131811426
FCFP6_1024_32_1.0,0.0038371932742656775
FCFP6_1024_364_1.0,0.0038053851007426665
FCFP6_1024_17_1.0,0.003775930174953617
FCFP6_1024_520_1.0,0.003746075554401727
FCFP6_1024_405_1.0,0.0037457353349306275
FCFP6_1024_846_1.0,0.0037413708828585874
