feature,importance_rf
theta3,0.37448955770793724
theta5,0.13177184320469165
theta6,0.10652179874854915
theta7,0.10637060660155538
theta4,0.09077024744974002
theta8,0.07117993836130344
theta1,0.061958519427606544
theta2,0.056937488498616594
