"dataset","method","mean_stability","sd_stability","min_stability","max_stability","n_pairs"
"real_estate_valuation","uniLasso",0.825683501683502,0.118594416689472,0.666666666666667,1,4950
"real_estate_valuation","Polish",0.828417508417508,0.118496928508881,0.666666666666667,1,4950
"real_estate_valuation","Lasso",1,0,1,1,4950
"real_estate_valuation","uniReg",0.825683501683502,0.118594416689472,0.666666666666667,1,4950
"real_estate_valuation","LS",1,0,1,1,4950
"servo","uniLasso",0.621144781144781,0.251069494145897,0.333333333333333,1,4950
"servo","Polish",0.906195286195286,0.190025699065755,0.333333333333333,1,4950
"servo","Lasso",1,0,1,1,4950
"servo","uniReg",0.621144781144781,0.251069494145897,0.333333333333333,1,4950
"servo","LS",1,0,1,1,4950
"stock_portfolio_performance","uniLasso",0.707075837742504,0.154701972525441,0.285714285714286,1,4950
"stock_portfolio_performance","Polish",0.678324719051992,0.155173762911926,0.25,1,4950
"stock_portfolio_performance","Lasso",0.727900644249129,0.163376099659209,0.333333333333333,1,4950
"stock_portfolio_performance","uniReg",0.707075837742504,0.154701972525441,0.285714285714286,1,4950
"stock_portfolio_performance","LS",1,0,1,1,4950
