"dataset","bootstrap_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support","oob_sample_count"
"data_airfoil",1,24.8330446666029,5,24.8538647405154,5,24.8332639931136,5,40.5440587904368,1,373
"data_airfoil",2,25.2366499234194,5,25.2642827903134,5,25.2375530816324,5,40.5475319221241,1,357
"data_airfoil",3,25.2624372166991,5,25.264720363318,5,25.2629435475675,5,40.5885276621518,1,391
"data_airfoil",4,25.1012456978201,5,25.0498346844248,5,25.1016879465383,5,40.7062258921666,1,362
"data_airfoil",5,24.8614859110304,5,24.8721775051449,5,24.8625062673171,5,40.4602648811805,1,372
"data_airfoil",6,25.0072865784628,5,24.9987990696847,5,25.0079160702794,5,40.6705144415399,1,371
"data_airfoil",7,25.0742468116476,5,25.0302178457894,5,25.0744943033208,5,40.9244334877022,1,359
"data_airfoil",8,24.9420778013997,5,24.9247739047325,5,24.9436148899951,5,40.7961984569134,1,376
"data_airfoil",9,24.9049237368859,5,24.9113019149069,5,24.9051180696979,5,40.566334884528,1,372
"data_airfoil",10,25.2135904343734,5,25.2413149968981,5,25.2146009065399,5,40.5251091086191,1,362
"data_airfoil",11,25.0383088925203,5,25.0441661245423,5,25.0382842444778,5,40.7492972124858,1,352
"data_airfoil",12,25.1581801559216,5,25.1636082969559,5,25.1589807159723,5,40.4591117520451,1,355
"data_airfoil",13,25.2166979175916,5,25.1850999705961,5,25.2171684011093,5,40.6994048910162,1,385
"data_airfoil",14,25.0093586998118,5,25.0710929769402,5,25.0093753825943,5,40.579986515265,1,364
"data_airfoil",15,25.1502040560165,5,25.1046968786218,5,25.1511841115427,5,40.4606980642062,1,368
"data_airfoil",16,24.9285795107278,5,24.8917804343262,5,24.9292850002274,5,40.6278964441338,1,356
"data_airfoil",17,24.8778847436634,5,24.8535466770799,5,24.87815967973,5,40.4576812653341,1,380
"data_airfoil",18,24.9284384002298,5,24.9500735542705,5,24.9297107405011,5,40.5231383853507,1,375
"data_airfoil",19,24.9833678689926,5,24.9542717486535,5,24.9836244190633,5,40.7304259128637,1,368
"data_airfoil",20,24.8367756880549,5,24.8730504754947,5,24.8369872094075,5,40.4985947675422,1,365
"data_airfoil",21,25.1927236272704,5,25.1132560812661,5,25.1928819658293,5,40.960375030016,1,357
"data_airfoil",22,25.4093687004819,5,25.4149404296699,5,25.4092203404743,5,40.8001725350264,1,389
