"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support"
"data_airfoil",1,25.7140032404039,5,25.7358564095986,5,25.714344645268,5,40.8787687357309,1
"data_airfoil",2,25.7608241325406,5,25.7812121627397,5,25.7606119943697,5,39.8007002086937,1
"data_airfoil",3,27.0081249977831,5,26.9387900936293,5,27.0084934673084,5,43.0320645346944,1
"data_airfoil",4,21.5737238003165,5,21.4777758955347,5,21.5721746696411,5,47.3115942989609,1
"data_airfoil",5,22.3237622349,5,22.290830555532,5,22.3237049981987,5,37.8089089996743,1
"data_airfoil",6,23.139747188215,5,23.2031750853829,5,23.1406620302702,5,44.5008476277845,1
"data_airfoil",7,21.6972833040855,5,21.7288752878256,5,21.6986063659674,5,39.9862326385688,1
"data_airfoil",8,21.8369423447349,5,21.8425065179651,5,21.836104160159,5,42.2579283567053,1
"data_airfoil",9,25.2712144894798,5,25.2235357975697,5,25.2726911158858,5,38.301212085268,1
"data_airfoil",10,26.4282748023799,5,26.4624299699515,5,26.4281297694079,5,40.9362544925317,1
"data_airfoil",11,23.5014187843444,5,23.5054065945427,5,23.5026921998147,5,41.3226441485648,1
"data_airfoil",12,23.1144037134197,5,23.1620431394936,5,23.1157873686534,5,39.3136658203171,1
"data_airfoil",13,20.3485811797341,5,20.374478669823,5,20.3496223923885,5,39.2955536019933,1
"data_airfoil",14,19.2538356865112,5,19.207049309763,5,19.2519450627203,5,36.4228975020028,1
"data_airfoil",15,23.0102463773325,5,23.0154564092419,5,23.0125244956487,5,41.8765414256201,1
"data_airfoil",16,22.532322091535,5,22.5299305314501,5,22.5315526991869,5,40.8778377758586,1
"data_airfoil",17,21.8074184547649,5,21.7367437961235,5,21.8081044903616,5,42.4192892064172,1
"data_airfoil",18,26.0628102849136,5,25.8569218703283,5,26.0629491047375,5,44.273571151877,1
"data_airfoil",19,19.8596080723241,5,19.8231550141412,5,19.8610931706115,5,40.0294401954987,1
"data_airfoil",20,25.4799605941411,5,25.4914974973659,5,25.4786514111217,5,37.4565641845072,1
"data_airfoil",21,22.1480205334813,5,22.1216718580833,5,22.1474119413915,5,39.6852350822355,1
"data_airfoil",22,20.1471217688396,5,20.2406162025841,5,20.1469907807,5,39.0081764631482,1
"data_airfoil",23,23.7363284939889,5,23.6833601737517,5,23.7369771450883,5,40.9497345659031,1
"data_airfoil",24,21.8939049508919,5,21.9377174169112,5,21.8931456435292,5,36.0832984306889,1
"data_airfoil",25,21.1073970775004,5,21.1577371747653,5,21.1052101895512,5,37.0837558848771,1
"data_airfoil",26,19.0209227783862,5,19.0290458768193,5,19.0215420339974,5,36.7927020760792,1
"data_airfoil",27,24.4992942957453,5,24.4387394013748,5,24.5003940159822,5,46.3414966664626,1
"data_airfoil",28,22.2074776860037,5,22.2136371218203,5,22.205732110359,5,44.4692339850981,1
"data_airfoil",29,23.8765005701501,5,23.8764178826055,5,23.8762352779129,5,43.890312420047,1
"data_airfoil",30,22.3794479147734,5,22.3639485254034,5,22.3793843746814,5,42.0865882117636,1
"data_airfoil",31,23.2058723514238,5,23.2367761414303,5,23.2076953691497,5,41.611721468696,1
"data_airfoil",32,23.5340354939407,5,23.4124718593198,5,23.5343295859709,5,40.6905786564075,1
"data_airfoil",33,25.1610572578091,5,25.1576020171489,5,25.1609245691919,5,44.8604118609167,1
"data_airfoil",34,20.3220773470439,5,20.283128491708,5,20.3214354995233,5,38.2210853461134,1
"data_airfoil",35,26.686943263641,5,26.6593299709463,5,26.6862454994852,5,43.4580186324644,1
"data_airfoil",36,21.7023946805651,5,21.6266213253337,5,21.7024417871132,5,39.9879856992238,1
"data_airfoil",37,27.0645907030665,5,27.0743198357545,5,27.0640791458112,5,41.1845171396106,1
"data_airfoil",38,22.3617384990287,5,22.3973197718291,5,22.3630057503873,5,40.1276009253832,1
"data_airfoil",39,23.2503513668249,5,23.2945353403143,5,23.2511181956233,5,42.520574909931,1
"data_airfoil",40,24.2285398816132,5,24.2950947239144,5,24.2277428056022,5,43.6148949285043,1
"data_airfoil",41,19.7989577663602,5,19.8438107799073,5,19.795963991434,5,35.8193902429403,1
"data_airfoil",42,23.390764722175,5,23.2865113070598,5,23.3895256308187,5,39.4757089237452,1
"data_airfoil",43,24.1993893609402,5,24.1899035427616,5,24.1992520254997,5,43.3600816401441,1
"data_airfoil",44,24.1566876852192,5,24.0934887376865,5,24.1559277916467,5,42.1596300427128,1
"data_airfoil",45,18.6021112679245,5,18.6111475901291,5,18.6004375975395,5,37.1858015900907,1
"data_airfoil",46,22.9515153308498,5,23.0047994692317,5,22.9521562755697,5,41.2929597718498,1
"data_airfoil",47,24.7431203434315,5,24.7784556232085,5,24.7445970646699,5,39.4682247258483,1
"data_airfoil",48,20.2196540438648,5,20.2406936930761,5,20.2186638977339,5,37.1319072945804,1
"data_airfoil",49,22.5775941695247,5,22.5960031931671,5,22.5790420435966,5,40.6257885574816,1
"data_airfoil",50,24.5167122063056,5,24.4690499931749,5,24.5172405485636,5,42.1382648158853,1
"data_airfoil",51,24.1813689749734,5,24.2207443214583,5,24.1844900650964,5,39.0414158898595,1
"data_airfoil",52,20.70112138338,5,20.6832228653155,5,20.7014757113904,5,40.1445816636341,1
"data_airfoil",53,23.6705349227461,5,23.6656265959159,5,23.6709181981611,5,38.405034473358,1
"data_airfoil",54,22.8034274106219,5,22.7755603735426,5,22.8032895313233,5,40.5869357525879,1
