"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support"
"data_airfoil",1,24.0092105061964,5,24.0307254017853,5,24.009226357125,5,40.9049553586725,1
"data_airfoil",2,24.5222062389823,5,24.4972891294387,5,24.5200937431777,5,40.638513910717,1
"data_airfoil",3,27.0191804497851,5,26.9533260670767,5,27.01990405601,5,44.0973096230806,1
"data_airfoil",4,22.3339959614288,5,22.2171635767511,5,22.3341890545682,5,43.6183153455608,1
"data_airfoil",5,22.0257229792793,5,21.9929347598281,5,22.0281225383296,5,38.732028088614,1
"data_airfoil",6,23.6623362925396,5,23.6626546966013,5,23.6625381352916,5,42.5280182586398,1
"data_airfoil",7,20.7278133229638,5,20.6821084125508,5,20.7285301907755,5,37.7278860014262,1
"data_airfoil",8,23.954604747578,5,23.9231013290695,5,23.9526610795098,5,42.0671811630733,1
"data_airfoil",9,23.7129809734239,5,23.7460993519094,5,23.7139054915585,5,41.1836406255061,1
"data_airfoil",10,23.5017612361847,5,23.5128329452304,5,23.5005878604572,5,41.3047434900059,1
"data_airfoil",11,23.275900480898,5,23.2439537430103,5,23.2759861612618,5,40.7240247840482,1
"data_airfoil",12,23.4571560681066,5,23.4805067928811,5,23.4580679912311,5,39.0676798478332,1
"data_airfoil",13,22.3950691736681,5,22.3818138271076,5,22.3957833750602,5,39.7664909258222,1
"data_airfoil",14,22.5163563364859,5,22.4472529030527,5,22.5156576558062,5,39.7396874752584,1
"data_airfoil",15,23.0059610630731,5,22.9520324335137,5,23.0075871846753,5,41.3823073476603,1
"data_airfoil",16,22.4291225433962,5,22.4073987178452,5,22.4293698338138,5,41.0181291490021,1
"data_airfoil",17,23.1844717386522,5,23.129680136621,5,23.1850619654042,5,40.3888266446444,1
"data_airfoil",18,24.497724384687,5,24.3742372987894,5,24.4978876429768,5,42.2799232898136,1
"data_airfoil",19,20.2637670917669,5,20.2403056955943,5,20.26568897346,5,38.5318759848459,1
"data_airfoil",20,24.4868754716546,5,24.4814182813011,5,24.4865760427782,5,38.4998070053319,1
"data_airfoil",21,24.6683671879293,5,24.6680567651042,5,24.6686634177927,5,39.886258461014,1
"data_airfoil",22,21.5450417514038,5,21.5788069618194,5,21.5448477494303,5,40.609729144959,1
"data_airfoil",23,23.0727546025869,5,23.0309585488201,5,23.0736391503746,5,42.940554908306,1
"data_airfoil",24,21.6022069915981,5,21.6131567466485,5,21.6017400430183,5,40.4617576885007,1
"data_airfoil",25,20.7691478291555,5,20.7971339223291,5,20.7665626890037,5,37.4870216541602,1
"data_airfoil",26,21.6734859922953,5,21.685080080462,5,21.6742764079188,5,38.4972802032325,1
"data_airfoil",27,25.0425944772816,5,24.9837392793337,5,25.0433369290197,5,43.4450834986228,1
