"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"airfoil",1,22.8443702204154,5,0,22.8244127935433,5,0,22.8428237927797,5,0,40.2114779764269,1,0,22.8448137348198,5,0,22.8240792673009,5,0
"airfoil",2,24.8936774278624,5,0,24.8519440147286,5,0,24.8924171497594,5,0,42.7565980018319,1,0,24.8936774278624,5,0,24.8495037914765,5,0
"airfoil",3,24.724488430561,5,0,24.6031900380189,5,0,24.7251087680354,5,0,43.3322770917932,1,0,24.723020999455,5,0,24.6010209446405,5,0
"airfoil",4,23.5914242504402,5,0,23.4290152373265,5,0,23.5934645747747,5,0,42.9311203831381,1,0,23.6110838192235,5,0,23.3582322032545,5,0
"airfoil",5,23.3032148563445,5,0,23.2238103248241,5,0,23.3075391167993,5,0,39.1360205181376,1,0,23.3030532731691,5,0,23.2233182874257,5,0
"airfoil",6,22.8987584596957,5,0,22.9619295127121,5,0,22.9017476590331,5,0,39.2879025377069,1,0,22.8991447858903,5,0,22.9633943872005,5,0
"airfoil",7,22.5452049977677,5,0,22.2753446241992,5,0,22.5458933526645,5,0,39.3413460449131,1,0,22.5452049977677,5,0,22.2628988806017,5,0
"airfoil",8,24.749516888956,5,0,24.7239968595969,5,0,24.7505518031309,5,0,41.2132285413016,1,0,24.7497807488289,5,0,24.7242680433932,5,0
"airfoil",9,23.3745762045676,5,0,23.4245824752036,5,0,23.3754530704843,5,0,40.3310199399642,1,0,23.3745762045676,5,0,23.4397812747658,5,0
"airfoil",10,22.9030329236533,5,0,22.7989412798543,5,0,22.899043833303,5,0,41.2711169138061,1,0,22.9030329236532,5,0,22.7978158524195,5,0
"airfoil",11,23.7059805598926,5,0,23.7214124248517,5,0,23.7078412903071,5,0,40.6115182929308,1,0,23.7060030535633,5,0,23.7219843638323,5,0
"airfoil",12,23.759798171567,5,0,23.7154925328145,5,0,23.7609907667362,5,0,40.2536140032151,1,0,23.759798171567,5,0,23.7161882665681,5,0
"airfoil",13,23.1736840161272,5,0,23.1927194030041,5,0,23.1734151468435,5,0,39.3772093791711,1,0,23.1739158617325,5,0,23.1938539179331,5,0
"airfoil",14,23.3648660745666,5,0,23.3002773347378,5,0,23.3643210524431,5,0,42.9843143866634,1,0,23.3631008669209,5,0,23.2987708898591,5,0
"airfoil",15,22.9923258772926,5,0,22.8844696177733,5,0,22.9931797579577,5,0,40.9836773150627,1,0,22.9923258772926,5,0,22.8832482510836,5,0
"airfoil",16,23.2832348968517,5,0,23.1124578625878,5,0,23.2826454907154,5,0,42.3988112432133,1,0,23.2768624284697,5,0,23.1066837009512,5,0
"airfoil",17,23.3620651036841,5,0,23.2827749798982,5,0,23.3615706829367,5,0,40.4944769999968,1,0,23.3613530017756,5,0,23.2820707980635,5,0
"airfoil",18,23.3130852164306,5,0,23.2308678666549,5,0,23.3137439195167,5,0,40.4277298188712,1,0,23.311115794922,5,0,23.219969781479,5,0
"airfoil",19,20.7179736974652,5,0,20.7355122847121,5,0,20.7184875216057,5,0,38.4637424123704,1,0,20.7175012237668,5,0,20.7358064108994,5,0
"airfoil",20,23.2205558942752,5,0,23.2546544070415,5,0,23.2208716731502,5,0,40.3666541029448,1,0,23.2203445639871,5,0,23.2633954019126,5,0
"airfoil",21,21.9252487118586,5,0,21.9469087611799,5,0,21.9245443236001,5,0,37.5434998190775,1,0,21.9255812314593,5,0,21.949376234228,5,0
"airfoil",22,23.4057148259916,5,0,23.4145656929233,5,0,23.4059853377662,5,0,40.7784059332813,1,0,23.4055412335812,5,0,23.4153304853101,5,0
"airfoil",23,23.0900642153825,5,0,22.938399985507,5,0,23.0908540373052,5,0,41.458295931395,1,0,23.0887071924966,5,0,22.9258541426873,5,0
"airfoil",24,22.5816615914844,5,0,22.498945959006,5,0,22.5811308574541,5,0,40.6548178707167,1,0,22.5800611457181,5,0,22.491888012213,5,0
"airfoil",25,22.7464729857574,5,0,22.6726751083071,5,0,22.7457543073853,5,0,42.0811364630703,1,0,22.7479354060252,5,0,22.6647648815184,5,0
"airfoil",26,20.4201236091308,5,0,20.446052586324,5,0,20.4194668083072,5,0,39.095579190402,1,0,20.4193896079208,5,0,20.4464569137661,5,0
"airfoil",27,24.0129743761252,5,0,23.9144987691765,5,0,24.0124484126447,5,0,41.0016195869482,1,0,24.0129743761252,5,0,23.9056003122178,5,0
"airfoil",28,23.4381985158052,5,0,23.3869857247529,5,0,23.4368299410776,5,0,41.8221337717185,1,0,23.4381985158053,5,0,23.3865050143922,5,0
"airfoil",29,23.1231404851148,5,0,23.1389761281433,5,0,23.1231801424183,5,0,39.0336595823279,1,0,23.1230419071446,5,0,23.1391889103374,5,0
"airfoil",30,24.26220097578,5,0,24.2176260079671,5,0,24.2610618816454,5,0,40.5852026579166,1,0,24.2621428115432,5,0,24.2190456006018,5,0
"airfoil",31,22.298999196956,5,0,22.2446957477246,5,0,22.2986461335289,5,0,40.5806072038726,1,0,22.2950141096803,5,0,22.2423505026983,5,0
"airfoil",32,24.2745373945492,5,0,24.1961668199983,5,0,24.274038760563,5,0,40.3437992285902,1,0,24.2750037867462,5,0,24.196336044736,5,0
"airfoil",33,23.5796301914066,5,0,23.5343957091231,5,0,23.5775564340446,5,0,39.718033647847,1,0,23.5796301914065,5,0,23.5334300630876,5,0
"airfoil",34,21.6088384611992,5,0,21.5491068570684,5,0,21.6084945917117,5,0,38.1165900528836,1,0,21.6087878803512,5,0,21.549068717647,5,0
"airfoil",35,24.221129044351,5,0,24.1344452331859,5,0,24.2185220048501,5,0,40.9046559679301,1,0,24.2216377834142,5,0,24.1313170601556,5,0
"airfoil",36,21.6495114079964,5,0,21.5550320078845,5,0,21.647801476605,5,0,39.7030520203052,1,0,21.6495114079964,5,0,21.545437290842,5,0
"airfoil",37,24.1457194880934,5,0,24.1197479770214,5,0,24.1444580629093,5,0,40.4366668384146,1,0,24.1454400848339,5,0,24.1224788513288,5,0
"airfoil",38,23.3247052503826,5,0,23.3596094633217,5,0,23.3261414306468,5,0,39.013295818511,1,0,23.3251181970822,5,0,23.3614950492963,5,0
"airfoil",39,22.400005721274,5,0,22.4931272933566,5,0,22.4009413017511,5,0,41.0448407253311,1,0,22.3998027982152,5,0,22.4941678451456,5,0
"airfoil",40,22.8083998967673,5,0,22.8378077732698,5,0,22.8104215744745,5,0,39.8952101653708,1,0,22.8083998967674,5,0,22.8413597160922,5,0
"airfoil",41,21.6572703037959,5,0,21.6365428655236,5,0,21.6516017221395,5,0,38.4034977541436,1,0,21.6572356122396,5,0,21.6365915163826,5,0
"airfoil",42,22.6605026277462,5,0,22.6082570601923,5,0,22.6599526447199,5,0,40.7487878164816,1,0,22.6603696848815,5,0,22.6071495510597,5,0
"airfoil",43,24.4206052737843,5,0,24.3517873044849,5,0,24.4244801361335,5,0,40.3650149049175,1,0,24.4232751944188,5,0,24.3497647336063,5,0
"airfoil",44,24.1370642528828,5,0,24.1615015748896,5,0,24.1342835280126,5,0,41.9493120299966,1,0,24.1370642528828,5,0,24.1643588601346,5,0
"airfoil",45,20.7418509822428,5,0,20.7950819893568,5,0,20.74218668172,5,0,37.8075614913255,1,0,20.7418509822428,5,0,20.7959412062015,5,0
"airfoil",46,23.1948652450876,5,0,23.1403529199199,5,0,23.1952438899754,5,0,41.3697073135147,1,0,23.1948652450876,5,0,23.1361525380214,5,0
