"dataset","method","split_id","mcv","alkphos","sgpt","sgot","gammagt"
"liver_disorders","uni_loo",1,0.182900228021974,0.00116714500478341,0.0103611451078572,0.0529930759806339,0.0140425403232971
"liver_disorders","uni_loo",2,0.26807867953551,0.0302438427372387,0.0337425217795221,0.139238739838817,0.0352261748357844
"liver_disorders","uni_loo",3,0.279602218135383,0.0365788863440405,0.0232810823524647,0.107196053221486,0.0257908879262951
"liver_disorders","uni_loo",4,0.254053185773553,0.0159238732711647,0.0206760815408819,0.0670898789107654,0.0332120192602125
"liver_disorders","uni_loo",5,0.147478340582201,0.00458222522329333,-0.000465030645872292,0.0435703992540476,0.0186423269543503
"liver_disorders","uni_loo",6,0.256376544348148,0.0151866116717481,0.0480269396804293,0.102112225777323,0.0282970245083563
"liver_disorders","uni_loo",7,0.160615461640933,0.0107651201950145,0.0155364088438773,0.0762564780589797,0.0245746892823965
"liver_disorders","uni_loo",8,0.210422203504869,0.0161532778824591,0.0429226132671687,0.1050859250299,0.0308964052565577
"liver_disorders","uni_loo",9,0.333577015716506,0.014112112965621,0.0279498179366028,0.0886574307006588,0.0424081770912511
"liver_disorders","uni_loo",10,0.207970459494567,0.0260113966320364,0.0611474917707181,0.118286638930715,0.040113218874322
"liver_disorders","uni_loo",11,0.219862750317982,0.0311326902748787,0.0263399939841819,0.0876076461099462,0.0284370660818999
"liver_disorders","uni_loo",12,0.207820863323995,0.00880260390388433,0.0265591010542614,0.0733667252319151,0.0172368969434683
"liver_disorders","uni_loo",13,0.150526338727162,0.00638163906086559,0.0441441614018872,0.0897198951434529,0.0327017325977825
"liver_disorders","uni_loo",14,0.236482640865111,0.03182316783581,0.0316668644661661,0.0836386897948341,0.0260765192004203
"liver_disorders","uni_loo",15,0.323942053574343,0.000697618087382677,0.0471769936987659,0.120592382805867,0.034797531196155
"liver_disorders","uni_loo",16,0.281757676220927,0.0239972893171863,0.0164307775207298,0.0770741951669553,0.0296377804299306
"liver_disorders","uni_loo",17,0.19352305711113,0.0189465778377827,0.0291287170623611,0.0925600951419957,0.0254776354876241
"liver_disorders","uni_loo",18,0.26439315059191,0.0220551571018668,0.0377902759041246,0.0948078278601872,0.0230598205184516
"liver_disorders","uni_loo",19,0.228093314648421,0.0279016636475827,0.0407220726242567,0.124869726816577,0.0257722583022965
"liver_disorders","uni_loo",20,0.198593229402329,0.0255510439664672,0.0276703020705558,0.0930380379853449,0.028900220670216
"liver_disorders","uni_loo",21,0.239501424635379,0.0117525476847299,0.0345437715982139,0.0856629810997453,0.0402955199265295
"liver_disorders","uni_loo",22,0.245251330970894,0.0156400946238869,0.0440277165444817,0.086242384217444,0.0258588961715349
"liver_disorders","uni_loo",23,0.266321192809215,0.0457952970585399,0.04382072859303,0.113910897622929,0.0347297558277323
"liver_disorders","uni_loo",24,0.152091943496079,0.00871970350255943,0.0187539406728863,0.0867269467945685,0.0311152016047703
"liver_disorders","uni_loo",25,0.355422830834923,0.0271034262570477,0.032529084023101,0.100920710324267,0.041466524657029
"liver_disorders","uni_loo",26,0.242147253934092,0.0291107052502506,0.0388739680405028,0.108418884462282,0.0462217410046713
"liver_disorders","uni_loo",27,0.261034072806329,0.0175576455681405,0.0375769669511254,0.113744901682999,0.0275906592626203
"liver_disorders","uni_loo",28,0.23709031278202,0.0313438930733095,0.0508243412338155,0.109133383618462,0.0354482895139031
"liver_disorders","uni_loo",29,0.251299354762329,0.0242204859563061,0.0344884490538749,0.0761649105311431,0.0374693302069418
"liver_disorders","uni_loo",30,0.292134152150494,0.0315202708747277,0.0423877596670611,0.130664221146189,0.033259810114717
"liver_disorders","uni_loo",31,0.181613525829068,0.000656605586130588,0.0314886459309292,0.0897280129234075,0.0296429127089885
"liver_disorders","uni_loo",32,0.274019537537251,0.0206799024013861,0.0352701934126975,0.0850724789696842,0.0202152029528481
"liver_disorders","uni_loo",33,0.248313465676912,0.0197446115980672,0.026595169733308,0.102191486011233,0.0279760352786277
"liver_disorders","uni_loo",34,0.225051175197494,0.0218659453576452,0.0421941038182987,0.130944129703647,0.0284588279282546
"liver_disorders","uni_loo",35,0.222007503224041,0.00302419494534607,0.0385434189926075,0.084506281599988,0.0262849795518342
"liver_disorders","uni_loo",36,0.18475177373351,0.00918380616351526,0.0411664668031799,0.0954940879160472,0.042515072376618
"liver_disorders","uni_loo",37,0.267377226119807,0.0249938682324103,0.0263716456594121,0.111189531889897,0.0379558624482585
"liver_disorders","uni_loo",38,0.20768641738594,0.0166885253147532,0.0428170214730645,0.123672325085378,0.0318347813175254
"liver_disorders","uni_loo",39,0.221436196055146,0.0276510694460803,0.046489486274513,0.105484649012613,0.0282685679779165
"liver_disorders","uni_loo",40,0.268822576838884,0.0247385398880749,0.0336391360876409,0.114839398054486,0.0341346866898818
"liver_disorders","uni_loo",41,0.189414649991375,0.016077628949484,0.0224432157421848,0.0835345839088655,0.0207314404724587
"liver_disorders","uni_loo",42,0.296052685622846,0.0230287424839921,0.0758180881216181,0.140434497985543,0.0565489498865069
"liver_disorders","uni_loo",43,0.233523210276605,0.0163109384371025,0.0374319076161955,0.0998440760247013,0.0299197185963656
"liver_disorders","uni_loo",44,0.22286699869063,0.00563468566677937,0.0222493043309856,0.0829113841526753,0.0294830797780674
"liver_disorders","uni_loo",45,0.202265597319269,0.0287803847088491,0.0279756073346243,0.0841770447324977,0.0363826884023498
"liver_disorders","uni_loo",46,0.247624305785978,0.0165889021821279,0.0278485370643394,0.0783860338747904,0.0271466682621538
"liver_disorders","uni_loo",47,0.199423237952242,0.0148049896131002,0.0366801774951984,0.102911219855875,0.0151059514692235
"liver_disorders","uni_loo",48,0.287656768288733,0.0204120845106164,0.0311956788639719,0.0900329811543663,0.0246539941143615
"liver_disorders","uni_loo",49,0.244519405764592,0.0126786936773632,0.0664368518464978,0.147516188119642,0.0315635622656699
"liver_disorders","uni_loo",50,0.266399696138205,0.0217708396354061,0.0545352603443976,0.128076115185494,0.0405687073899275
"liver_disorders","uni_loo",51,0.224939759036145,0.0440701798788372,0.0574558234505983,0.128376408049322,0.028479948361016
"liver_disorders","uni_loo",52,0.229739078783009,0.0184748895899274,0.0449024260682235,0.0853545654682019,0.0361720200465773
"liver_disorders","uni_loo",53,0.222500256225309,0.0206010307420492,0.0250815156687342,0.0808364197949776,0.0277501240722551
"liver_disorders","uni_loo",54,0.1875017440595,0.00317573689855389,0.0161808864980838,0.0535555335772921,0.0253224385582549
"liver_disorders","uni_loo",55,0.286755216391051,0.00399887526199303,0.0402535998549999,0.100409500697753,0.0342336390881988
