"dataset","method","split_id","Gender","Age","Ethnicity","T_atm","Humidity","Distance","T_offset1","Max1R13_1","Max1L13_1","aveAllR13_1","aveAllL13_1","T_RC1","T_RC_Dry1","T_RC_Wet1","T_RC_Max1","T_LC1","T_LC_Dry1","T_LC_Wet1","T_LC_Max1","RCC1","LCC1","canthiMax1","canthi4Max1","T_FHCC1","T_FHRC1","T_FHLC1","T_FHBC1","T_FHTC1","T_FH_Max1","T_FHC_Max1","T_Max1","T_OR1","T_OR_Max1"
"infrared_thermography_temperature","lasso_cv",21,0,0,-0.0155499866370556,-0.0429949577856969,-0.000253290225456427,0,0,0,0,0,0,0,0,0.0564835411117844,0,0,0,0,0,0,0,0.0318178664072093,2.23850214464906e-05,0,0,0,0,0.0105032294930649,0.0523051979245161,0,0.227845559368976,0.261186399952119,0
"infrared_thermography_temperature","lasso_cv",22,0,0.00275011676150447,-0.0154210890505838,-0.060621898416162,5.5967261105789e-06,0.00243812889318391,0.0710629195810474,0,0,-0.00235931598999367,-0.0469058132765649,0,0,0.185219486929339,0.0548015608640451,0,0,0,0,-0.0794907668995821,0.0118784876674866,0.0309538197781734,0,0,-0.0763024392949171,0,0.0130765762122885,0.0127919376964895,0.103084412802071,0,0.127486574221969,0,0.226165272820412
"infrared_thermography_temperature","lasso_cv",23,0,-0.00217927548174317,-0.0062701049178155,-0.0355826292187222,0,0.00183238115059132,0,0,0,0,0,0,0,0.0515623461939807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182513944230836,0,0.298364597960007,0.152769565317893,0.0798674553211755
"infrared_thermography_temperature","lasso_cv",24,0,0,-0.0234095657209367,-0.0413821071298363,0.000682980841806643,0,0.0405365318225653,0,0,-0.0155184485618246,-0.102271846622973,0,0,0.0705667246098137,0,0,0,0.00979837228619317,0,0,0.00088848740102613,0.0678035029760189,0.0597244314217577,0.0051842262916321,-0.0547157058857855,0.00292956573748311,0.0180401240457125,0.0059441465156589,0.0753135647902656,0,0.253589860130819,0.197805180271351,0
"infrared_thermography_temperature","lasso_cv",25,0.0091199823711952,0.00318811075941125,-0.012397203801037,-0.0486335966470977,0.000288130173732315,0,0.0374143719602388,0,0,-0.0287457089332559,-0.0726335607731405,0,0,0.036831516023171,0.118008091071461,0,0,0,0,0,0,0,0,-0.00785724444812353,-0.031587646948914,0,0,0,0.126042219249581,0,0.293556160346064,0.132483580379636,0.0893948429468291
"infrared_thermography_temperature","lasso_cv",26,-0.00206773777891771,-0.0058099668953248,-0.0115816975320235,-0.03692216457581,0.000556304383105476,0,0.0765596300762339,0,0,0,-0.0596271518710445,0.0239760739521877,0,0.0776982857052703,0.014344764259217,0,0,0.00288554583680199,0,0,0,0,0,-0.0269724408149846,-0.0608960165107301,0,0,0,0.138525065679031,0,0.32011264879403,0.221856191240036,0
"infrared_thermography_temperature","lasso_cv",27,0,-0.00573993852838283,-0.0165937900049912,-0.048234961088667,-0.000244885920811535,0.00248370538734435,0,0,0,-0.0154048060879377,-0.0565499442787991,0,0,0.119153450171409,0.0161246756024144,0,0,0.0618861294885616,0,0,0,0,0,-0.0241055621724822,-0.00466810455010758,-4.58549498221614e-05,0,0,0.0708654321002489,0,0.276851769193708,0.0157995747779883,0.215766704513511
"infrared_thermography_temperature","lasso_cv",28,0.00696643501502414,0.00794759257975277,0.000239363993845729,-0.0502972720496304,0.000258350946137517,0.00201375938840081,0.0747921215524331,0,-0.0772797848140646,-0.0196104945729794,-0.0233287766505221,0,0,0,0.133376342498354,0,0,0.0356501792819462,0,0,0,0,0,-0.0369573440895671,-0.0899758716876279,0,0.102344288052872,0,0.134325488200307,-0.0701060907728429,0.284277254400667,0.188967331457005,0
"infrared_thermography_temperature","lasso_cv",29,0,0,-0.0127716454157355,-0.0442119823457381,0.000248784069044656,0.00237971519385897,0.0356362349813403,0,0,0,0,0,0,0.0882578415926666,0.0208681620259172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427922864666008,0,0.242479951291422,0.22800834456701,0
"infrared_thermography_temperature","lasso_cv",30,0,-0.00518589239661395,-0.00624159384521718,-0.0424032406256392,-0.000552113307015958,0,0.00921940237666005,0,0,0,-0.0494809259572783,0,0,0.0688121076606537,0,0,0,0,0,0,0,0,0,-0.00081482790153542,-0.0158123801219295,0,0,-0.0104044057272022,0.100342418129759,0,0.344092576615098,0.148025583719502,0.0339948516916429
"infrared_thermography_temperature","lasso_cv",31,0.0104536584424355,-0.00659210507652119,-0.0171610176330765,-0.0354256225484532,-0.000224654424540799,0,0,0,0,-0.0332822285098215,-0.016963252687773,0.0343873450913409,0,0.100129628658387,0.0194848343058175,0,0,0,0,0,0.014128096007535,0,0,0,-0.0587052941385758,0,0,0,0.164497501060084,0,0.150337579506145,0.286497619247789,0
"infrared_thermography_temperature","lasso_cv",32,0.0224375409422203,0.000255597617723459,-0.0226507315326758,-0.0482313625221466,-0.000208027839308596,0.00267879701618596,0.0825905954816087,0,-0.0748043664794357,-0.0690638887548684,-0.0321449344884143,0.00909705848793124,0.0044677764010775,0.0131710274780347,0,0,0,0.0493112146693496,0,0.0878764653951195,0.0248614251913447,0,0.0569801181428493,-0.0231220772244399,-0.0455484009390738,0,0.09830406956082,-0.014273759083248,0.174003302708685,-0.141257142683774,0.310381486048285,0,0.236257854293826
"infrared_thermography_temperature","lasso_cv",33,0,0.00152184770036699,-0.0174873476811046,-0.0440273662115287,0.000486308170273132,0,0.0646740655511475,0,0,-0.0191098517294879,-0.0388774714304544,0.0583225835722597,0,0,0.0430622472320901,0,0,0.0184837962670574,0,0,0,0.00950730213598232,0,-0.0931098395432404,0,-0.0400419642309319,0,0,0.197655146502651,0,0.296951624736044,0.204989741784033,0.0201708282790915
"infrared_thermography_temperature","lasso_cv",34,0,0,-0.018577500864197,-0.0250838544538461,0.00059626293585528,0.00162214009813235,0,0,0,0,0,0,0,0.00177794484273321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848361468553898,0,0.427817193802519,0.00640300512960433,0.155033182809121
