"dataset","method","split_id","displacement","cylinders","horsepower","weight","acceleration","model_year","origin"
"auto_mpg","uni_loo",1,-0.0619519759323672,-3.70192656633579,-0.172095937003511,-0.0075978270395201,1.20764111444662,1.1939905790033,5.41578597150462
"auto_mpg","uni_loo",2,-0.0568859157606222,-3.3789558042987,-0.151616837128864,-0.0073327379321395,1.32674599519052,1.30996076364487,5.36700380771061
"auto_mpg","uni_loo",3,-0.0629253490617796,-3.88178456451753,-0.159838236933574,-0.00795171912907787,1.27731261807716,1.39738048174646,5.96969772051537
"auto_mpg","uni_loo",4,-0.0624854405842831,-3.62219833526267,-0.162380503012119,-0.00787005816494932,1.0507882496571,1.16795093328236,5.64015022191874
"auto_mpg","uni_loo",5,-0.062603628033609,-3.56226044733716,-0.162839835755714,-0.00765428427445296,1.3150097532092,1.26415273472505,6.15645258328946
"auto_mpg","uni_loo",6,-0.0574702628604843,-3.48332960852237,-0.143494868644506,-0.00755996928074549,0.953719640473362,1.14391002229194,5.10777983007019
"auto_mpg","uni_loo",7,-0.0598288857383243,-3.5657709976597,-0.157051218301686,-0.00753502779546089,1.20416718460193,1.19814147043972,5.16696881241358
"auto_mpg","uni_loo",8,-0.0585801819611138,-3.50489276833817,-0.157371098348366,-0.00751793568428345,1.18633742321392,1.21555359631299,4.93965555971546
"auto_mpg","uni_loo",9,-0.0579899503925335,-3.33487464900039,-0.156284613873736,-0.00720826212019203,1.40080538374049,1.09899589308767,4.92525356576863
"auto_mpg","uni_loo",10,-0.058654864514594,-3.69200161761086,-0.150524244325776,-0.00743759650979904,1.21814099944615,1.15438824506301,5.46671075504497
"auto_mpg","uni_loo",11,-0.0628916134455016,-3.78164061863399,-0.164256202194897,-0.00803638987206134,1.37781015164147,1.45395958154125,6.11754393101204
"auto_mpg","uni_loo",12,-0.0641173723305743,-3.64972922220546,-0.176181405317253,-0.00794535996395008,1.21584895846662,1.37285340246464,5.58044470196277
"auto_mpg","uni_loo",13,-0.0616426593801114,-3.72634803685821,-0.159172663867866,-0.00809939773010227,1.00790593813119,1.17030815352906,5.68893903521752
"auto_mpg","uni_loo",14,-0.0609894483088804,-3.68536593886463,-0.156125042460214,-0.00775684937321836,1.39285192458443,1.27696225893099,6.15833748339973
"auto_mpg","uni_loo",15,-0.0610248170070576,-3.76848893801366,-0.154117902722743,-0.00772164449066906,1.1019730660602,1.24653558776665,5.79046317010523
"auto_mpg","uni_loo",16,-0.0622477493678019,-3.62086475572506,-0.170943985579288,-0.00794530067154561,1.27085798405072,1.31622027318907,5.81278174380364
"auto_mpg","uni_loo",17,-0.0609972673615519,-3.60664995949778,-0.156976269735441,-0.00784381645564377,1.31286050643268,1.23681805265297,5.768483850233
"auto_mpg","uni_loo",18,-0.0620697713696841,-3.64478148797088,-0.16712092799755,-0.00793254782071523,1.30953430609287,1.29821759654006,5.907058515806
"auto_mpg","uni_loo",19,-0.0582836713275085,-3.4346286038136,-0.155714600606748,-0.00751489090497409,0.905493802242439,1.13265487002697,5.00495741337964
"auto_mpg","uni_loo",20,-0.0599026545764901,-3.65457318627534,-0.154571114113769,-0.00779077706356126,1.10200702339272,1.30559330535407,5.72488902042024
"auto_mpg","uni_loo",21,-0.0622900603744116,-3.71602322256103,-0.159229268940053,-0.00764874150724205,1.22111658262688,1.29378343499013,6.11092689088899
"auto_mpg","uni_loo",22,-0.0585800806603078,-3.22897874501015,-0.160960394581608,-0.0073590932732409,1.27896525610061,1.06317485767231,4.9132577492747
"auto_mpg","uni_loo",23,-0.0590924069374684,-3.49546402686936,-0.149442079656468,-0.0075857421260758,1.22363585092604,1.10835280995344,5.6813522692189
"auto_mpg","uni_loo",24,-0.0554461938906489,-3.41384300967634,-0.140240532627437,-0.00704332587853674,1.3278395689983,1.13530660029689,5.8630746007012
"auto_mpg","uni_loo",25,-0.058878982159822,-3.49513515444946,-0.152417793168555,-0.00765626763729335,1.06028457848133,1.26307805811389,5.16056989407728
"auto_mpg","uni_loo",26,-0.0604622078011922,-3.44572843582336,-0.161767618014142,-0.00771324375492138,1.08858632446158,1.34428909223807,5.21318494444865
"auto_mpg","uni_loo",27,-0.0625656757619382,-3.55801650869155,-0.165918643571582,-0.0076325551423307,0.826232259677919,1.25646519538704,5.44331518693459
"auto_mpg","uni_loo",28,-0.0607624732201342,-3.68152045578065,-0.156745519811704,-0.00774575826003708,1.19256616025897,1.32571288368352,5.50569443395514
