"dataset","method","split_id","Large.B.P","Large.ROE","Large.S.P","Large.Return.Rate.in.the.last.quarter","Large.Market.Value","Small.systematic.Risk","Annual.Return","Excess.Return","Systematic.Risk","Total.Risk","Abs..Win.Rate","Rel..Win.Rate"
"stock_portfolio_performance","uni_loo",1,0.0731955626235923,0.0241467720569695,0.0628038203913571,-0.0375543535345281,-0.0756192259271288,-0.0718620692526797,0.0002275442944534,0.000574377577878088,-0.0244139609819783,1.46202104977673e-05,0.0119914766731937,0.00434085804630912
"stock_portfolio_performance","uni_loo",2,-0.00476128222581459,0.0246360379421301,0.083747392295963,-0.0382823995633737,-0.0533129949691906,-0.0324910102585868,0.000126950387541876,0.000586860854854834,0.00384685378600455,0.000111730245883151,0.0108605000398398,0.00363264222457416
"stock_portfolio_performance","uni_loo",3,0.032650296991888,0.0442032788049541,0.0598625074647272,-0.0389841524610575,-0.0715374568466913,-0.0427569897245183,3.49308507992742e-05,0.000455343208286373,-0.0476127330886383,0.000130447609528209,0.0112932202318816,0.00360490982155671
"stock_portfolio_performance","uni_loo",4,0.0141585882831093,0.0731512767928006,0.0700375925902741,-0.0217246581727612,-0.0698781985599579,-0.071529333148071,0.000212990859056209,0.000579353830630353,-0.0516016821347782,4.7384190686111e-05,0.011515105404702,0.0040249776264078
"stock_portfolio_performance","uni_loo",5,-0.0133988765632837,0.0550667416403453,0.123965612651225,-0.0452575087003422,-0.0829931543100351,-0.0288426531590169,0.000154443058314441,0.000510600788227214,0.0204855528959719,7.22113482754729e-05,0.0112444463270354,0.00371241792151766
"stock_portfolio_performance","uni_loo",6,0.00793868375472385,0.0372796109943461,0.0253139909633879,-0.0355559837360379,-0.0385880950439592,0.00736423929453567,5.4573510763161e-05,0.000430444744143306,-0.0722213962447328,0.000160221261595294,0.0111724925883863,0.00348947893946179
"stock_portfolio_performance","uni_loo",7,0.0480363042711409,0.0647161755417979,0.0543683365857433,-0.0258418671741189,-0.102399532497809,-0.0499116109983657,0.000162833874947216,0.00065429633880633,-0.0640857771414467,0.000163000361006734,0.0116812266569363,0.00406464679898767
"stock_portfolio_performance","uni_loo",8,0.0278692923041382,0.0304197647119902,0.0768097293398684,-0.0793299905673821,-0.0394534994975425,-0.0180939501506949,0.00017841024144477,0.000595599027827428,-0.0952723229446955,2.54249184742135e-05,0.0115048331898433,0.00428201920294529
"stock_portfolio_performance","uni_loo",9,-0.000607493407735014,0.0748426503123435,0.0578934372650238,-0.0477195965410479,-0.0169068502143736,-0.0751944281798875,0.000133072078380684,0.000568379212380276,-0.0177463209548409,7.59206879093384e-05,0.0108317615589147,0.00401082648553987
"stock_portfolio_performance","uni_loo",10,0.0212694783835642,0.0372311536166927,0.0686384561794237,-0.0229936422324069,-0.0378636980007491,-0.0705562893868708,5.4178962310642e-05,0.000567380442000386,-0.0451265572151669,0.000177017013409767,0.0113867101900469,0.00317081435045643
"stock_portfolio_performance","uni_loo",11,-0.0232018481715676,0.0390480208990754,0.0463589255047579,0.00894524968082578,-0.0428769652503199,-0.031548955005181,0.000120236166472071,0.000436304284698567,-0.0511622123584889,9.57009943870966e-05,0.0113630133907738,0.00399210814534792
"stock_portfolio_performance","uni_loo",12,-0.0307152555459013,0.0382791536119442,0.0943102857002035,-0.0242427751050394,-0.0656296611654615,-0.00654655644984573,6.3163687297346e-05,0.000512727469859788,-0.0687438713522854,5.70258859628583e-05,0.0113689102321712,0.00379116947291362
"stock_portfolio_performance","uni_loo",13,-0.00499026108173412,0.066233323947944,0.0723887554753695,0.00261330406147483,-0.0589453815846803,-0.0693910209223186,0.00011070076480209,0.000588134535411746,-0.0261754706405068,0.000170413785741973,0.011402948672316,0.00403188789084573
"stock_portfolio_performance","uni_loo",14,0.0532901146362088,0.045639037339473,0.0174306586304337,0.0076119940147353,-0.121518373548221,-0.00574485008438055,2.06352158106468e-05,0.000606074242181591,-0.0214886257549202,0.000135260809206148,0.0114806827965189,0.00386720036391934
"stock_portfolio_performance","uni_loo",15,0.0738808450653632,0.0587354096803882,0.0502404061116865,-0.0673848372369001,-0.0139729256767907,-0.0954913598553622,0.000169561896912291,0.000511951534904465,-0.0574342579522304,0.000111381515909104,0.0113788033085323,0.00405425834668276
"stock_portfolio_performance","uni_loo",16,0.0304510286824341,0.0347025867509124,0.0585369033043459,0.00564987409762447,-0.0450702453524655,-0.0631830505980629,0.000168685669246331,0.000616098716885364,-0.0620352644711914,0.00014262612333109,0.0117079884347185,0.00406596164566091
"stock_portfolio_performance","uni_loo",17,0.0260309290690282,0.0521331179623957,0.0530378955042365,-0.0439474939536815,-0.0619304128732688,-0.0210487124464275,0.000179373632743556,0.00056941563776272,-0.0687092565110048,4.63959181324871e-05,0.0113468788682809,0.00438281039262474
