"dataset","method","split_id","motor","screw","pgain","vgain"
"servo","unilasso_loo_false",18,-0.229994350926097,-0.174879864661031,-1.02045771149751,0
"servo","unilasso_loo_false",19,-0.26859972943323,-0.149652175022837,-0.88576793894666,0
"servo","unilasso_loo_false",20,-0.15576799653041,-0.298035335315326,-0.95924548722006,0
"servo","unilasso_loo_false",21,-0.236749626479633,-0.186576294371074,-0.935943558355892,0
"servo","unilasso_loo_false",22,-0.176937137947333,-0.195146541235695,-0.985718680201929,0
"servo","unilasso_loo_false",23,-0.190440390136498,-0.302457459550794,-0.953245638889941,0
"servo","unilasso_loo_false",24,-0.332305520289859,-0.28171696056829,-1.08823941951267,0
"servo","unilasso_loo_false",25,-0.122018356184196,-0.276887413438305,-0.848516675894594,0
"servo","unilasso_loo_false",26,0,-0.248834742905565,-0.823823713376784,0
"servo","unilasso_loo_false",27,-0.228771218771797,-0.156173700606318,-0.890664381083885,0
"servo","unilasso_loo_false",28,-0.187391806334163,-0.303161603728354,-1.10530294430935,0
"servo","unilasso_loo_false",29,-0.151591466710674,-0.271713881152092,-1.10353117578004,0
"servo","unilasso_loo_false",30,0,-0.236069046780782,-0.891189786555287,0
"servo","unilasso_loo_false",31,-0.360316089180495,-0.122878894132072,-0.93703168063619,0
"servo","unilasso_loo_false",32,-0.261605523758495,-0.194736722694933,-1.02434970878161,0
"servo","unilasso_loo_false",33,-0.205115805016104,-0.236588089426093,-1.0175973581186,0
"servo","unilasso_loo_false",34,0,0,-0.661804689213874,0
"servo","unilasso_loo_false",35,-0.233529602714614,-0.285268832917029,-0.907268937278654,0
"servo","unilasso_loo_false",36,-0.200152157940448,-0.229184627073036,-0.798338947582859,0
"servo","unilasso_loo_false",37,0,0,-0.720017812552755,0
"servo","unilasso_loo_false",38,-0.214108083401625,0,-0.863217872315765,0
"servo","unilasso_loo_false",39,-0.248221939940917,-0.287273204403349,-0.984581117413803,0
"servo","unilasso_loo_false",40,-0.277198213950129,-0.178295532698715,-0.970135255993933,0
"servo","unilasso_loo_false",41,-0.231008678764121,-0.211612125922181,-0.980914536908714,0
"servo","unilasso_loo_false",42,-0.242664868205823,0,-0.894086794331233,0
"servo","unilasso_loo_false",43,-0.336025982805552,-0.270968230089015,-1.12552418530225,0
"servo","unilasso_loo_false",44,-0.243568802022495,-0.265984841246557,-0.993199815415255,0
"servo","unilasso_loo_false",45,0,0,-0.75979694338137,0
"servo","unilasso_loo_false",46,-0.141359370321963,-0.265366076190746,-1.02769131364833,0
"servo","unilasso_loo_false",47,-0.221867405539852,-0.157186519551188,-0.899822886291703,0
"servo","unilasso_loo_false",48,-0.416459969052063,-0.259160133575453,-1.08257325137368,0
"servo","unilasso_loo_false",49,-0.165553506480257,-0.347510429070918,-0.985552812236981,0
"servo","unilasso_loo_false",50,-0.254621887857048,-0.200296818907842,-0.914442365697954,0
"servo","unilasso_loo_false",51,-0.159786504052163,-0.209409887419673,-0.82989685923934,0
"servo","unilasso_loo_false",52,-0.251412520045113,-0.170065630574314,-1.0351732722858,0
"servo","unilasso_loo_false",53,-0.288650026993044,0,-0.85187130573798,0
"servo","unilasso_loo_false",54,-0.136310085415273,-0.296438986460109,-0.933967839497495,0
"servo","unilasso_loo_false",55,-0.275358359662426,0,-0.714009720845911,0
"servo","unilasso_loo_false",56,-0.284231565236404,-0.200899804000567,-0.992504760518183,0
"servo","unilasso_loo_false",57,-0.231927194495758,-0.397992796149557,-1.07456627074957,0
"servo","unilasso_loo_false",58,-0.370409086644762,-0.124719059193955,-0.946649863314377,0
"servo","unilasso_loo_false",59,-0.19655971967337,0,-0.712200898395447,0
"servo","unilasso_loo_false",60,-0.200978264928397,-0.315686573045114,-1.2244621529908,0
"servo","unilasso_loo_false",61,-0.15206683119452,-0.313720051433096,-0.953901438108066,0
"servo","unilasso_loo_false",62,-0.262732676323229,-0.218951321929804,-1.02968288149479,0
"servo","unilasso_loo_false",63,-0.250104254045035,-0.189319648992124,-0.881420289684539,0
"servo","unilasso_loo_false",64,-0.213820796623414,-0.215356862024302,-1.00749673802934,0
"servo","unilasso_loo_false",65,-0.213890856573044,-0.292675105568121,-0.984349428679512,0
"servo","unilasso_loo_false",66,-0.298969695602184,-0.288595396839259,-1.10570112823055,0
"servo","unilasso_loo_false",67,-0.277456771250044,-0.14175763629591,-0.926565739277512,0
"servo","unilasso_loo_false",68,0,0,-0.782363165354305,0
"servo","unilasso_loo_false",69,-0.201207441004074,-0.14555098736474,-0.885490759999776,0
"servo","unilasso_loo_false",70,-0.267396502228433,-0.162079007103446,-1.16092496843154,0
"servo","unilasso_loo_false",71,-0.302417772525977,-0.335096634132185,-1.1005932893099,0
"servo","unilasso_loo_false",72,-0.363419294304119,-0.125547685274293,-0.814217389099625,0
"servo","unilasso_loo_false",73,-0.165701909984654,0,-1.1452951431044,0
"servo","unilasso_loo_false",74,-0.320730911208656,-0.271821339632016,-1.07369704606773,0
"servo","unilasso_loo_false",75,-0.231566120655111,-0.154734717020227,-0.923836014155928,0
"servo","unilasso_loo_false",76,-0.243847305872562,-0.308512140473206,-1.04972143475993,0
"servo","unilasso_loo_false",77,0,-0.274485794575463,-0.694310599282957,0
"servo","unilasso_loo_false",78,-0.296747880260046,0,-0.826420507880292,0
"servo","unilasso_loo_false",79,-0.150290328266111,-0.256486927991605,-0.826632805513394,0
"servo","unilasso_loo_false",80,-0.136292863124782,-0.310523369137604,-1.08759876492119,0
"servo","unilasso_loo_false",81,-0.140373047117311,-0.209051084770216,-0.745642983570206,0
"servo","unilasso_loo_false",82,-0.137852514838171,0,-0.802025478430556,0
"servo","unilasso_loo_false",83,-0.216406566344283,-0.283572831555457,-0.911124897437042,0
"servo","unilasso_loo_false",84,-0.208770116878891,-0.379330535383082,-1.11270633747016,0
"servo","unilasso_loo_false",85,-0.229210198196116,0,-0.935631029201445,0
"servo","unilasso_loo_false",86,0,-0.243716833762106,-0.78571508375657,0
"servo","unilasso_loo_false",87,-0.333511451982918,-0.225638272239656,-0.917433336672169,0
"servo","unilasso_loo_false",88,0,-0.102647521491535,-0.911880341905694,0
"servo","unilasso_loo_false",89,0,0,-0.724188932026784,0
"servo","unilasso_loo_false",90,-0.190558116567063,-0.339853898242753,-1.03871750633921,0
"servo","unilasso_loo_false",91,-0.229595099944195,-0.154795362104418,-0.967257429699167,0
"servo","unilasso_loo_false",92,-0.311325165953318,0,-0.943496921665136,0
"servo","unilasso_loo_false",93,-0.158042605104363,-0.335457451800868,-1.07942500401498,0
"servo","unilasso_loo_false",94,-0.24005022930984,-0.193022144684394,-1.00966444759293,0
"servo","unilasso_loo_false",95,0,-0.30542099774298,-0.923464217144254,0
"servo","unilasso_loo_false",96,0,-0.185215557778388,-0.751569260903621,0
"servo","unilasso_loo_false",97,-0.207773921274349,-0.28442135719188,-1.02461645397207,0
"servo","unilasso_loo_false",98,-0.330090785805005,-0.195300503295511,-0.91765070084326,0
"servo","unilasso_loo_false",99,-0.156189017302456,-0.198853975818576,-1.00660688556832,0
"servo","unilasso_loo_false",100,-0.114545007194344,-0.248433711583594,-1.04714365874211,0
"servo","polish_unilasso",1,-0.168889906228267,-0.239068809630017,-1.16838946708548,0.22872419098491
"servo","polish_unilasso",2,-0.238352619912163,-0.226892180602747,-1.67344771535717,0.655256977560439
"servo","polish_unilasso",3,-0.286182661907576,-0.201319971783727,-1.44183791593335,0.543647755789806
"servo","polish_unilasso",4,-0.275854041914004,-0.205352894324352,-1.48975289840606,0.481903022235265
"servo","polish_unilasso",5,-0.274152383719835,-0.361068930809902,-1.64948398649135,0.529732399921865
"servo","polish_unilasso",6,-0.265973372521481,-0.22522824841822,-1.346435762575,0.330271218002454
"servo","polish_unilasso",7,-0.153028782903058,-0.219207693475611,-1.02795115641506,0.305131810251366
"servo","polish_unilasso",8,-0.373431936095112,-0.188497675743018,-1.83289329286357,0.674001593820285
"servo","polish_unilasso",9,-0.255227163880975,-0.402723323598118,-1.81554487339232,0.682958531912589
"servo","polish_unilasso",10,-0.191057467436113,-0.20586365433974,-1.53941670492235,0.47765596485952
"servo","polish_unilasso",11,-0.163912065363933,-0.334352533515273,-1.57962071481501,0.587051284394358
"servo","polish_unilasso",12,-0.342822036431176,-0.302636308103026,-1.92960585721593,0.727168240243194
"servo","polish_unilasso",13,-0.164331807911168,0,-0.892898677356483,0
"servo","polish_unilasso",14,-0.16523647204513,-0.384105726224756,-1.53265911552865,0.494248305339391
"servo","polish_unilasso",15,-0.0883260823925801,-0.279690396176646,-1.63816122526578,0.594529764695917
"servo","polish_unilasso",16,-0.165778268442962,-0.300510801200069,-1.55643805842683,0.390970052320658
"servo","polish_unilasso",17,-0.225191935713814,-0.200941897316842,-0.769627576243151,0
"servo","polish_unilasso",18,-0.208488587732214,-0.225264556713949,-1.68608423855059,0.568742636800728
"servo","polish_unilasso",19,-0.281722523169643,-0.183547644639319,-1.58701997863488,0.584480942066888
"servo","polish_unilasso",20,-0.136736001756347,-0.341256863028616,-1.39744567648459,0.467377845553057
"servo","polish_unilasso",21,-0.269297708774699,-0.248676848077465,-1.3649503537037,0.407997632016875
"servo","polish_unilasso",22,-0.214796407859857,-0.204077764944885,-1.6226688083482,0.584526549641127
"servo","polish_unilasso",23,-0.191134049639699,-0.341799313828657,-1.42535304805415,0.437131863188452
"servo","polish_unilasso",24,-0.325338363175122,-0.32401803962362,-1.52333123052153,0.404521115223132
